日付,曜日,特定日,1013番台,,,,,,,1014番台,,,,,,,1015番台,,,,,,,1016番台,,,,,,,1017番台,,,,,,,1018番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-09,土,はい,"-1,033","5,603",17,16,1/170,1/6.12,3.03,"-1,142","4,680",14,11,1/187,1/6.12,2.48,+39,"4,421",19,9,1/158,1/6.34,2.36,-701,"6,023",18,19,1/163,1/5.89,3.46,"-1,245","5,615",17,13,1/187,1/6.04,2.32,"+1,591","7,515",33,28,1/123,1/6.26,4.66
2026-05-08,金,いいえ,-361,"3,195",11,7,1/178,1/5.97,2.64,+289,"5,106",20,12,1/160,1/5.82,2.54,"-2,136","4,060",11,2,1/312,1/6.27,1.48,+337,"4,569",19,10,1/158,1/5.94,2.47,-370,"5,463",17,21,1/144,1/6.11,4.41,"+1,629","6,197",29,20,1/126,1/6.13,3.93
2026-05-07,木,いいえ,"-1,656","2,921",7,3,1/292,1/6.34,1.90,-632,"2,009",6,3,1/223,1/6.06,2.49,-134,"6,764",24,23,1/144,1/6.20,3.99,-492,"4,542",17,9,1/175,1/6.21,2.23,"+1,151","3,799",21,7,1/136,1/6.33,2.43,+54,"5,432",21,12,1/165,1/5.91,2.33
2026-05-06,水,はい,+0,"6,291",23,20,1/146,1/6.13,3.64,+167,"6,011",24,18,1/143,1/6.32,3.41,"-1,126","6,192",20,14,1/182,1/6.07,2.21,+374,"6,927",27,22,1/141,1/6.16,3.70,+300,"6,125",26,13,1/157,1/6.12,2.20,+55,"6,390",25,15,1/160,1/6.02,2.39
2026-05-05,火,はい,"-1,374","7,628",27,15,1/182,1/6.30,1.81,-750,"8,740",28,28,1/156,1/6.01,3.59,-211,"8,250",22,42,1/129,1/5.95,5.36,"-1,783","6,659",20,17,1/180,1/6.34,2.50,"+2,661","7,096",37,17,1/131,1/5.88,2.63,-551,"5,884",21,13,1/173,1/6.03,2.24
2026-05-04,月,いいえ,+500,"5,062",21,14,1/145,1/6.07,3.13,"-2,069","3,528",8,2,1/353,1/6.06,1.58,"-1,817","4,148",9,7,1/259,1/5.78,1.94,-136,"3,650",14,6,1/183,1/5.84,2.15,-440,"5,344",21,10,1/172,1/6.26,2.02,+98,"5,289",23,11,1/156,1/6.38,2.27
2026-05-03,日,いいえ,"-1,033","3,309",9,6,1/221,1/5.88,2.26,"-1,137","2,646",6,4,1/265,1/5.77,2.22,+848,"4,486",23,7,1/150,1/6.26,2.03,"+1,933","6,429",33,10,1/150,1/5.76,1.75,-196,"3,160",13,3,1/198,1/5.96,1.89,"-1,602","6,026",19,9,1/215,1/6.02,1.62
2026-05-02,土,はい,+742,"6,510",28,16,1/148,1/6.04,2.60,"+1,085","3,322",16,8,1/138,1/5.66,2.97,+95,"4,760",19,12,1/154,1/6.14,2.81,-699,"2,832",8,7,1/189,1/5.99,2.88,"+1,402","6,294",30,15,1/140,1/6.05,2.60,-181,"5,450",20,15,1/156,1/6.11,3.00
2026-05-01,金,いいえ,"-1,635","7,636",19,27,1/166,1/5.92,4.00,-238,"5,704",25,6,1/184,1/6.23,1.52,-47,"4,800",17,14,1/155,1/5.93,3.25,-487,"2,414",8,3,1/219,1/5.82,2.22,"-1,440","5,858",15,18,1/178,1/5.95,3.25,-595,"5,223",22,4,1/201,1/6.24,1.46
2026-04-30,木,いいえ,-330,"4,382",17,8,1/175,1/6.14,2.14,"-1,104","3,627",9,9,1/202,1/5.87,2.72,"+1,119","7,083",28,24,1/136,1/5.85,4.07,+617,"7,189",30,21,1/141,1/6.23,3.31,-818,"6,162",20,18,1/162,1/6.15,3.14,"+1,172","9,141",34,41,1/122,1/6.20,5.28
2026-04-29,水,いいえ,+66,"4,140",16,10,1/159,1/5.97,2.74,"+2,410","6,636",30,30,1/111,1/6.06,5.21,"+1,351","4,432",23,11,1/130,1/6.21,2.97,"-1,526","4,652",11,15,1/179,1/6.16,3.46,"+2,291","7,005",31,25,1/125,1/5.71,4.42,-683,"6,060",19,15,1/178,1/5.75,2.47
2026-04-28,火,いいえ,-54,"4,379",15,16,1/141,1/6.13,4.13,-361,"6,263",21,21,1/149,1/6.12,3.85,"+1,368","3,900",22,10,1/122,1/6.60,3.18,"+1,533","4,757",26,10,1/132,1/6.28,2.52,-619,"2,569",8,4,1/214,1/5.90,2.33,"-1,688","4,229",12,5,1/249,1/6.13,1.70
