日付,曜日,特定日,531番台,,,,,,,532番台,,,,,,,533番台,,,,,,,535番台,,,,,,,536番台,,,,,,,537番台,,,,,,,538番台,,,,,,,550番台,,,,,,,551番台,,,,,,,552番台,,,,,,,553番台,,,,,,,555番台,,,,,,,556番台,,,,,,,557番台,,,,,,,558番台,,,,,,,560番台,,,,,,,561番台,,,,,,
,,,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差,差枚,G数,BB,RB,合成,狙度,次差
2026-03-05,木,いいえ,"-2,343","3,101",0,6,1/517,17,7.0,+656,"5,441",0,9,1/605,18,1.0,-308,"1,860",0,3,1/620,26,8.0,"-1,051","1,124",0,2,1/562,58,3.0,"+1,934","6,087",0,12,1/507,10,2.0,"+3,273","5,228",0,13,1/402,4,-,"-1,390","3,835",0,7,1/548,65,7.0,"-1,058",753,0,1,1/753,32,6.0,"-1,174","1,823",0,3,1/608,67,2.0,"-1,301","2,514",0,6,1/419,55,23.0,"+7,095","6,377",0,16,1/399,8,4.0,"-1,667","1,360",0,1,1/1360,18,1.0,"-1,371","1,197",0,1,1/1197,68,1.0,-237,"1,567",0,3,1/522,58,3.0,+0,"5,984",0,17,1/352,18,1.0,-961,"7,342",0,12,1/612,10,2.0,"-1,283","2,418",0,3,1/806,55,23.0
2026-03-04,水,いいえ,"+7,419","7,437",0,11,1/676,0,-,"-1,264","2,355",0,4,1/589,14,1.0,"+13,678","8,505",0,12,1/709,0,-,-723,"2,166",0,4,1/542,53,3.0,"+1,456","4,489",0,15,1/299,49,1.0,"+1,100","6,514",0,17,1/383,13,2.0,-841,"1,508",0,4,1/377,62,6.0,"+3,960","6,897",0,18,1/383,11,1.0,"-1,878","3,664",0,8,1/458,56,3.0,"-2,564","5,547",0,12,1/462,48,15.0,"+1,631","5,949",0,15,1/397,32,18.0,"+11,322","9,556",0,19,1/503,0,-,-978,861,0,2,1/431,32,18.0,"-1,993","2,355",0,3,1/785,50,1.0,"+5,468","6,643",0,13,1/511,10,10.0,"+13,154","8,474",0,13,1/652,0,-,"-1,592","4,898",0,11,1/445,33,1.0
2026-03-03,火,はい,-490,"6,946",0,15,1/463,27,8.0,"+5,373","9,187",0,17,1/540,0,-,"-3,230","4,993",0,7,1/713,27,8.0,"-2,845","8,511",0,18,1/473,38,6.0,"-4,515","7,784",0,17,1/458,45,3.0,+194,"8,751",0,19,1/461,16,14.0,"-3,725","8,375",0,18,1/465,42,1.0,"-4,517","8,450",0,18,1/469,41,2.0,"-5,184","6,566",0,12,1/547,49,4.0,-523,"9,177",0,21,1/437,32,5.0,"-3,143","7,913",0,17,1/465,27,8.0,"-1,705","5,453",0,10,1/545,54,5.0,"+4,772","7,953",0,13,1/612,2,1.0,+357,"9,784",0,20,1/489,19,3.0,"-4,940","7,273",0,15,1/485,39,1.0,"-6,564","8,508",0,14,1/608,56,2.0,-361,"7,740",0,16,1/484,1,1.0
2026-03-01,日,いいえ,-179,"7,632",0,21,1/363,37,8.0,-423,"3,602",0,7,1/515,11,6.0,"+7,894","8,184",0,18,1/455,0,-,"-3,261","4,254",0,9,1/473,28,15.0,-739,"7,975",0,19,1/420,13,2.0,-796,"6,535",0,14,1/467,37,8.0,"-2,323","8,818",0,23,1/383,49,5.0,"-1,898","4,975",0,9,1/553,29,1.0,"-3,463","5,139",0,12,1/428,41,1.0,"-1,943","4,881",0,11,1/444,52,3.0,"+3,504","7,421",0,16,1/464,5,5.0,"-2,179","5,498",0,14,1/393,54,2.0,"+8,834","8,597",0,14,1/614,5,5.0,"-1,296","1,222",0,2,1/611,44,3.0,-239,"7,283",0,20,1/364,40,3.0,"-3,557","3,594",0,7,1/513,66,12.0,"+3,501","7,783",0,16,1/486,5,5.0
2026-02-28,土,いいえ,"-3,738","8,384",0,16,1/524,37,11.0,"+9,466","9,454",0,19,1/498,0,-,"+4,203","7,104",0,12,1/592,0,-,"+2,198","7,634",0,15,1/509,0,-,"+3,602","6,074",0,12,1/506,8,8.0,"-1,825","7,131",0,17,1/419,19,11.0,"-4,015","4,951",0,9,1/550,55,4.0,"+1,061","9,724",0,26,1/374,0,-,"+1,509","8,901",0,20,1/445,20,1.0,"-2,580","5,284",0,10,1/528,43,3.0,"-1,106","6,190",0,13,1/476,26,2.0,"-2,937","8,072",0,14,1/577,40,3.0,"-2,277","5,433",0,10,1/543,65,10.0,-30,"7,353",0,14,1/525,24,3.0,"-2,889","7,610",0,15,1/507,48,5.0,-222,"8,011",0,19,1/422,21,1.0,"-2,606","6,835",0,13,1/526,51,3.0
2026-02-27,金,いいえ,"-1,266","6,291",0,12,1/524,49,1.0,"-1,177","7,275",0,18,1/404,48,6.0,"+4,951","4,163",0,4,1/1041,5,5.0,"+6,971","5,923",0,12,1/494,0,-,"+5,279","5,227",0,11,1/475,8,3.0,"+2,275","8,746",0,27,1/324,0,-,-179,"3,081",0,7,1/440,18,10.0,"+1,892","4,987",0,10,1/499,32,9.0,"-1,926","4,228",0,8,1/529,56,7.0,"-1,003","2,196",0,5,1/439,18,10.0,"+7,311","7,448",0,15,1/497,5,5.0,+410,"2,061",0,6,1/344,35,3.0,"-1,810","6,845",0,14,1/489,65,9.0,+305,"6,573",0,13,1/506,41,6.0,"-1,438","4,281",0,11,1/389,56,7.0,+441,"3,786",0,13,1/291,23,5.0,"-2,555","5,547",0,13,1/427,42,1.0
2026-02-26,木,はい,"-3,703","6,474",0,12,1/540,51,3.0,"-2,347","3,846",0,8,1/481,60,1.0,"+1,898","9,702",0,24,1/404,9,6.0,"-1,866","6,410",0,13,1/493,25,6.0,"-1,296","9,269",0,24,1/386,40,2.0,"+2,003","7,359",0,14,1/526,3,3.0,"+3,713","9,333",0,23,1/406,0,-,"-2,723","2,836",0,5,1/567,59,8.0,"-2,038","7,703",0,15,1/514,48,2.0,"+9,391","9,502",0,18,1/528,0,-,"-1,402","6,925",0,15,1/462,38,4.0,"-1,919","8,611",0,19,1/453,34,9.0,"-2,958","4,652",0,7,1/665,74,14.0,"-3,961","3,805",0,6,1/634,60,1.0,"-3,438","8,297",0,17,1/488,46,6.0,"+2,970","7,504",0,16,1/469,3,3.0,+332,"6,678",0,15,1/445,19,10.0
2026-02-25,水,いいえ,-115,"7,001",0,14,1/500,29,8.0,"-4,121","3,276",0,5,1/655,56,3.0,"-1,774","1,903",0,3,1/634,34,2.0,+417,"1,647",0,3,1/549,21,11.0,"-1,473","1,214",0,2,1/607,67,8.0,+66,"3,012",0,7,1/430,10,-,-690,"1,768",0,6,1/295,58,2.0,-855,"6,724",0,17,1/396,48,5.0,"-1,564","3,915",0,10,1/392,56,3.0,"-1,390","1,270",0,2,1/635,59,1.0,"+3,578","6,484",0,12,1/540,21,11.0,-281,"3,007",0,6,1/501,43,9.0,"-1,864","2,891",0,7,1/413,81,14.0,"-1,248","3,542",0,8,1/443,53,5.0,"-1,545","3,808",0,9,1/423,32,3.0,"+9,190","6,835",0,13,1/526,10,-,+901,"3,291",0,6,1/549,34,2.0
2026-02-24,火,いいえ,"-1,198","6,556",0,13,1/504,45,3.0,-43,"5,055",0,12,1/421,52,5.0,"+4,983","2,439",0,4,1/610,10,4.0,"+5,990","5,517",0,9,1/613,12,2.0,"-2,091","2,202",0,4,1/551,61,3.0,"+5,683","5,585",0,8,1/698,6,-,+767,"1,594",0,3,1/531,58,4.0,"-2,469","6,801",0,15,1/453,47,2.0,"-1,883","5,641",0,11,1/513,54,1.0,-222,"2,148",0,7,1/307,42,5.0,-476,"2,181",0,7,1/312,71,5.0,-796,805,0,2,1/403,28,12.0,"-1,405","2,434",0,5,1/487,66,5.0,-528,"1,548",0,4,1/387,53,1.0,"+2,339","5,690",0,13,1/438,16,4.0,+63,"4,510",0,9,1/501,37,9.0,"-1,651","2,532",0,4,1/633,37,9.0
2026-02-23,月,はい,"-3,348","6,301",0,12,1/525,41,3.0,"-4,270","5,352",0,8,1/669,54,3.0,"+2,724","7,845",0,15,1/523,10,10.0,"-5,433","6,054",0,12,1/505,51,3.0,+695,"7,923",0,20,1/396,30,8.0,"-3,490","5,462",0,8,1/683,51,3.0,"-3,614","4,575",0,7,1/654,59,3.0,"-1,707","8,047",0,22,1/366,38,2.0,"-3,488","7,194",0,14,1/514,48,3.0,+63,"8,276",0,23,1/360,36,6.0,"-2,795","8,036",0,20,1/402,64,5.0,"+2,778","6,991",0,16,1/437,0,-,-564,"7,520",0,16,1/470,56,2.0,"-2,676","3,660",0,7,1/523,22,12.0,"-1,834","7,749",0,21,1/369,48,3.0,"+1,801","6,855",0,9,1/762,45,4.0,"+2,763","7,331",0,12,1/611,0,-
2026-02-22,日,いいえ,"-3,582","4,671",0,7,1/667,16,2.0,"-5,062","6,583",0,13,1/506,49,2.0,"-3,143","3,964",0,6,1/661,61,7.0,+968,"7,850",0,18,1/436,14,14.0,"-1,442","6,015",0,11,1/547,41,7.0,"-1,391","1,123",0,2,1/562,21,4.0,"-3,376","9,151",0,24,1/381,47,5.0,"-1,905","3,883",0,5,1/777,34,13.0,"-2,343","3,851",0,5,1/770,54,3.0,"-3,291","6,696",0,13,1/515,51,2.0,"-1,247","3,434",0,5,1/687,66,1.0,-182,"6,693",0,14,1/478,17,1.0,"-2,324","2,764",0,5,1/553,83,17.0,"+4,520","7,680",0,16,1/480,0,-,"-1,192","3,934",0,10,1/393,54,3.0,"-4,443","6,304",0,10,1/630,65,4.0,"-1,263","9,039",0,19,1/476,42,1.0
2026-02-21,土,いいえ,"+5,526","5,967",0,11,1/542,0,-,"-1,028","7,126",0,11,1/648,29,3.0,+121,"4,006",0,8,1/501,36,7.0,-838,"5,356",0,14,1/383,36,7.0,+497,"3,042",0,9,1/338,47,4.0,"+5,890","9,158",0,18,1/509,0,-,"-1,211","2,888",0,6,1/481,70,16.0,"+2,472","7,915",0,14,1/565,6,6.0,"-1,086","5,245",0,9,1/583,50,3.0,-732,"4,023",0,6,1/671,50,3.0,-420,"1,402",0,2,1/701,70,16.0,-371,"8,390",0,16,1/524,13,7.0,"-2,536","3,712",0,9,1/412,77,7.0,+734,"3,294",0,9,1/366,26,13.0,"-2,366","3,007",0,5,1/601,54,4.0,"-1,141","4,871",0,10,1/487,43,7.0,"-2,837","5,668",0,12,1/472,54,4.0
2026-02-20,金,いいえ,"+2,032","4,565",0,11,1/415,0,-,-950,"3,722",0,9,1/414,43,4.0,"-1,197","2,941",0,7,1/420,47,4.0,+336,"1,512",0,2,1/756,47,4.0,+213,"2,455",0,5,1/491,53,1.0,"-1,340","3,724",0,8,1/466,50,3.0,"-1,571","2,471",0,4,1/618,64,4.0,"-1,501","5,202",0,11,1/473,52,2.0,"-1,816","2,270",0,3,1/757,55,1.0,"-1,880","4,440",0,9,1/493,56,1.0,-752,"2,364",0,6,1/394,67,3.0,+222,"7,703",0,18,1/428,19,19.0,"-1,287","1,915",0,4,1/479,54,1.0,+380,"3,833",0,8,1/479,39,18.0,"-2,137","5,260",0,12,1/438,53,1.0,+552,"5,046",0,11,1/459,21,2.0,"-2,232","4,189",0,8,1/524,60,4.0
2026-02-19,木,いいえ,"+5,374","4,788",0,12,1/399,4,-,"-1,323","4,262",0,8,1/533,12,8.0,+407,"2,275",0,7,1/325,40,4.0,"-1,104","2,330",0,3,1/777,63,2.0,"-1,022","4,233",0,12,1/353,67,3.0,+749,"1,500",0,3,1/500,48,8.0,"-1,615","6,474",0,12,1/540,55,5.0,"-2,084","1,768",0,2,1/884,50,1.0,"-3,023","6,598",0,15,1/440,49,1.0,"-1,742","6,230",0,19,1/328,49,1.0,"-1,564","3,360",0,7,1/480,48,8.0,-809,"1,708",0,3,1/569,64,1.0,"+1,907","2,978",0,6,1/496,28,5.0,"-1,601","2,227",0,4,1/557,61,1.0,-25,"2,470",0,7,1/353,36,8.0,"+2,053","2,615",0,4,1/654,23,11.0,"-2,278","3,044",0,4,1/761,60,5.0
2026-02-18,水,いいえ,-382,"2,513",0,6,1/419,47,1.0,"+4,025","4,519",0,10,1/452,6,-,-402,366,0,1,1/366,21,15.0,"-1,210","2,726",0,6,1/454,52,1.0,"-2,728","4,739",0,11,1/431,67,7.0,+299,978,0,2,1/489,52,1.0,-430,868,0,3,1/289,51,4.0,+591,"5,891",0,14,1/421,35,6.0,"-1,632","2,142",0,4,1/536,57,1.0,"-1,212","1,108",0,2,1/554,52,1.0,"+2,543","2,808",0,7,1/401,27,6.0,-457,499,0,1,1/499,60,3.0,"+2,589","4,728",0,14,1/338,35,6.0,+302,"1,032",0,4,1/258,46,11.0,"-1,092","6,101",0,16,1/381,28,1.0,"+1,819","5,111",0,11,1/465,29,1.0,"-2,037","4,134",0,7,1/591,56,4.0
2026-02-17,火,いいえ,"-4,014","6,719",0,12,1/560,32,8.0,"+4,801","7,331",0,18,1/407,0,-,"+4,947","7,203",0,15,1/480,8,8.0,-590,470,0,1,1/470,36,4.0,-611,"8,005",0,21,1/381,46,1.0,"-1,420","4,165",0,9,1/463,56,3.0,+64,991,0,2,1/496,22,7.0,"-1,851","5,076",0,10,1/508,45,2.0,"-1,945","5,181",0,12,1/432,24,2.0,+374,"3,022",0,3,1/1007,38,2.0,+469,"3,879",0,10,1/388,38,2.0,"-2,751","4,469",0,9,1/497,43,5.0,-367,888,0,2,1/444,63,7.0,"-1,003","3,964",0,7,1/566,53,7.0,-752,"1,280",0,2,1/640,15,7.0,"-2,771","3,610",0,7,1/516,56,3.0,"-3,849","6,220",0,11,1/565,43,5.0
2026-02-16,月,はい,"+1,819","8,783",0,22,1/399,0,-,"-2,253","7,205",0,15,1/480,25,6.0,-102,"6,575",0,12,1/548,52,1.0,+414,"9,089",0,20,1/454,19,2.0,"-1,781","5,521",0,14,1/394,57,5.0,"-2,606","6,053",0,11,1/550,51,18.0,"+7,049","9,682",0,23,1/421,0,-,"-4,410","4,985",0,10,1/499,27,1.0,"+9,110","6,319",0,9,1/702,8,8.0,"-1,707","7,254",0,17,1/427,32,5.0,"-1,156","6,474",0,15,1/432,26,1.0,"+1,201","4,882",0,7,1/697,14,6.0,"-1,523","4,411",0,9,1/490,61,4.0,"-2,461","9,443",0,22,1/429,33,1.0,"+11,777","8,913",0,18,1/495,0,-,+149,"5,887",0,15,1/392,15,1.0,"+1,064","8,823",0,12,1/735,17,2.0
2026-02-15,日,いいえ,"+2,408","5,711",0,11,1/519,9,5.0,"+2,798","6,380",0,11,1/580,9,5.0,"-3,698","4,749",0,8,1/594,59,3.0,"-1,278","2,838",0,5,1/568,50,2.0,"-3,403","5,893",0,8,1/737,41,8.0,"-2,763","6,590",0,16,1/412,51,1.0,"-2,093","5,502",0,11,1/500,51,1.0,"+4,621","8,989",0,19,1/473,0,-,"-1,072","5,624",0,10,1/562,45,4.0,+730,"6,438",0,15,1/429,25,14.0,"+4,737","7,564",0,20,1/378,11,2.0,"+2,331","6,477",0,15,1/432,30,5.0,+343,"6,185",0,14,1/442,46,1.0,"+1,010","4,024",0,8,1/503,33,3.0,"-3,451","5,596",0,11,1/509,48,2.0,"+3,283","6,822",0,15,1/455,4,4.0,"-1,049","4,725",0,9,1/525,56,5.0
2026-02-14,土,いいえ,"-2,253","6,701",0,12,1/558,29,7.0,"-2,136","4,094",0,9,1/455,44,3.0,"-2,256","3,771",0,8,1/471,52,1.0,-157,"3,359",0,8,1/420,38,7.0,"+2,884","6,297",0,15,1/420,10,3.0,"-1,951","3,509",0,6,1/585,64,7.0,-872,"7,642",0,14,1/546,41,3.0,"+2,782","5,567",0,14,1/398,7,-,-538,"6,464",0,13,1/497,47,3.0,"-1,596","7,710",0,20,1/386,48,1.0,-722,"4,207",0,10,1/421,53,1.0,"-4,228","6,005",0,13,1/462,51,3.0,"-4,723","6,726",0,13,1/517,31,2.0,"-2,112","2,689",0,5,1/538,57,1.0,"-1,440","4,727",0,11,1/430,22,12.0,"+4,822","6,048",0,10,1/605,10,3.0,"-2,419","4,990",0,9,1/554,56,3.0
2026-02-13,金,はい,"+2,615","6,785",0,13,1/522,8,1.0,+806,"8,869",0,23,1/386,24,16.0,+565,"5,787",0,12,1/482,45,2.0,"-1,968","7,299",0,11,1/664,35,2.0,+779,"5,436",0,10,1/544,33,9.0,"-1,406","5,934",0,14,1/424,49,1.0,"-1,269","6,517",0,22,1/296,41,6.0,-383,"4,460",0,10,1/446,46,1.0,"-2,423","6,539",0,17,1/385,51,2.0,"-1,567","5,246",0,10,1/525,54,3.0,-786,"5,814",0,11,1/529,57,3.0,"-3,051","7,731",0,12,1/644,48,2.0,"+7,472","7,985",0,20,1/399,7,7.0,"-1,784","5,360",0,12,1/447,43,2.0,"+1,631","7,462",0,21,1/355,0,-,-221,"4,638",0,9,1/515,59,2.0,"-3,702","5,495",0,9,1/611,54,3.0
2026-02-12,木,いいえ,-170,"5,262",0,9,1/585,38,2.0,"-1,161","5,115",0,8,1/639,50,1.0,"-1,464","1,664",0,2,1/832,62,1.0,+730,"5,849",0,14,1/418,36,4.0,+0,"1,842",0,4,1/461,28,5.0,"+1,771","6,034",0,12,1/503,46,8.0,-549,429,0,1,1/429,23,21.0,"-2,821","4,993",0,9,1/555,32,4.0,"-1,688","1,980",0,5,1/396,49,3.0,"-1,995","6,716",0,19,1/353,54,4.0,+421,"4,124",0,10,1/412,70,8.0,"-2,772","3,377",0,4,1/844,55,1.0,"-1,385","4,492",0,8,1/562,61,5.0,-526,"1,378",0,2,1/689,23,21.0,"+3,273","2,553",0,5,1/511,2,-,"-2,068","5,660",0,13,1/435,55,1.0,"-2,508","4,491",0,6,1/749,56,1.0
2026-02-11,水,いいえ,"-5,472","6,194",0,9,1/688,40,11.0,"-1,283","5,507",0,13,1/424,44,4.0,"-2,727","6,333",0,13,1/487,48,3.0,"-2,432","4,814",0,8,1/602,50,2.0,"+8,537","5,884",0,10,1/588,13,10.0,"-3,052","4,912",0,10,1/491,67,3.0,"+3,628","7,895",0,16,1/493,3,3.0,"+2,853","7,288",0,15,1/486,3,3.0,+709,"5,784",0,14,1/413,27,14.0,"-2,274","5,612",0,15,1/374,59,9.0,"-3,528","8,676",0,18,1/482,64,5.0,"-4,193","6,183",0,12,1/515,29,1.0,"-2,289","6,101",0,11,1/555,45,1.0,-158,"7,345",0,12,1/612,0,-,"+2,430","5,627",0,12,1/469,3,3.0,"-2,320","7,080",0,13,1/545,28,1.0,"-3,352","7,476",0,19,1/393,48,3.0
2026-02-10,火,いいえ,"+4,455","6,045",0,11,1/550,0,-,"-1,126","5,969",0,17,1/351,43,3.0,"+1,475","2,241",0,5,1/448,48,5.0,-479,"2,169",0,6,1/362,28,1.0,"-2,985","3,034",0,4,1/759,72,9.0,"-2,368","6,176",0,13,1/475,63,3.0,"+4,742","2,811",0,3,1/937,27,6.0,"-1,387","1,580",0,2,1/790,54,6.0,-16,"4,648",0,11,1/423,48,5.0,-662,528,0,1,1/528,58,4.0,"-1,475","4,413",0,11,1/401,72,9.0,"+5,067","6,480",0,11,1/589,0,-,"+1,513","3,257",0,9,1/362,40,12.0,"+6,825","6,903",0,14,1/493,0,-,"-1,616","6,451",0,14,1/461,21,10.0,"+3,075","6,849",0,12,1/571,11,11.0,"-2,132","4,880",0,8,1/610,60,2.0
2026-02-09,月,いいえ,"-2,823","5,180",0,9,1/576,47,2.0,-828,637,0,1,1/637,45,3.0,"-2,488","3,847",0,6,1/641,68,2.0,"+2,221","3,940",0,9,1/438,26,14.0,-362,322,0,1,1/322,32,6.0,-125,"3,323",0,6,1/554,55,3.0,-658,957,0,2,1/479,41,4.0,+587,"4,415",0,10,1/442,52,1.0,-719,610,0,1,1/610,66,3.0,"-1,804","6,500",0,18,1/361,42,1.0,"-1,250",870,0,1,1/870,48,1.0,-769,"2,403",0,6,1/401,50,2.0,"-1,143","1,766",0,3,1/589,51,1.0,+392,"1,931",0,4,1/483,34,2.0,"+2,189","3,863",0,8,1/483,12,-,"+1,646","6,178",0,13,1/475,37,3.0,"-1,709","2,270",0,4,1/568,63,8.0
2026-02-08,日,いいえ,"-3,022","5,757",0,12,1/480,23,1.0,"-1,070","6,261",0,10,1/626,44,2.0,"-1,622","3,715",0,9,1/413,38,1.0,"-1,350","1,643",0,4,1/411,63,12.0,"+1,478","7,726",0,16,1/483,4,-,"-1,364","3,763",0,6,1/627,70,7.0,"-1,900","5,220",0,11,1/475,19,15.0,"-4,366","4,911",0,7,1/702,48,2.0,"-2,839","3,770",0,7,1/539,42,4.0,"-3,293","5,054",0,10,1/505,31,6.0,"+2,655","7,902",0,17,1/465,31,6.0,-23,"5,307",0,9,1/590,50,2.0,-276,"4,573",0,10,1/457,25,2.0,-476,"3,119",0,6,1/520,22,3.0,-824,"5,859",0,14,1/419,37,6.0,"-3,641","6,895",0,15,1/460,51,1.0,"-2,580","4,815",0,11,1/438,46,2.0
2026-02-07,土,いいえ,"+3,780","8,324",0,11,1/757,0,-,"-3,738","5,851",0,15,1/390,31,3.0,+27,"7,619",0,16,1/476,11,3.0,-955,"2,322",0,3,1/774,49,18.0,"+2,177","5,279",0,10,1/528,13,2.0,"-2,070","2,264",0,3,1/755,69,17.0,"+7,316","8,629",0,17,1/508,0,-,"-1,832","4,183",0,8,1/523,22,4.0,+220,"5,169",0,12,1/431,11,3.0,"+4,520","7,593",0,14,1/542,0,-,"-3,115","4,310",0,9,1/479,72,3.0,"-4,088","5,731",0,12,1/478,52,3.0,"+7,201","6,747",0,15,1/450,6,6.0,-228,"2,893",0,7,1/413,8,2.0,"-1,456","6,462",0,13,1/497,28,5.0,"-4,299","7,129",0,13,1/548,23,1.0,-299,"5,298",0,15,1/353,18,5.0
2026-02-06,金,はい,-524,"7,711",0,18,1/428,27,20.0,"-3,079","8,181",0,17,1/481,5,2.0,"+2,623","10,471",0,28,1/374,7,2.0,"-4,869","5,854",0,11,1/532,38,3.0,-767,"9,048",0,24,1/377,35,5.0,-621,"6,966",0,14,1/498,53,12.0,"-3,699","8,791",0,20,1/440,39,1.0,"+3,208","8,143",0,16,1/509,0,-,"+6,832","9,208",0,17,1/542,0,-,-677,"8,239",0,19,1/434,30,3.0,"-4,230","8,733",0,19,1/460,62,9.0,"-4,472","7,313",0,18,1/406,41,2.0,"+7,471","8,209",0,10,1/821,5,2.0,"+11,629","9,932",0,22,1/451,0,-,-187,"8,069",0,16,1/504,1,1.0,"+3,496","8,840",0,16,1/553,0,-,"+3,884","8,360",0,17,1/492,3,2.0
2026-02-05,木,いいえ,"-1,475","4,395",0,8,1/549,28,7.0,"+11,014","8,268",0,18,1/459,0,-,-939,851,0,1,1/851,70,7.0,"+1,343","5,754",0,12,1/480,2,2.0,"-1,109",819,0,1,1/819,52,1.0,"-1,655","4,935",0,12,1/411,51,2.0,-524,"3,350",0,6,1/558,21,2.0,"-1,075","2,896",0,4,1/724,49,1.0,"+5,358","5,933",0,11,1/539,0,-,"-1,015","5,218",0,13,1/401,45,17.0,"-2,183","4,153",0,12,1/346,63,6.0,"+2,795","6,056",0,9,1/673,18,16.0,-702,"4,175",0,8,1/522,51,2.0,"-2,517","3,653",0,7,1/522,48,3.0,"+3,123","5,961",0,10,1/596,19,1.0,"+3,641","7,508",0,16,1/469,0,-,"-2,300","2,285",0,4,1/571,57,5.0
2026-02-04,水,いいえ,"+3,065","7,124",0,14,1/509,13,3.0,+160,"5,584",0,12,1/465,10,10.0,"-2,606","4,629",0,10,1/463,47,8.0,"+2,389","7,182",0,17,1/422,0,-,-532,"4,215",0,8,1/527,24,3.0,"-3,261","5,215",0,13,1/401,25,1.0,"+3,773","6,961",0,14,1/497,0,-,"-1,971","8,434",0,14,1/602,16,3.0,-349,"7,790",0,16,1/487,0,-,"-1,421","1,502",0,2,1/751,34,2.0,"-1,652","1,708",0,3,1/569,32,7.0,"-2,796","6,711",0,14,1/479,51,4.0,-121,"1,761",0,3,1/587,36,2.0,+168,"6,990",0,12,1/583,18,2.0,"-3,080","7,572",0,17,1/445,39,2.0,+359,"6,010",0,15,1/401,21,3.0,"-1,639","8,849",0,18,1/492,37,1.0
2026-02-03,火,はい,"-3,201","6,732",0,13,1/518,46,9.0,"+3,359","8,630",0,21,1/411,4,3.0,"+1,279","8,821",0,25,1/353,6,1.0,"-2,911","6,450",0,14,1/461,8,2.0,"+7,892","9,002",0,16,1/563,0,-,"+9,520","9,012",0,21,1/429,5,1.0,+218,"8,007",0,18,1/445,20,9.0,"-2,534","8,529",0,20,1/426,0,-,"+2,884","9,070",0,22,1/412,0,-,"+1,021","6,956",0,13,1/535,1,1.0,"+17,548","8,605",0,9,1/956,1,1.0,"-1,424","5,388",0,12,1/449,47,1.0,"+1,917","8,071",0,13,1/621,24,1.0,-521,"9,254",0,28,1/331,11,3.0,"-2,700","9,319",0,23,1/405,26,2.0,-815,"9,388",0,21,1/447,23,3.0,"-3,915","8,577",0,13,1/660,37,11.0
2026-02-01,日,いいえ,"-4,050","6,386",0,11,1/581,38,1.0,"-1,372","4,753",0,11,1/432,52,8.0,"+1,504","7,064",0,14,1/505,26,8.0,"+6,448","5,819",0,11,1/529,0,-,"-2,726","5,930",0,16,1/371,43,3.0,"+1,569","4,795",0,8,1/599,27,1.0,"-1,928","4,726",0,9,1/525,44,1.0,"+12,526","7,013",0,13,1/539,0,-,+745,"8,053",0,19,1/424,10,10.0,"+2,624","7,361",0,15,1/491,0,-,"-3,114","6,511",0,12,1/543,65,13.0,-362,"7,918",0,22,1/360,40,1.0,"-2,419","4,277",0,6,1/713,37,10.0,"+2,055","4,488",0,8,1/561,12,2.0,"+2,566","8,376",0,24,1/349,13,1.0,-22,"4,545",0,9,1/505,18,5.0,"-3,439","7,794",0,17,1/458,39,1.0
2026-01-31,土,いいえ,"-2,642","8,025",0,19,1/422,14,8.0,"-1,429","6,737",0,12,1/561,47,7.0,"-1,232","5,407",0,15,1/360,58,2.0,"+6,891","7,580",0,15,1/505,0,-,"+1,299","8,504",0,18,1/472,23,3.0,-166,"6,398",0,12,1/533,16,1.0,+747,"7,294",0,22,1/332,32,9.0,"+13,775","8,839",0,12,1/737,0,-,-127,"8,730",0,24,1/364,36,4.0,+883,"7,658",0,18,1/425,15,1.0,"-1,966","5,515",0,11,1/501,55,3.0,"-2,489","4,315",0,8,1/539,56,1.0,"+7,738","7,036",0,9,1/782,20,4.0,+921,"7,504",0,14,1/536,38,2.0,"-3,499","5,933",0,9,1/659,52,5.0,"+3,006","6,912",0,11,1/628,6,6.0,"-3,640","7,552",0,13,1/581,40,2.0
