日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-23,土,はい,"+2,778","4,103",27,11,1/108,"+4,378","3,493",27,14,1/85,+604,803,4,5,1/89,"+4,951","2,946",23,22,1/65,"-1,568","1,138",0,1,1/1138,-597,"5,243",21,10,1/169,"-2,905","4,461",10,9,1/235,"+3,593","1,598",19,6,1/64
2026-05-22,金,いいえ,"-1,229","2,853",7,10,1/168,"-2,703","4,879",12,11,1/212,-345,217,0,0,-,-817,"4,930",18,15,1/149,+827,527,5,1,1/88,-426,355,0,1,1/355,"+1,843","2,118",12,13,1/85,"-1,780","4,111",14,5,1/216
2026-05-21,木,いいえ,-928,"3,802",13,10,1/165,-393,850,4,1,1/170,"+1,227","1,493",10,4,1/107,-646,423,0,0,-,"+1,986","1,461",11,8,1/77,-465,438,1,0,1/438,-403,268,0,0,-,"-2,433","4,394",12,7,1/231
2026-05-20,水,いいえ,"+1,504","1,289",11,2,1/99,+0,"2,352",12,1,1/181,+179,"1,941",8,6,1/139,"+1,735","1,677",12,8,1/84,"+3,237","1,869",16,10,1/72,"-1,498","1,247",1,2,1/416,-672,488,0,1,1/488,"+1,221","1,452",12,0,1/121
2026-05-19,火,いいえ,-708,571,0,2,1/286,"-1,111","2,008",6,3,1/223,-230,143,0,0,-,+100,"2,033",9,4,1/156,+268,824,3,5,1/103,"+3,675","2,369",21,9,1/79,+261,"1,322",7,2,1/147,-736,"3,304",13,5,1/184
2026-05-18,月,いいえ,-102,"2,191",9,6,1/146,"+3,415","2,115",17,13,1/71,-387,262,0,0,-,-421,"4,911",18,13,1/158,-27,"5,990",26,14,1/150,+598,707,4,4,1/88,"-1,490","1,072",0,1,1/1072,-119,"4,194",17,9,1/161
2026-05-17,日,いいえ,"+4,739","2,916",27,11,1/77,"-1,340","5,964",23,9,1/186,+997,"2,621",15,2,1/154,"-3,618","6,211",16,14,1/207,-201,"5,935",23,18,1/145,-273,"3,067",13,5,1/170,"-2,041","4,710",13,11,1/196,-379,"7,061",27,23,1/141
2026-05-16,土,はい,"+2,832","7,717",40,23,1/122,-102,727,4,2,1/121,"+2,169","4,434",23,19,1/106,-225,"3,698",12,16,1/132,"-2,197","4,575",13,10,1/199,+455,"5,328",25,13,1/140,"-2,787","5,418",14,11,1/217,+301,"5,319",23,15,1/140
2026-05-15,金,いいえ,+524,865,5,3,1/108,-367,"2,797",13,1,1/200,-446,"3,961",13,15,1/141,+378,"4,047",17,13,1/135,-466,"4,662",18,11,1/161,-819,"4,381",17,7,1/183,"+4,665","4,067",31,11,1/97,"+1,297","1,650",11,5,1/103
2026-05-14,木,いいえ,+160,"1,749",9,4,1/135,-595,"1,354",4,3,1/193,"-4,552","5,129",7,11,1/285,"-1,120","2,763",8,5,1/213,"-1,426","1,049",0,2,1/525,-913,"1,563",3,6,1/174,"-1,251","1,834",3,6,1/204,"+1,732","2,313",14,9,1/101
2026-05-13,水,はい,"-2,321","5,820",15,19,1/171,"-1,998","7,212",25,17,1/172,"+1,960","2,982",18,9,1/110,-364,"2,707",7,14,1/129,"-1,323","2,632",6,8,1/188,-368,"2,074",7,6,1/160,"+3,185","1,590",16,6,1/72,-416,"2,291",9,5,1/164
2026-05-12,火,いいえ,"-2,138","3,923",10,8,1/218,"-2,560","3,554",8,6,1/254,"-2,347","3,720",7,10,1/219,"-4,053","4,878",9,6,1/325,-891,"1,562",4,4,1/195,"+2,103","4,039",23,11,1/119,"-1,105","2,206",5,7,1/184,+536,"2,111",10,8,1/117
2026-05-10,日,いいえ,+478,"2,521",14,3,1/148,"-2,732","3,971",10,5,1/265,"+3,388","2,668",19,17,1/74,"-3,851","5,654",13,9,1/257,-301,"6,295",22,23,1/140,"-1,550","6,061",22,10,1/189,"-1,123","6,313",25,12,1/171,"+4,778","5,917",39,20,1/100
2026-05-09,土,いいえ,"+3,478","5,782",33,21,1/107,"+2,709","2,739",19,9,1/98,-868,"4,117",16,7,1/179,+813,"3,846",18,10,1/137,+546,796,3,7,1/80,+51,"4,382",19,10,1/151,+897,495,4,4,1/62,+218,"4,617",20,14,1/136
