日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-22,金,いいえ,"+1,915","3,664",19,15,1/108,+264,909,3,6,1/101,-649,574,1,1,1/287,"-1,381","2,690",7,7,1/192,-646,729,1,3,1/182,-509,"1,840",5,7,1/153,"+2,056","3,244",19,12,1/105,+297,777,5,0,1/155
2026-05-21,木,いいえ,-155,"2,829",11,6,1/166,-894,"4,327",14,13,1/160,"-1,194","2,764",7,9,1/173,-207,"2,212",8,7,1/147,"+1,100","1,813",11,5,1/113,-628,764,2,2,1/191,-478,"2,147",8,5,1/165,-257,"2,507",8,9,1/147
2026-05-20,水,いいえ,"-1,498","3,491",12,4,1/218,-619,417,0,0,-,"+1,561","2,690",18,4,1/122,-825,"1,549",3,5,1/194,-468,913,3,3,1/152,-260,"1,831",6,6,1/153,-344,949,3,5,1/119,"-2,491","4,367",9,11,1/218
2026-05-19,火,いいえ,-221,"1,969",8,3,1/179,"-1,705","5,582",21,6,1/207,"-2,108","4,186",13,7,1/209,"+2,451","2,469",16,13,1/85,+375,650,4,1,1/130,+711,818,7,0,1/117,"-2,627","3,193",5,8,1/246,"-5,141","5,931",12,5,1/349
2026-05-18,月,いいえ,"+2,072","2,504",18,5,1/109,"-1,864","1,372",1,0,1/1372,+621,585,4,3,1/84,"-3,912","4,054",4,11,1/270,"-3,419","4,749",9,10,1/250,"+1,827","3,093",20,5,1/124,-67,"4,133",18,7,1/165,-288,"2,158",10,1,1/196
2026-05-17,日,いいえ,"-1,292","5,882",22,11,1/178,"+1,862",878,9,4,1/68,"-2,202","6,278",22,9,1/203,-96,"6,156",25,19,1/140,"-1,520","4,053",13,8,1/193,+427,"2,251",10,8,1/125,+290,"3,110",12,12,1/130,"-1,693","3,448",9,8,1/203
2026-05-16,土,はい,+652,631,5,1,1/105,"+2,897","3,882",26,9,1/111,"-5,763","8,550",18,19,1/231,"-5,102","5,873",13,5,1/326,-15,"4,171",16,15,1/135,+37,"1,290",6,1,1/184,"+2,500","2,882",20,8,1/103,"-1,459","1,186",1,0,1/1186
2026-05-15,金,いいえ,+878,607,5,3,1/76,-606,"5,791",24,10,1/170,+414,832,4,5,1/92,+24,"2,979",12,10,1/135,+390,"1,540",8,2,1/154,+536,"3,181",14,10,1/133,+234,"1,593",8,3,1/145,+742,"4,146",16,19,1/118
2026-05-14,木,いいえ,"+3,628","2,286",20,11,1/74,-350,"4,698",20,9,1/162,-485,"2,605",10,5,1/174,"-6,021","5,687",8,6,1/406,"+1,730","1,745",11,8,1/92,"+1,768","3,198",18,11,1/110,+546,367,2,4,1/61,+855,767,6,2,1/96
2026-05-13,水,はい,+922,"2,363",13,8,1/113,"-3,173","4,620",11,7,1/257,-963,787,0,3,1/262,"-1,513","3,029",9,4,1/233,-291,661,3,1,1/165,-799,"2,814",11,4,1/188,"-2,091","8,515",28,22,1/170,"+2,637","3,443",22,12,1/101
2026-05-12,火,いいえ,"-2,865","4,741",10,12,1/216,-932,"1,913",4,8,1/159,"+7,312","4,437",41,14,1/81,"+3,800","2,624",22,9,1/85,"-1,580","4,340",14,8,1/197,+410,"1,785",9,4,1/137,"+1,201","1,860",11,8,1/98,"-4,608","6,699",15,10,1/268
