日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-01-12,月,いいえ,+362,"3,140",14,10,1/131,3.80,"+1,011","5,700",26,11,1/154,2.41,-109,525,1,1,1/263,3.23,-392,659,2,0,1/330,2.89,-454,689,1,0,1/689,2.78,-239,"2,530",9,5,1/181,2.76,-226,"1,059",4,2,1/177,3.15,"-1,175","2,573",7,1,1/322,1.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-11,日,いいえ,-552,"1,268",3,2,1/254,2.84,"+1,225","6,041",25,23,1/126,4.64,"+1,166","4,233",19,11,1/141,3.26,-310,"1,634",6,2,1/204,2.69,-431,"1,397",3,6,1/155,3.77,+148,"3,859",17,8,1/154,2.76,-649,"1,020",2,1,1/340,2.77,-536,"2,503",8,7,1/167,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-10,土,いいえ,-347,620,1,1,1/310,3.12,-603,"4,161",11,17,1/149,4.14,+939,"3,597",16,13,1/124,4.23,"+2,692","3,995",24,14,1/105,4.74,-702,"1,601",4,2,1/267,2.59,+332,"1,170",7,1,1/146,3.00,-772,"2,340",8,4,1/195,2.64,"-1,016","2,463",6,5,1/224,2.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-08,木,はい,+747,"5,173",21,14,1/148,3.19,-371,329,0,1,1/329,3.38,-548,"1,599",5,3,1/200,2.90,-186,834,3,0,1/278,2.78,-780,"2,057",4,7,1/187,3.37,"+1,227","2,712",16,6,1/123,3.39,"+3,678","4,926",31,20,1/97,5.41,-314,"3,271",13,6,1/172,2.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-07,水,いいえ,-99,"2,259",7,9,1/141,3.93,"+2,621","3,715",26,12,1/98,4.78,-481,688,2,0,1/344,2.86,-716,906,1,1,1/453,2.81,-242,374,1,0,1/374,3.13,"-1,191","2,210",3,8,1/201,3.38,-363,256,0,0,-,3.18,-678,"1,767",5,4,1/196,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-06,火,いいえ,+19,"2,673",11,4,1/178,2.54,-158,405,1,0,1/405,3.09,-537,"1,106",3,1,1/277,2.75,-594,660,0,1,1/660,2.99,+245,631,4,0,1/158,3.09,-327,"1,572",5,6,1/143,3.75,+874,"4,842",24,10,1/142,2.77,-462,473,0,1,1/473,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-05,月,はい,-519,"4,866",18,12,1/162,2.82,-504,"6,291",22,20,1/150,3.57,-115,"5,107",20,13,1/155,2.95,-400,"5,244",15,17,1/164,3.40,"+1,956","8,330",37,28,1/128,4.44,+273,"5,005",21,13,1/147,3.11,"+4,167","9,191",50,29,1/116,4.83,-170,"4,104",15,8,1/178,2.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-04,日,いいえ,+265,"1,054",6,1,1/151,3.05,-297,"1,599",5,5,1/160,3.44,+762,"2,433",12,7,1/128,3.64,-593,"1,653",4,5,1/184,3.29,+285,938,5,2,1/134,3.39,-532,560,0,1,1/560,3.10,-360,856,2,3,1/171,3.49,"+1,139","3,332",17,9,1/128,3.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-03,土,いいえ,-831,"4,558",16,11,1/169,2.74,-222,"1,172",5,1,1/195,2.84,-321,903,2,2,1/226,3.15,+417,"2,420",11,6,1/142,3.28,-291,"2,299",7,6,1/177,3.09,+181,"3,955",15,13,1/141,3.74,-493,367,0,0,-,3.05,-97,"1,908",8,3,1/173,2.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-02,金,いいえ,-446,"1,731",5,4,1/192,3.02,+146,"2,012",9,6,1/134,3.59,-194,431,1,1,1/216,3.34,-646,"1,077",2,2,1/269,2.96,-332,"1,049",2,2,1/262,2.99,-587,864,1,2,1/288,3.11,-470,"2,536",7,8,1/169,3.35,-221,184,0,0,-,3.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-01,木,いいえ,-174,"1,392",6,1,1/199,2.69,+661,"1,402",9,1,1/140,2.91,+687,857,7,1,1/107,3.39,-92,959,4,1,1/192,2.99,+813,"3,616",19,7,1/139,2.89,-208,137,0,0,-,3.32,-480,809,2,0,1/405,2.73,"+1,935","3,218",20,10,1/107,4.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-31,水,いいえ,"+1,695","3,486",21,7,1/125,3.19,-453,605,1,1,1/303,3.13,-122,"4,330",17,6,1/188,2.07,-44,447,2,0,1/224,3.13,-104,325,1,0,1/325,3.18,+661,"2,612",12,9,1/124,3.98,+767,"2,723",14,5,1/143,2.93,-266,388,1,0,1/388,3.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-30,火,いいえ,+183,"2,408",11,1,1/201,2.17,-792,"1,209",2,2,1/302,2.83,-349,596,1,1,1/298,3.15,-985,"2,733",8,4,1/228,2.33,-216,297,0,1,1/297,3.42,+288,"2,328",9,7,1/146,3.49,+393,"1,000",5,4,1/111,3.90,-488,"1,076",2,3,1/215,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-29,月,いいえ,"-1,544","2,376",5,2,1/339,2.10,-975,"2,032",6,1,1/290,2.19,-416,"1,682",7,0,1/240,2.29,"-1,587","2,755",6,4,1/276,2.23,+274,"3,181",13,10,1/138,3.66,-53,"4,557",17,12,1/157,3.03,+713,"4,734",20,15,1/135,3.82,+969,"5,826",25,20,1/129,4.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-28,日,はい,+217,"3,771",15,11,1/145,3.43,-468,"2,797",9,9,1/155,3.49,+586,"6,950",28,20,1/145,3.37,-409,"3,246",11,9,1/162,3.17,-616,"2,054",5,6,1/187,3.19,"-1,071","2,465",6,5,1/224,2.63,"-1,017","4,243",12,11,1/184,2.77,-846,"3,349",11,3,1/239,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-27,土,いいえ,-383,279,0,0,-,3.15,-198,"2,132",6,9,1/142,3.98,-440,355,0,0,-,3.06,-218,214,0,0,-,3.23,+558,"1,893",11,3,1/135,3.07,+315,"1,463",8,1,1/163,2.76,-155,"3,149",12,7,1/166,2.85,-20,"1,916",7,4,1/174,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-26,金,いいえ,+426,"5,806",24,16,1/145,3.26,-127,679,2,3,1/136,3.72,+368,"1,726",9,3,1/144,3.08,-134,602,2,1,1/201,3.23,-134,"2,556",9,6,1/170,2.97,-928,"2,677",7,5,1/223,2.51,-802,"1,934",4,7,1/176,3.50,-668,"1,023",2,1,1/341,2.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-25,木,はい,+89,"6,503",27,18,1/145,3.27,-825,"1,591",4,1,1/318,2.39,+663,"3,587",18,6,1/149,2.62,"+2,363","7,641",37,22,1/130,3.83,"+2,048","8,224",37,26,1/131,4.14,-806,"2,052",6,3,1/228,2.55,-839,"7,248",23,24,1/154,3.64,-535,"3,046",10,7,1/179,2.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-23,火,いいえ,+175,"6,350",27,13,1/159,2.37,-231,428,1,1,1/214,3.35,-668,"2,478",6,7,1/191,3.08,+201,"2,780",13,3,1/174,2.37,+619,"1,429",8,6,1/102,4.22,+448,"3,854",13,12,1/154,3.44,+57,"1,736",5,8,1/134,4.09,-872,"1,129",2,0,1/565,2.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-22,月,いいえ,-586,"2,483",8,4,1/207,2.52,+669,"1,998",12,0,1/167,2.32,"-1,084","2,664",5,11,1/167,3.81,"-1,128","2,198",4,7,1/200,3.22,-803,791,0,2,1/396,3.11,-392,"1,108",2,3,1/222,3.19,"-1,603","8,136",29,15,1/185,1.86,-567,"1,042",2,2,1/261,3.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-21,日,いいえ,"+1,384","5,704",26,17,1/133,3.77,-806,"2,547",6,6,1/212,2.78,+801,"3,512",16,10,1/135,3.55,-296,187,0,0,-,3.26,"+1,084","7,070",29,26,1/129,4.58,"+1,578","5,868",30,14,1/133,3.15,-531,571,0,1,1/571,3.09,-302,"1,355",5,3,1/169,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-20,土,いいえ,-251,"2,652",8,9,1/156,3.57,"+1,594","3,333",17,15,1/104,4.98,+0,442,2,0,1/221,3.13,"+1,102","4,233",19,14,1/128,4.03,+55,875,4,2,1/146,3.37,-85,791,2,2,1/198,3.29,+475,"2,480",12,5,1/146,3.03,-352,"1,107",4,1,1/221,2.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-19,金,いいえ,-452,"4,680",15,15,1/156,3.48,-415,831,2,2,1/208,3.24,-327,255,0,0,-,3.18,-150,948,3,3,1/158,3.47,"+1,157","3,902",18,13,1/126,4.07,-317,226,0,0,-,3.21,-68,536,2,0,1/268,3.02,-214,360,1,0,1/360,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-18,木,はい,"+1,714","4,518",25,9,1/133,2.92,-317,"1,824",6,6,1/152,3.54,+460,"3,716",16,9,1/149,3.06,-355,737,2,0,1/369,2.80,-690,761,1,0,1/761,2.71,+248,"6,358",27,15,1/151,2.74,-735,"1,153",2,1,1/384,2.64,"+1,520","6,985",31,23,1/129,4.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-17,水,いいえ,-732,"1,751",5,2,1/250,2.53,+422,"3,104",13,9,1/141,3.48,-304,"2,913",9,11,1/146,3.88,-403,587,1,1,1/294,3.16,+150,"1,014",5,2,1/145,3.29,"+1,085","2,972",12,16,1/106,5.07,-169,879,3,2,1/176,3.27,-863,947,1,2,1/316,3.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-16,火,いいえ,"+1,063","3,090",17,8,1/124,3.59,"+1,932","7,578",35,24,1/128,4.18,-337,726,2,2,1/182,3.36,-410,516,0,2,1/258,3.44,-349,"2,993",10,7,1/176,2.86,-876,"1,300",2,3,1/260,2.98,-823,"2,697",8,5,1/207,2.55,-817,"1,303",2,3,1/261,2.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-15,月,はい,-265,"5,306",21,9,1/177,2.12,"+2,286","8,431",40,25,1/130,3.95,-557,"5,887",21,14,1/168,2.58,-561,"4,489",17,10,1/166,2.65,"-1,003","2,668",5,11,1/167,3.80,+783,"7,819",32,21,1/148,3.07,-547,"2,996",11,6,1/176,2.69,"-1,426","7,080",20,25,1/157,3.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-14,日,いいえ,-772,"1,502",2,3,1/300,2.78,-380,589,1,0,1/589,2.88,-608,510,0,0,-,2.89,-838,"1,653",3,5,1/207,3.20,+268,"4,101",17,13,1/137,3.75,-399,729,1,2,1/243,3.27,-85,457,2,0,1/229,3.12,+136,"2,248",9,8,1/132,3.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-13,土,いいえ,-843,"3,626",11,8,1/191,2.59,-333,264,0,0,-,3.17,-504,605,0,2,1/303,3.33,+145,"1,624",7,3,1/162,3.03,-327,"1,904",7,4,1/173,2.99,-477,"2,441",5,11,1/153,4.05,-458,"1,151",4,1,1/230,2.78,-856,"1,865",3,6,1/207,3.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-12,金,いいえ,+453,"2,400",11,6,1/141,3.31,"+1,563","6,716",34,15,1/137,2.85,-552,"1,519",4,2,1/253,2.67,-217,"2,470",9,6,1/165,3.06,-242,211,0,0,-,3.23,"+1,771","5,265",23,20,1/122,4.63,-676,"1,787",5,3,1/223,2.72,"+1,015","3,029",16,7,1/132,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-11,木,いいえ,-580,"1,741",6,1,1/249,2.39,-536,787,1,3,1/197,3.48,-300,"2,158",6,8,1/154,3.69,+51,"4,602",19,10,1/159,2.67,-172,310,1,0,1/310,3.20,-634,"2,402",8,5,1/185,2.81,-385,"1,331",3,4,1/190,3.30,-45,"2,287",11,1,1/191,2.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-10,水,いいえ,+362,"4,084",16,13,1/141,3.69,-335,"1,251",5,1,1/209,2.76,"+2,738","6,357",33,18,1/125,3.90,+327,"1,899",6,10,1/119,4.48,-231,"4,270",17,9,1/164,2.62,-264,606,2,0,1/303,2.94,-74,"1,373",6,2,1/172,2.96,-738,"3,556",11,8,1/187,2.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-08,月,はい,+460,"4,854",20,14,1/143,3.44,-45,"1,649",7,3,1/165,3.00,-361,"2,720",8,9,1/160,3.49,+573,"3,060",15,5,1/153,2.67,-145,"5,318",20,15,1/152,3.21,"+1,985","6,525",30,22,1/125,4.39,-536,944,2,0,1/472,2.60,+325,"3,630",16,7,1/158,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-07,日,いいえ,"+1,751","3,630",22,8,1/121,3.40,-438,338,0,0,-,3.08,+126,"1,647",8,4,1/137,3.37,"+1,290","4,886",23,13,1/136,3.39,-440,"2,208",7,8,1/147,3.72,-346,"2,035",8,4,1/170,2.93,-292,257,0,0,-,3.18,-433,"1,690",4,5,1/188,3.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-06,土,いいえ,-46,"1,706",7,3,1/171,2.94,-251,654,1,1,1/327,3.08,+348,"3,760",16,9,1/150,3.02,-239,946,3,2,1/189,3.19,-374,"1,643",6,1,1/235,2.47,-78,"2,241",8,6,1/160,3.23,+486,"3,092",16,4,1/155,2.49,-51,"2,017",9,3,1/168,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-05,金,はい,-115,"4,325",16,8,1/180,2.34,"+1,398","6,138",28,18,1/133,3.71,"+1,561","5,285",23,24,1/112,5.21,"-1,121","2,275",6,4,1/228,2.57,"-1,425","2,630",6,2,1/329,2.00,+45,"3,139",13,9,1/143,3.44,"+1,225","6,799",28,22,1/136,3.97,"+1,131","5,757",23,19,1/137,3.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-04,木,いいえ,+327,"2,260",10,5,1/151,3.11,+339,684,5,0,1/137,3.12,-229,508,1,1,1/254,3.25,-853,"3,768",9,14,1/164,3.70,-485,"1,274",2,4,1/212,3.28,-199,581,1,2,1/194,3.45,-4,"2,071",8,4,1/173,2.89,+585,"2,164",13,2,1/144,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-03,水,いいえ,-703,651,0,1,1/651,3.00,-61,"1,946",8,3,1/177,2.77,-549,"3,824",13,10,1/166,2.98,-300,"1,296",4,3,1/185,3.15,-382,636,1,1,1/318,3.10,-618,"1,357",4,1,1/271,2.59,"+2,237","3,683",21,15,1/102,4.98,-420,"2,347",7,4,1/213,2.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-02,火,いいえ,+608,"3,338",16,9,1/134,3.48,-358,571,1,2,1/190,3.46,-361,361,0,1,1/361,3.34,+726,"2,871",13,10,1/125,4.03,-410,"1,070",2,3,1/214,3.24,-366,639,1,2,1/213,3.38,-268,439,1,0,1/439,3.05,-324,"1,845",7,4,1/168,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-01,月,いいえ,-417,"3,028",11,8,1/159,3.14,-348,435,0,1,1/435,3.25,-73,"6,103",21,22,1/142,4.10,-304,347,0,1,1/347,3.35,-563,"4,367",16,11,1/162,2.91,-148,709,3,0,1/236,2.91,-491,596,1,0,1/596,2.87,"+1,809","2,353",17,4,1/112,3.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-30,日,いいえ,+286,"5,415",22,15,1/146,3.26,-253,215,0,0,-,3.23,"+1,797","4,582",25,10,1/131,3.10,-161,820,2,2,1/205,3.25,-386,621,1,1,1/311,3.12,-65,"2,184",9,5,1/156,3.11,-164,432,1,0,1/432,3.06,+485,"1,745",10,2,1/145,2.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-29,土,いいえ,-535,"2,560",8,5,1/197,2.67,-432,"1,211",3,1,1/303,2.65,"+1,065","5,881",27,17,1/134,3.66,-73,605,2,1,1/202,3.22,"+1,744","5,179",28,14,1/123,3.76,-469,"1,136",2,4,1/189,3.44,-242,662,1,2,1/221,3.35,-222,"2,794",11,5,1/175,2.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-28,金,はい,-632,"2,501",9,1,1/250,2.04,+359,936,5,3,1/117,3.69,-243,664,2,1,1/221,3.15,+191,"2,481",11,8,1/131,3.77,"+2,028","4,802",25,16,1/117,4.42,+207,"1,458",7,3,1/146,3.22,+391,"3,696",16,9,1/148,3.08,-336,"1,290",5,1,1/215,2.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-27,木,いいえ,+622,"1,488",9,3,1/124,3.37,-339,543,1,1,1/272,3.21,-192,166,0,0,-,3.29,+87,379,2,1,1/126,3.51,"+1,389","6,294",26,24,1/126,4.67,-131,263,0,1,1/263,3.46,+0,"3,686",17,9,1/142,3.17,-405,"1,591",6,1,1/227,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-26,水,いいえ,+0,0,0,0,-,-,"+2,590","6,086",28,28,1/109,5.42,+45,239,1,1,1/120,3.59,-502,375,0,0,-,3.04,-121,476,1,2,1/159,3.58,-304,231,0,0,-,3.21,-27,521,2,1,1/174,3.33,-208,171,0,0,-,3.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-25,火,はい,-352,"5,533",22,9,1/178,2.04,-480,"4,116",12,14,1/158,3.58,+640,"8,328",33,29,1/134,4.34,-512,"2,274",6,7,1/175,3.29,-978,"2,759",8,5,1/212,2.50,+65,"6,256",27,12,1/160,2.27,+192,"7,946",33,18,1/156,2.46,"+1,130","6,936",31,14,1/154,2.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-24,月,いいえ,+666,"3,915",18,9,1/145,3.01,+230,"3,068",12,9,1/146,3.44,-714,730,1,0,1/730,2.74,-751,499,0,0,-,2.90,-160,360,1,0,1/360,3.14,-265,566,2,0,1/283,2.99,-605,"1,371",3,2,1/274,2.74,-108,"2,368",11,3,1/169,2.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-23,日,いいえ,"+1,030","2,873",16,6,1/131,3.19,-566,589,0,2,1/295,3.35,"+1,180","6,091",26,23,1/124,4.67,"+1,554","2,327",15,7,1/106,4.08,"+1,453","3,035",16,11,1/112,4.37,+691,"2,919",15,2,1/172,2.19,-210,"1,413",3,6,1/157,3.75,-466,"1,195",3,2,1/239,2.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-22,土,いいえ,+249,"3,168",13,8,1/151,3.15,+598,"2,922",14,8,1/133,3.51,-675,"1,310",2,4,1/218,3.24,-758,836,1,1,1/418,2.88,-344,687,2,1,1/229,3.13,+215,"2,240",10,6,1/140,3.41,-313,"1,597",6,3,1/177,2.98,-745,"1,334",2,4,1/222,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-21,金,いいえ,"-1,456","3,276",9,5,1/234,2.20,-561,376,0,0,-,3.04,-574,483,0,0,-,2.92,-630,"2,546",7,8,1/170,3.34,-531,454,0,0,-,2.95,+63,"1,564",7,3,1/156,3.10,-875,"3,116",8,10,1/173,3.32,-292,749,2,1,1/250,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-20,木,いいえ,+748,"7,770",29,29,1/134,4.52,+298,604,4,1,1/121,3.42,+973,"2,274",14,3,1/134,2.89,-533,841,1,1,1/421,2.87,+386,587,3,4,1/84,4.22,-363,"2,711",9,5,1/194,2.60,-111,267,1,0,1/267,3.26,-597,"1,438",2,5,1/205,3.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
