日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-26,日,いいえ,-768,"2,603",8,5,1/200,2.52,+579,"7,140",28,22,1/143,3.21,-834,"1,029",1,1,1/515,2.66,-362,"1,033",3,1,1/258,2.83,+40,"5,986",22,22,1/136,3.83,-51,"1,551",7,1,1/194,2.63,-971,911,0,2,1/456,2.91,"-1,017","2,220",6,3,1/247,2.34
2026-04-25,土,はい,"-1,602","4,059",9,7,1/254,1.91,"+2,854","7,988",42,26,1/117,4.41,"+2,527","8,059",37,35,1/112,5.07,-427,"2,127",6,7,1/164,3.27,"+2,831","8,622",42,36,1/111,5.13,-739,"3,089",8,13,1/147,3.72,-658,"2,628",9,5,1/188,2.57,-617,"3,463",11,9,1/173,2.75
2026-04-24,金,いいえ,"+1,626","3,184",20,6,1/122,3.21,-381,702,1,2,1/234,3.24,-699,"2,566",7,9,1/160,3.33,-219,594,1,2,1/198,3.37,-277,"2,354",9,4,1/181,2.63,+649,"1,279",7,4,1/116,3.66,-443,377,0,0,-,3.05,+557,"2,506",14,3,1/147,2.68
2026-04-23,木,いいえ,"-1,051","4,072",10,15,1/163,3.30,-76,"2,812",10,11,1/134,3.79,-402,"1,501",4,6,1/150,3.55,+381,"3,092",14,7,1/147,2.95,-997,840,0,2,1/420,2.99,+421,"1,946",10,4,1/139,3.17,"-1,145","2,246",6,3,1/250,2.32,-829,"1,944",5,5,1/194,2.93
2026-04-22,水,いいえ,+569,"2,857",13,9,1/130,3.59,+547,"2,642",9,13,1/120,4.26,-869,"1,054",1,1,1/527,2.64,+269,394,3,0,1/131,3.34,-854,"3,446",10,13,1/150,3.53,+201,"1,764",8,5,1/136,3.42,-340,"3,171",11,6,1/187,2.43,-555,468,0,1,1/468,3.18
2026-04-20,月,いいえ,-987,"1,323",1,5,1/221,3.23,-839,"1,289",2,3,1/258,2.91,"+1,151","3,193",16,14,1/106,4.53,-370,"1,265",5,0,1/253,2.54,"-1,140","1,789",3,4,1/256,2.70,-208,"1,404",4,6,1/140,3.67,+130,"1,818",8,4,1/152,3.12,+716,"3,564",14,17,1/115,4.51
2026-04-19,日,いいえ,+795,"3,069",17,4,1/146,2.58,-831,"2,133",4,11,1/142,3.93,-319,"3,153",13,5,1/175,2.40,-532,"1,617",3,6,1/180,3.32,-599,"1,206",2,4,1/201,3.23,-96,"2,895",10,9,1/152,3.25,+216,"3,842",16,12,1/137,3.45,"-1,387","2,373",4,7,1/216,2.83
2026-04-18,土,はい,-62,"3,061",13,7,1/153,2.90,-975,"4,677",12,18,1/156,3.48,"+1,562","3,100",18,10,1/111,4.06,-489,"2,762",9,7,1/173,2.86,-171,"2,680",11,5,1/168,2.68,"+2,267","5,064",29,13,1/121,3.59,-434,"1,419",3,5,1/177,3.32,+13,"3,889",15,11,1/150,3.08
2026-04-17,金,いいえ,+649,"1,628",9,4,1/125,3.45,+142,"4,691",18,16,1/138,3.59,-134,133,0,0,-,3.34,+233,"1,868",9,3,1/156,2.92,-56,"2,470",8,9,1/145,3.53,-325,709,1,2,1/236,3.24,-157,132,0,0,-,3.34,+974,"3,283",16,10,1/126,3.64
2026-04-16,木,いいえ,-851,"4,934",15,15,1/164,2.87,-851,788,0,1,1/788,2.82,-230,931,3,1,1/233,2.94,-215,"1,650",6,5,1/150,3.35,-484,494,0,1,1/494,3.15,-375,"3,391",12,11,1/147,3.34,+343,"1,363",7,3,1/136,3.32,"+1,242","1,983",11,11,1/90,4.69
2026-04-15,水,はい,"+3,504","9,551",53,23,1/126,3.13,+716,"9,407",33,37,1/134,4.20,-171,"8,591",29,33,1/139,3.97,+159,"6,354",26,15,1/155,2.41,+327,"8,295",26,38,1/130,4.59,+179,"9,604",35,43,1/123,4.82,"+5,030","8,150",48,32,1/102,5.36,-315,"5,225",18,17,1/149,3.24
2026-04-14,火,いいえ,"+1,434","6,360",27,26,1/120,4.56,-81,271,1,0,1/271,3.27,-292,"1,104",3,4,1/158,3.45,-76,"2,769",11,10,1/132,3.72,-272,626,1,3,1/157,3.57,-25,975,4,1,1/195,2.99,+621,"3,018",14,6,1/151,2.81,"-1,057","3,146",6,12,1/175,3.27
2026-04-13,月,いいえ,-805,"1,923",4,6,1/192,3.08,"-1,033","2,030",4,6,1/203,2.97,+116,"2,625",12,6,1/146,3.06,+73,"7,361",29,23,1/142,3.27,-746,853,0,3,1/284,3.21,-150,"2,063",8,6,1/147,3.31,-857,"4,374",14,10,1/182,2.36,+784,"3,282",17,7,1/137,3.03
2026-04-12,日,いいえ,"-1,479","4,331",10,14,1/180,2.85,-743,"1,079",1,2,1/360,2.82,-701,761,1,0,1/761,2.72,-100,357,1,1,1/179,3.41,+163,"9,297",37,26,1/148,2.68,+440,511,4,1,1/102,3.55,+168,"4,555",16,19,1/130,4.13,+448,"3,739",17,9,1/144,2.98
2026-04-11,土,いいえ,-381,"4,289",15,14,1/148,3.31,+442,"1,841",10,3,1/142,3.05,-432,637,1,0,1/637,2.85,-368,"2,081",8,3,1/189,2.61,+68,"4,624",18,15,1/140,3.45,-384,663,2,0,1/332,2.91,"-1,102","3,670",9,11,1/184,2.80,-931,"1,408",2,3,1/282,2.79
2026-04-10,金,いいえ,-263,"1,372",5,1,1/229,2.65,+292,"2,052",11,3,1/147,2.90,+261,"1,510",7,4,1/137,3.38,-210,508,2,1,1/169,3.34,-9,"1,444",5,4,1/160,3.25,"+1,608","6,402",28,23,1/126,4.14,+0,664,3,1,1/166,3.25,+583,"3,861",17,15,1/121,4.16
2026-04-09,木,いいえ,-228,"1,200",4,3,1/171,3.20,-331,649,1,2,1/216,3.31,+762,"5,753",23,18,1/140,3.35,-125,83,0,0,-,3.40,+486,"3,286",14,12,1/126,3.87,-233,354,1,0,1/354,3.17,-170,492,1,2,1/164,3.49,+815,"3,349",14,14,1/120,4.21
2026-04-08,水,はい,-526,"3,507",11,13,1/146,3.56,+33,"3,075",11,11,1/140,3.60,+491,"2,958",13,9,1/134,3.48,"+2,104","7,121",33,28,1/117,4.69,-242,242,0,0,-,3.20,-264,"5,939",22,14,1/165,2.32,+266,"2,996",13,11,1/125,3.88,-626,"2,956",10,6,1/185,2.55
