日付,曜日,特定日,566番台,,,,,,,567番台,,,,,,,568番台,,,,,,,570番台,,,,,,,571番台,,,,,,,603番台,,,,,,,605番台,,,,,,,606番台,,,,,,,607番台,,,,,,,608番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-24,日,はい,"-1,700","4,931",11,18,1/170,1/6.28,3.99,-270,"1,481",5,3,1/185,1/6.14,2.98,-100,"5,048",19,14,1/153,1/6.17,3.07,-650,"1,164",2,2,1/291,1/5.82,2.89,"+2,150","5,782",30,19,1/118,1/6.25,4.09,-250,748,2,1,1/249,1/5.73,3.03,-10,"2,130",10,3,1/164,1/6.62,2.51,"-1,210","3,721",9,11,1/186,1/6.09,3.19,-560,"1,543",3,7,1/154,1/6.44,4.08,"-1,560","3,510",9,6,1/234,1/6.27,2.12
2026-05-23,土,いいえ,-10,"2,238",9,6,1/149,1/6.37,3.24,+430,925,5,2,1/132,1/5.61,3.28,-500,"2,109",7,4,1/192,1/6.27,2.70,-450,"2,212",7,5,1/184,1/6.09,2.89,-160,493,2,0,1/247,1/6.75,3.00,"+1,210","5,706",26,17,1/133,1/6.11,3.51,+30,750,2,4,1/125,1/5.77,4.01,+690,"3,788",17,7,1/158,1/5.69,2.33,-360,"1,532",5,3,1/192,1/6.22,2.92,+500,"3,644",17,9,1/140,1/6.38,2.97
2026-05-22,金,いいえ,-560,943,2,1,1/314,1/6.14,2.82,-210,466,1,1,1/233,1/5.99,3.32,"-1,000",891,0,0,-,1/5.67,2.51,+120,780,4,1,1/156,1/6.30,3.08,-220,391,1,0,1/391,1/6.04,3.07,+890,565,6,1,1/81,1/6.36,3.41,+20,187,1,0,1/187,1/6.20,3.32,+270,415,3,0,1/138,1/5.88,3.13,+30,178,1,0,1/178,1/6.23,3.33,-240,"4,197",14,14,1/150,1/6.09,3.74
2026-05-21,木,いいえ,+960,"2,238",12,6,1/124,1/5.92,3.36,+270,749,4,1,1/150,1/5.64,3.11,-230,139,0,0,-,1/9.10,3.33,-40,262,1,0,1/262,1/5.64,3.23,-110,101,0,0,-,1/5.54,3.38,-90,237,1,0,1/237,1/7.35,3.26,+140,359,2,0,1/180,1/5.27,3.15,+190,330,2,0,1/165,1/5.06,3.19,-340,291,0,0,-,1/5.86,3.15,+160,"1,631",7,4,1/148,1/6.10,3.21
2026-05-20,水,いいえ,+220,"2,144",8,9,1/126,1/6.20,4.21,"+1,240","2,602",13,9,1/118,1/5.65,3.92,-140,303,1,0,1/303,1/6.46,3.18,-20,281,1,1,1/141,1/6.55,3.54,-180,217,0,0,-,1/4.69,3.24,+90,291,2,0,1/146,1/7.22,3.23,+410,999,5,2,1/143,1/5.38,3.19,-170,221,0,0,-,1/4.53,3.23,+50,196,1,0,1/196,1/5.33,3.30,-90,92,0,0,-,1/5.14,3.39
2026-05-19,火,いいえ,+150,"1,245",6,2,1/156,1/6.24,2.96,+90,186,1,0,1/186,1/4.82,3.32,-380,289,0,0,-,1/6.56,3.15,-310,269,0,0,-,1/5.79,3.18,-140,"1,362",5,4,1/151,1/6.55,3.43,+620,496,4,1,1/99,1/5.15,3.41,-370,335,0,0,-,1/5.60,3.10,-270,238,0,0,-,1/5.72,3.21,+230,792,3,4,1/113,1/5.79,4.00,-20,923,3,3,1/154,1/5.80,3.53
2026-05-18,月,いいえ,-300,"5,063",15,22,1/137,1/6.12,4.79,-280,230,0,0,-,1/6.08,3.22,-120,786,2,2,1/197,1/5.36,3.32,+100,801,2,6,1/100,1/6.13,4.49,-290,"1,134",3,4,1/162,1/6.30,3.62,-210,152,0,0,-,1/6.94,3.32,-180,584,2,0,1/292,1/5.88,2.89,+110,"2,097",9,5,1/150,1/6.29,3.09,-440,706,1,2,1/235,1/6.25,3.37,-500,866,1,2,1/289,1/5.55,3.19
2026-05-17,日,いいえ,-240,"1,941",7,4,1/176,1/6.15,2.87,-410,"2,543",7,8,1/170,1/5.82,3.46,-830,"2,419",6,8,1/173,1/6.42,3.55,-490,471,0,1,1/471,1/6.21,3.27,-790,"3,202",10,7,1/188,1/6.21,2.60,-540,"2,596",9,4,1/200,1/6.15,2.34,-440,435,0,1,1/435,1/6.15,3.32,"-1,370","3,587",12,5,1/211,1/6.82,1.97,"+1,620","4,428",21,14,1/127,1/5.72,3.76,-280,708,2,1,1/236,1/6.21,3.08
2026-05-16,土,いいえ,+320,"4,738",21,8,1/163,1/6.06,2.02,-520,"1,431",2,4,1/239,1/5.17,3.23,-610,"1,290",3,2,1/258,1/6.04,2.80,-610,522,0,1,1/522,1/6.78,3.21,-490,598,1,0,1/598,1/6.19,2.84,+340,"2,083",10,4,1/149,1/6.16,2.83,-450,639,1,1,1/320,1/6.23,3.12,-630,679,0,2,1/340,1/6.05,3.37,-30,"3,099",11,9,1/155,1/5.93,3.31,+250,"2,109",10,3,1/162,1/6.07,2.53
2026-05-15,金,いいえ,"+1,470","4,113",20,13,1/125,1/5.89,3.77,+0,0,0,0,-,-,-,-120,"1,384",4,6,1/138,1/6.16,4.00,-70,58,0,0,-,1/6.03,3.43,-250,664,1,3,1/166,1/5.96,3.76,-40,25,0,0,-,1/8.57,3.47,-940,"2,066",3,8,1/188,1/5.97,3.82,+310,492,3,1,1/123,1/5.60,3.37,-300,"1,017",4,0,1/254,1/6.42,2.52,-590,741,1,1,1/371,1/6.32,3.00
