日付,曜日,特定日,676番台,,,,,,,677番台,,,,,,,678番台,,,,,,,679番台,,,,,,,680番台,,,,,,,681番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-07,木,はい,-162,"3,718",16,5,1/177,1/6.28,1.97,+686,"4,032",20,8,1/144,1/6.35,2.45,-170,"2,518",9,4,1/194,1/5.67,2.40,"+1,302","6,356",27,20,1/135,1/5.87,3.72,+323,"6,809",29,12,1/166,1/5.99,1.79,"-1,031","3,429",9,9,1/191,1/6.07,2.90
2026-05-06,水,いいえ,-374,"5,328",19,12,1/172,1/5.94,2.35,+81,"4,034",16,11,1/149,1/6.20,3.12,+835,"4,660",20,16,1/129,1/6.16,4.04,+769,"3,094",16,5,1/147,1/6.06,2.38,"-1,323","4,214",11,8,1/222,1/5.81,2.11,"-1,036","1,806",3,3,1/301,1/5.80,2.58
2026-05-05,火,はい,-303,"6,514",23,15,1/171,1/5.82,2.27,+331,"8,265",31,25,1/148,1/5.99,3.39,+707,"8,060",31,26,1/141,1/5.97,3.80,+54,"6,665",25,22,1/142,1/6.27,3.87,+54,"8,637",31,26,1/152,1/5.95,3.31,-311,"7,413",25,22,1/158,1/5.91,3.20
2026-05-04,月,いいえ,"-1,370","3,291",8,10,1/183,1/6.61,3.30,+21,"4,855",19,8,1/180,1/5.75,1.92,"+1,131","5,689",26,17,1/132,1/6.20,3.52,"+1,510","6,600",28,23,1/129,1/5.90,4.24,+341,"5,139",21,10,1/166,1/5.79,2.13,-445,"4,378",16,12,1/156,1/6.43,3.06
2026-05-03,日,いいえ,"+1,343","4,970",24,14,1/131,1/6.09,3.33,+927,"4,961",23,10,1/150,1/5.90,2.29,-816,"1,375",3,1,1/344,1/6.06,2.44,-343,"2,681",9,8,1/158,1/6.30,3.38,-256,"1,617",6,3,1/180,1/6.35,2.87,-634,"7,070",24,23,1/150,1/6.28,3.72
2026-05-02,土,いいえ,+355,"5,492",23,14,1/148,1/6.18,2.80,"-1,370","6,028",17,16,1/183,1/5.98,2.67,"-1,316","4,677",13,14,1/173,1/6.34,3.23,"-1,075","3,607",10,9,1/190,1/6.18,2.77,-816,"5,481",18,14,1/171,1/6.11,2.66,"-1,596","3,099",7,4,1/282,1/6.04,1.97
2026-05-01,金,いいえ,"+1,815","6,483",30,18,1/135,1/5.81,3.18,-552,"4,542",17,9,1/175,1/6.27,2.23,-69,"5,540",21,11,1/173,1/5.83,2.08,"+1,030","6,619",28,25,1/125,1/6.36,4.61,-292,"4,362",15,13,1/156,1/6.10,3.33,"-1,596","5,275",13,14,1/195,1/5.91,2.68
2026-04-30,木,いいえ,-485,"3,199",8,14,1/145,1/6.02,4.46,-441,"5,692",18,17,1/163,1/5.84,3.24,"-1,392","2,487",5,7,1/207,1/6.70,3.13,+45,"4,037",15,11,1/155,1/5.95,3.08,+979,"7,101",28,24,1/137,1/5.92,4.05,"+2,190","7,478",33,25,1/129,1/5.75,4.12
2026-04-29,水,いいえ,"-1,968","6,368",18,13,1/205,1/6.09,1.93,"-2,016","5,438",14,14,1/194,1/6.33,2.58,"-1,722","4,467",10,13,1/194,1/6.14,3.05,"-1,937","3,601",6,10,1/225,1/6.12,2.91,"-1,074","2,675",7,4,1/243,1/6.03,2.23,"-1,352","6,154",17,17,1/181,1/5.92,2.80
2026-04-28,火,いいえ,"+6,358","8,430",51,36,1/97,1/5.93,5.33,-314,"2,559",10,5,1/171,1/6.47,2.65,+443,"6,145",25,19,1/140,1/6.25,3.59,-754,"4,815",14,17,1/155,1/6.14,3.95,-738,"3,556",11,7,1/198,1/5.90,2.34,"+3,736","8,276",38,39,1/107,1/5.83,5.38
2026-04-27,月,はい,-985,"5,146",16,9,1/206,1/5.76,1.88,"+1,098","6,993",30,20,1/140,1/6.01,3.23,"+2,638","7,896",37,31,1/116,1/6.12,4.94,"+3,920","8,588",40,35,1/115,1/5.63,5.11,"+1,422","8,907",33,30,1/141,1/5.58,4.04,"+4,979","9,180",51,32,1/111,1/5.98,4.67
