日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-01-20,火,いいえ,+193,"2,208",11,1,1/184,2.32,55,4.0,-555,553,0,1,1/553,3.08,63,2.0,-23,"1,144",5,3,1/143,3.37,51,5.0,-308,307,0,1,1/307,3.37,61,5.0,"+1,160","7,799",32,27,1/132,3.89,17,-,+281,432,3,1,1/108,3.54,46,29.0,+163,843,5,0,1/169,3.00,56,1.0,-34,"1,729",7,4,1/157,3.12,61,5.0,-643,749,0,3,1/250,3.32,63,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-19,月,いいえ,-319,"1,203",3,4,1/172,3.33,57,3.0,-371,"1,821",6,4,1/182,2.92,61,2.0,-178,599,2,0,1/300,2.98,47,8.0,+237,670,4,1,1/134,3.35,48,1.0,-147,542,2,0,1/271,3.05,51,3.0,"+1,066","3,654",17,14,1/118,4.18,39,-,+440,"1,558",9,1,1/156,2.80,59,2.0,-352,368,0,1,1/368,3.30,54,3.0,-349,328,0,1,1/328,3.34,61,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-18,日,いいえ,-642,"1,085",2,2,1/271,2.91,60,1.0,-227,205,0,0,-,3.25,50,1.0,-297,"4,865",16,16,1/152,3.23,39,-,+691,"3,813",17,13,1/127,3.80,45,6.0,-275,694,2,2,1/174,3.36,49,1.0,-418,"1,970",7,2,1/219,2.44,55,5.0,-550,657,1,1,1/329,3.06,59,2.0,+954,"4,796",20,17,1/130,3.87,48,3.0,+245,"2,760",12,6,1/153,2.91,57,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-17,土,いいえ,-19,219,1,0,1/219,3.34,10,2.0,"+1,172","6,404",29,21,1/128,3.85,36,26.0,-615,"2,149",5,7,1/179,3.15,8,1.0,-664,810,1,1,1/405,2.89,64,13.0,-197,697,2,1,1/232,3.11,7,-,-339,"1,144",3,3,1/191,3.17,46,10.0,+342,"4,206",19,11,1/140,3.10,49,3.0,"-1,146","1,294",1,3,1/324,2.82,69,5.0,-453,429,0,1,1/429,3.22,51,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-16,金,はい,"+2,623","6,462",33,24,1/113,4.66,0,-,-222,627,2,1,1/209,3.19,61,2.0,"+2,850","6,099",32,27,1/103,5.15,0,-,-381,318,0,0,-,3.11,21,21.0,"+2,504","6,754",32,29,1/111,4.97,0,-,+375,"4,667",21,13,1/137,3.24,33,12.0,-183,"1,794",6,3,1/199,2.73,54,18.0,-258,"1,109",4,1,1/222,2.84,59,5.0,-298,"7,448",28,19,1/158,2.37,36,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-15,木,いいえ,-88,638,2,1,1/213,3.18,51,7.0,-250,400,1,0,1/400,3.12,61,3.0,-327,246,0,0,-,3.20,55,4.0,"+1,311","6,164",27,26,1/116,4.70,0,-,-198,215,0,1,1/215,3.48,58,2.0,+701,"3,941",18,14,1/123,3.97,43,43.0,+785,"2,771",14,7,1/132,3.32,56,1.0,-76,"2,797",10,7,1/165,2.91,44,1.0,-15,"1,323",5,3,1/165,3.16,61,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-14,水,いいえ,-383,"3,798",14,11,1/152,3.09,43,7.0,-204,"2,989",10,9,1/157,3.15,61,3.0,-332,733,2,1,1/244,3.07,55,3.0,-169,"1,479",4,7,1/134,3.80,61,3.0,-547,"2,793",8,9,1/164,3.18,65,2.0,-519,824,1,3,1/206,3.34,63,2.0,+96,"1,001",4,3,1/143,3.44,52,9.0,"+1,011","6,044",28,17,1/134,3.28,36,-,-231,264,0,1,1/264,3.42,58,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-13,火,はい,+452,"2,730",11,13,1/114,4.35,48,-,-324,440,1,0,1/440,3.07,61,2.0,-534,"1,162",2,5,1/166,3.51,51,1.0,-133,880,3,2,1/176,3.24,61,2.0,"-1,458","3,198",5,13,1/178,3.34,59,7.0,-727,"1,574",3,6,1/175,3.37,49,1.0,+391,"3,270",14,7,1/156,2.76,50,1.0,-441,359,0,0,-,3.07,61,2.0,+375,"2,092",9,5,1/149,3.14,52,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-12,月,いいえ,-383,"1,662",6,1,1/237,2.45,62,1.0,-348,267,0,0,-,3.17,61,2.0,+158,"3,753",15,7,1/171,2.39,33,-,-690,"1,476",2,3,1/295,2.72,56,4.0,-397,"1,142",4,1,1/228,2.80,51,3.0,-205,"4,855",21,9,1/162,2.25,48,15.0,"-1,264","2,449",3,10,1/188,3.31,51,3.0,+137,411,2,1,1/137,3.46,59,3.0,+383,"3,400",15,9,1/142,3.17,52,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-11,日,いいえ,-872,"1,189",1,4,1/238,3.15,64,2.0,+55,806,4,0,1/202,2.94,59,11.0,+989,"5,295",22,21,1/123,4.30,33,-,"+1,132","2,711",16,7,1/118,3.61,48,6.0,-322,"3,465",12,9,1/165,2.83,42,6.0,-386,632,1,1,1/316,3.09,62,3.0,+586,"7,073",26,26,1/136,3.88,36,3.0,-395,636,1,0,1/636,2.85,64,2.0,-411,"2,400",8,8,1/150,3.39,65,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-10,土,いいえ,-772,"1,053",2,0,1/527,2.51,64,1.0,-362,"1,597",5,2,1/228,2.63,61,1.0,-396,"2,829",11,10,1/135,3.65,55,8.0,-134,"1,939",8,2,1/194,2.54,61,1.0,-594,"3,154",10,4,1/225,2.06,47,-,-784,"2,635",6,10,1/165,3.38,60,5.0,-699,"1,046",2,1,1/349,2.73,70,5.0,"-1,051","3,804",8,16,1/159,3.60,65,1.0,-592,868,1,2,1/289,3.05,63,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-09,金,いいえ,-781,998,1,2,1/333,2.91,64,1.0,-207,"2,109",8,4,1/176,2.80,61,10.0,-355,478,1,0,1/478,3.03,51,1.0,-394,"1,226",3,4,1/175,3.31,61,10.0,+963,"2,554",15,5,1/128,3.20,50,-,-479,"1,328",4,3,1/190,3.05,51,1.0,-512,743,1,1,1/372,2.96,63,2.0,-445,"1,213",3,2,1/243,2.86,61,10.0,-381,"1,389",3,4,1/198,3.12,61,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-08,木,いいえ,-346,289,0,0,-,3.15,55,5.0,-371,482,0,2,1/241,3.40,61,2.0,+310,"4,582",16,19,1/131,4.10,40,-,-308,284,0,0,-,3.15,61,2.0,-202,308,1,0,1/308,3.23,59,4.0,-443,"2,004",6,4,1/200,2.73,46,6.0,-443,375,0,0,-,3.05,50,4.0,-403,668,2,1,1/223,3.14,61,2.0,+256,"2,489",10,8,1/138,3.48,50,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-07,水,いいえ,-602,"1,521",4,4,1/190,3.07,50,6.0,-173,682,2,1,1/227,3.13,44,1.0,-535,"3,283",10,11,1/156,3.27,40,1.0,-366,546,1,1,1/273,3.19,43,3.0,-805,"2,042",3,9,1/170,3.52,44,1.0,+127,"3,315",11,13,1/138,3.76,0,-,+603,"5,963",23,22,1/133,3.94,40,1.0,-39,550,2,1,1/183,3.29,54,4.0,+87,"3,256",13,9,1/148,3.14,39,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-06,火,はい,"+1,139","3,762",19,11,1/125,3.62,39,2.0,+556,"7,440",30,27,1/131,4.05,29,1.0,+27,"4,914",18,16,1/145,3.35,37,8.0,"+2,050","6,693",33,21,1/124,3.93,26,26.0,"+1,206","3,985",21,12,1/121,3.80,28,2.0,"+2,104","5,768",25,28,1/109,5.02,0,-,"-1,002","2,471",8,2,1/247,2.11,58,15.0,+800,"4,993",23,12,1/143,2.84,43,3.0,+843,"6,616",29,20,1/135,3.41,40,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-04,日,いいえ,+21,"1,099",5,2,1/157,3.18,50,2.0,-19,572,2,1,1/191,3.26,41,4.0,+326,"2,594",12,7,1/137,3.33,44,3.0,-555,"3,120",7,12,1/164,3.39,63,8.0,+498,"3,891",15,15,1/130,3.94,37,-,-66,"1,820",7,3,1/182,2.79,55,5.0,"+1,013","2,283",15,3,1/127,3.03,48,4.0,-407,"2,245",7,5,1/187,2.79,48,4.0,-724,"1,309",3,0,1/436,2.36,63,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-03,土,はい,+500,"2,620",13,5,1/146,2.92,50,3.0,+727,"6,268",25,20,1/139,3.42,23,-,-174,"2,458",11,3,1/176,2.48,47,3.0,-931,"1,412",3,2,1/282,2.65,70,10.0,-128,"3,002",12,6,1/167,2.66,44,2.0,-372,"1,108",4,0,1/277,2.62,55,1.0,-567,"3,463",11,10,1/165,2.96,60,5.0,+796,"4,738",20,15,1/135,3.51,42,19.0,-86,"1,005",3,3,1/168,3.33,54,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-02,金,いいえ,+69,137,1,0,1/137,3.44,53,1.0,"+2,432","6,891",37,20,1/121,3.90,18,-,-349,"4,011",13,13,1/154,3.21,52,4.0,-662,892,1,2,1/297,3.03,67,6.0,-333,"3,012",10,11,1/143,3.57,48,3.0,-101,497,2,0,1/249,3.10,48,3.0,-443,"1,381",4,3,1/197,2.99,61,2.0,-994,"3,453",11,8,1/182,2.56,59,6.0,"+1,204","3,853",20,9,1/133,3.14,45,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-01-01,木,いいえ,-351,"2,576",8,9,1/152,3.41,57,4.0,-352,"1,592",4,5,1/177,3.22,58,1.0,-679,691,0,1,1/691,2.93,61,2.0,-700,"1,080",2,2,1/270,2.91,59,1.0,+155,"2,012",10,2,1/168,2.63,53,12.0,+131,"3,580",13,15,1/128,4.07,41,-,-403,586,1,0,1/586,2.90,61,2.0,-822,"1,280",1,5,1/213,3.28,66,1.0,-496,"1,179",2,4,1/197,3.26,65,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-31,水,いいえ,-312,"1,236",3,3,1/206,3.06,57,1.0,+404,"1,302",7,3,1/130,3.39,56,1.0,-450,"1,736",5,6,1/158,3.39,55,10.0,+132,"4,579",19,10,1/158,2.52,45,5.0,-744,798,0,2,1/399,3.04,60,1.0,+18,"1,150",5,0,1/230,2.66,40,-,-222,"2,691",10,8,1/150,3.25,61,1.0,-356,518,0,3,1/173,3.59,55,10.0,-609,"1,705",4,5,1/189,3.09,59,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-30,火,いいえ,-284,912,2,3,1/182,3.34,57,1.0,-337,"1,910",7,4,1/174,2.92,53,1.0,-336,494,1,0,1/494,3.01,55,2.0,+89,"2,649",11,7,1/147,3.16,55,2.0,-193,183,0,0,-,3.28,58,1.0,+283,"6,545",26,22,1/136,3.63,31,19.0,+60,282,2,0,1/141,3.37,56,1.0,-514,409,0,1,1/409,3.25,12,-,+130,"4,077",17,10,1/151,2.84,52,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-29,月,いいえ,-369,896,3,1,1/224,2.98,58,1.0,+335,"4,203",19,12,1/136,3.34,49,3.0,-522,856,2,0,1/428,2.70,46,46.0,-357,"1,368",5,3,1/171,3.11,59,1.0,-728,"1,974",4,6,1/197,3.03,51,2.0,-831,"2,536",7,5,1/211,2.51,60,1.0,-10,"1,617",6,5,1/147,3.39,57,6.0,"+3,152","5,900",31,26,1/104,5.12,0,-,-403,375,0,0,-,3.05,61,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-28,日,いいえ,-418,734,1,2,1/245,3.21,62,1.0,-333,743,2,1,1/248,3.06,61,4.0,"+1,396","5,589",28,20,1/116,4.38,33,-,-126,750,3,1,1/188,3.15,44,1.0,-965,"4,591",13,16,1/158,3.25,43,10.0,-581,"1,977",5,6,1/180,3.11,57,1.0,-230,"2,649",11,3,1/189,2.32,65,2.0,-592,"1,040",2,1,1/347,2.73,63,1.0,+299,"1,891",9,3,1/158,2.90,56,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-27,土,いいえ,-910,"2,577",7,7,1/184,2.88,64,3.0,-193,"1,728",5,5,1/173,3.16,61,4.0,-548,861,2,1,1/287,2.92,57,4.0,+372,"7,991",29,27,1/143,3.45,26,-,"+1,050","2,999",15,11,1/115,4.08,46,20.0,-579,"2,596",8,7,1/173,2.94,53,5.0,-862,"1,062",1,2,1/354,2.84,67,3.0,+133,"2,607",11,5,1/163,2.76,48,2.0,+331,"2,035",9,5,1/145,3.20,57,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-26,金,はい,-528,"1,072",3,1,1/268,2.79,61,6.0,-192,"1,589",5,4,1/177,3.09,61,6.0,-430,"1,066",2,4,1/178,3.39,55,2.0,"+1,222","5,397",27,13,1/135,2.99,37,-,-252,735,2,1,1/245,3.07,55,2.0,-2,"2,726",12,4,1/170,2.51,48,11.0,-280,"1,126",2,6,1/141,3.78,61,6.0,+313,"3,581",15,10,1/143,3.19,53,5.0,-378,716,1,1,1/358,2.99,53,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-25,木,いいえ,-533,"1,285",3,4,1/184,3.24,57,2.0,-369,614,1,1,1/307,3.11,61,3.0,-191,736,2,1,1/245,3.06,55,3.0,-743,839,1,1,1/420,2.86,63,2.0,-234,663,2,1,1/221,3.15,55,3.0,+217,"1,446",6,4,1/145,3.35,50,5.0,-166,864,3,2,1/173,3.26,52,2.0,-136,73,0,0,-,3.41,58,1.0,-365,"6,262",22,21,1/146,3.37,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-24,水,いいえ,+30,685,3,1,1/171,3.23,51,1.0,+307,782,5,0,1/156,3.07,50,1.0,-250,778,2,3,1/156,3.50,53,1.0,-249,"2,945",11,9,1/147,3.29,48,2.0,-128,335,0,1,1/335,3.34,49,1.0,+360,"2,063",10,5,1/138,3.27,46,7.0,+556,"4,055",18,9,1/150,2.73,39,-,+139,"1,085",6,0,1/181,2.82,52,1.0,-190,184,0,0,-,3.27,61,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-23,火,はい,-117,"2,565",9,10,1/135,3.75,34,-,"+1,168","4,835",21,19,1/121,4.30,35,1.0,-416,601,1,0,1/601,2.89,41,4.0,+810,"3,083",15,11,1/119,3.99,43,2.0,-261,422,1,0,1/422,3.09,37,2.0,+280,"2,743",13,7,1/137,3.25,44,1.0,+532,"5,382",19,24,1/125,4.44,43,2.0,-92,"3,350",11,13,1/140,3.73,52,1.0,-558,468,0,1,1/468,3.18,51,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-21,日,いいえ,"+1,184","7,588",31,30,1/124,4.46,17,-,-750,"3,742",13,7,1/187,2.28,60,8.0,+186,"8,484",28,33,1/139,3.98,23,3.0,-617,"4,632",14,15,1/160,3.08,52,7.0,+184,"8,294",32,29,1/136,3.79,20,3.0,-273,"1,991",8,3,1/181,2.70,44,13.0,"-1,446","3,891",9,12,1/185,2.79,65,5.0,"-1,071","4,486",12,13,1/179,2.67,45,1.0,+191,"7,742",28,28,1/138,3.79,31,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-20,土,いいえ,-146,448,2,0,1/224,3.16,52,2.0,-352,934,2,2,1/234,3.07,58,5.0,+369,"2,220",10,4,1/159,2.86,50,4.0,+570,"3,038",13,10,1/132,3.61,53,1.0,+89,"1,520",8,1,1/169,2.75,8,-,+585,"5,271",21,21,1/126,4.24,41,33.0,-689,"1,759",5,3,1/220,2.68,46,1.0,"+1,754","4,090",23,13,1/114,4.11,45,4.0,+230,731,4,1,1/146,3.28,52,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-19,金,いいえ,-793,"2,838",8,8,1/177,2.91,17,17.0,"+1,430","2,186",14,8,1/99,4.25,52,3.0,-120,"1,280",4,4,1/160,3.35,52,3.0,-203,359,1,0,1/359,3.17,61,6.0,"+1,522","4,853",23,21,1/110,4.74,0,-,-134,99,0,0,-,3.38,55,3.0,+744,"7,180",31,22,1/135,3.43,31,14.0,-322,515,1,1,1/258,3.22,61,6.0,+357,"3,821",14,16,1/127,4.11,49,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-18,木,いいえ,"+1,484","3,890",18,17,1/111,4.56,0,-,-167,128,0,0,-,3.34,58,1.0,+327,"1,346",8,1,1/150,2.95,53,53.0,-168,"1,311",5,2,1/187,2.94,58,1.0,-633,459,0,0,-,2.95,57,2.0,-411,"1,141",4,0,1/285,2.58,55,1.0,-523,"1,049",2,2,1/262,2.95,67,9.0,+41,645,3,1,1/161,3.28,54,1.0,-167,633,2,0,1/317,2.95,58,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-17,水,いいえ,-858,644,0,0,-,2.75,64,1.0,+609,"1,309",7,6,1/101,4.08,48,3.0,-818,"2,389",5,8,1/184,3.12,64,1.0,+434,"2,216",10,9,1/117,4.02,52,1.0,+194,"1,288",6,2,1/161,3.06,53,1.0,-426,834,2,1,1/278,2.95,51,3.0,-630,"1,735",5,4,1/193,2.93,63,7.0,+53,"2,171",9,5,1/155,3.05,45,-,+324,"1,582",9,3,1/132,3.26,56,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-16,火,はい,-419,511,0,2,1/256,3.37,55,3.0,+273,"5,687",20,21,1/139,3.76,43,-,-205,"1,150",4,2,1/192,3.02,62,1.0,-29,"2,343",8,8,1/146,3.45,61,4.0,-328,"2,578",8,9,1/152,3.41,52,6.0,+325,"4,773",20,12,1/149,2.81,46,3.0,-262,419,1,0,1/419,3.10,57,2.0,-272,"6,203",21,22,1/144,3.54,43,-,-206,750,3,1,1/188,3.15,61,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-15,月,いいえ,-543,569,0,1,1/569,3.06,39,-,+605,"1,272",8,1,1/141,3.04,56,2.0,-944,"1,326",1,5,1/221,3.23,61,4.0,-340,281,0,0,-,3.16,61,4.0,+542,"1,180",8,0,1/148,2.90,53,14.0,-829,"1,129",1,4,1/226,3.22,57,1.0,-40,903,4,1,1/181,3.07,57,1.0,-346,"1,391",4,4,1/174,3.22,54,1.0,-431,735,2,1,1/245,3.07,61,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-14,日,いいえ,"+2,388","6,410",32,22,1/119,4.31,16,-,-422,"1,166",3,3,1/194,3.14,57,1.0,-416,570,1,1,1/285,3.16,48,7.0,+178,"3,369",13,10,1/146,3.24,56,3.0,"-1,303","1,306",0,3,1/435,2.72,48,7.0,+307,"2,758",13,6,1/145,3.00,53,5.0,-438,"2,008",9,0,1/223,2.18,58,1.0,+590,"4,213",19,12,1/136,3.33,41,25.0,-551,"1,649",3,6,1/183,3.29,63,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-13,土,はい,-121,"1,119",5,0,1/224,2.69,51,14.0,-315,"2,980",9,11,1/149,3.51,61,2.0,+835,"4,898",22,15,1/132,3.53,37,7.0,-584,603,0,2,1/302,3.26,59,1.0,"+1,538","6,247",29,21,1/125,4.01,30,3.0,-339,619,1,2,1/206,3.34,55,4.0,-513,"1,029",2,3,1/206,3.20,27,-,-316,"1,800",6,5,1/164,3.18,57,2.0,-240,411,1,0,1/411,3.11,58,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-12,金,いいえ,-87,"1,335",4,4,1/167,3.28,51,5.0,-218,257,0,1,1/257,3.43,65,8.0,+371,"1,616",8,4,1/135,3.36,46,44.0,-303,465,1,1,1/233,3.28,57,1.0,-172,"1,295",4,4,1/162,3.33,55,4.0,-220,192,0,0,-,3.26,55,4.0,"+1,080","3,940",18,17,1/113,4.52,2,-,-240,957,2,5,1/137,3.75,56,1.0,+444,575,4,1,1/115,3.47,56,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-11,木,いいえ,-202,655,2,1,1/218,3.16,49,7.0,-843,"1,283",1,3,1/321,2.83,70,9.0,+338,"2,928",13,5,1/163,2.60,53,3.0,-241,399,0,2,1/200,3.50,42,34.0,-34,957,4,1,1/191,3.01,55,2.0,-546,"2,973",10,10,1/149,3.39,50,1.0,-241,953,3,2,1/191,3.15,61,4.0,+218,780,4,2,1/130,3.46,8,-,-317,562,1,1,1/281,3.17,57,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-10,水,いいえ,+710,"2,823",14,10,1/118,3.96,6,6.0,-345,"2,147",8,4,1/179,2.76,61,4.0,"-1,035","1,066",0,2,1/533,2.75,63,2.0,"+1,931","3,286",22,8,1/110,3.81,27,21.0,-267,"1,661",6,5,1/151,3.34,57,11.0,+549,"1,576",9,3,1/131,3.27,46,19.0,-239,172,0,0,-,3.29,61,4.0,"+1,770","7,635",32,31,1/121,4.63,0,-,-41,43,0,0,-,3.45,57,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-09,火,いいえ,"+1,003","4,962",20,25,1/110,4.91,0,-,-623,"1,061",2,2,1/265,2.93,63,6.0,-249,"1,510",6,1,1/216,2.59,48,18.0,+347,"1,585",8,2,1/159,2.91,30,30.0,-442,"1,250",3,3,1/208,3.05,57,2.0,-515,"3,389",10,13,1/147,3.59,54,3.0,+102,"1,332",5,3,1/167,3.15,55,1.0,-715,"1,803",5,3,1/225,2.64,72,9.0,-157,368,1,1,1/184,3.40,51,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-07,日,いいえ,-615,"2,021",6,5,1/184,2.93,64,3.0,-221,"1,066",4,1,1/213,2.88,57,1.0,+883,"2,791",12,13,1/112,4.38,46,44.0,+495,"7,026",26,25,1/138,3.74,0,-,-49,443,2,0,1/222,3.17,53,7.0,-404,532,1,0,1/532,2.96,55,2.0,-855,"3,634",10,11,1/173,2.91,56,1.0,-298,502,1,0,1/502,3.00,61,4.0,-315,"1,984",7,4,1/180,2.84,2,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-06,土,はい,-875,"1,442",3,1,1/361,2.43,61,4.0,+149,"4,117",15,15,1/137,3.71,49,2.0,-441,"1,379",4,2,1/230,2.77,62,1.0,"+3,363","7,732",39,34,1/106,5.24,0,-,-852,"3,534",10,12,1/161,3.22,47,47.0,-512,"1,883",6,4,1/188,2.86,57,6.0,-205,"3,305",14,4,1/184,2.17,51,2.0,-618,"1,429",3,3,1/238,2.85,70,8.0,"+2,994","7,551",36,36,1/105,5.30,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-05,金,いいえ,-523,"1,027",2,2,1/257,2.97,53,5.0,+452,"1,132",7,2,1/126,3.35,56,2.0,-615,877,1,2,1/292,3.04,64,3.0,-317,317,0,1,1/317,3.36,61,5.0,-451,"6,393",21,22,1/149,3.35,40,-,-96,640,3,1,1/160,3.28,48,8.0,+742,"1,576",9,4,1/121,3.52,54,1.0,-411,"1,780",5,3,1/223,2.66,64,3.0,-315,290,0,0,-,3.15,61,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-04,木,いいえ,+378,"3,697",14,14,1/132,3.85,46,9.0,-426,364,0,0,-,3.06,61,2.0,-547,"1,885",5,4,1/209,2.77,57,2.0,-357,657,1,2,1/219,3.30,59,1.0,-438,"1,290",4,2,1/215,2.87,55,1.0,"+1,060","4,429",20,15,1/127,3.85,37,-,-70,"1,419",6,2,1/177,2.91,52,6.0,"-1,373","3,935",9,13,1/179,2.95,54,2.0,-137,352,1,0,1/352,3.18,58,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-03,水,はい,-444,"1,492",3,6,1/166,3.47,55,5.0,-403,"1,483",4,4,1/185,3.11,61,4.0,-461,"2,298",8,4,1/192,2.61,55,5.0,-397,"2,396",6,9,1/160,3.42,39,-,-961,"2,066",5,3,1/258,2.40,57,2.0,-208,"1,005",3,3,1/168,3.33,55,5.0,+243,"3,097",14,12,1/119,4.08,43,4.0,-368,"2,953",10,7,1/174,2.75,50,2.0,+243,"1,552",8,2,1/155,2.95,48,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-12-02,火,いいえ,-325,814,2,1,1/271,2.98,55,5.0,-238,509,1,1,1/255,3.23,58,3.0,+189,571,3,2,1/114,3.61,48,7.0,"+2,503","6,593",38,17,1/120,3.67,18,-,-72,67,0,0,-,3.42,49,1.0,-202,179,0,0,-,3.28,39,21.0,-191,"1,009",4,2,1/168,3.19,55,5.0,+372,"1,063",7,1,1/133,3.19,50,1.0,"+1,221","4,893",22,16,1/129,3.75,41,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
