日付,曜日,特定日,856番台,,,,,,,,857番台,,,,,,,,858番台,,,,,,,,860番台,,,,,,,,861番台,,,,,,,,862番台,,,,,,,,863番台,,,,,,,,865番台,,,,,,,,866番台,,,,,,,,867番台,,,,,,,,868番台,,,,,,,,870番台,,,,,,,
,,,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差,差枚,G数,BB,RB,合成,設定,狙度,次差
2026-05-09,土,いいえ,+197,369,2,0,1/185,3.26,53,1.0,-113,"4,608",19,8,1/171,2.15,41,7.0,-650,634,0,0,-,2.76,56,1.0,-267,"2,256",7,8,1/150,3.45,55,2.0,-279,"3,705",13,12,1/148,3.32,6,-,-933,966,0,2,1/483,2.85,63,2.0,+37,"2,245",8,6,1/160,3.10,34,28.0,+37,"2,703",10,10,1/135,3.69,52,11.0,-140,"1,605",7,2,1/178,2.80,61,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-08,金,いいえ,-442,"1,563",5,3,1/195,2.89,48,1.0,+264,"2,953",14,6,1/148,2.88,47,3.0,+873,"3,549",15,15,1/118,4.28,43,18.0,+137,"1,288",5,4,1/143,3.44,44,1.0,"+1,449","5,833",26,25,1/114,4.74,0,-,-162,394,1,1,1/197,3.37,48,1.0,"+2,073","6,426",33,20,1/121,4.01,25,25.0,"+1,047","1,677",11,7,1/93,4.29,49,1.0,-167,"1,182",4,2,1/197,2.99,61,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-07,木,いいえ,"+1,237","3,858",20,11,1/124,3.61,37,-,-362,"1,249",4,0,1/312,2.48,53,12.0,-548,815,1,2,1/272,3.11,54,1.0,+30,"2,852",11,7,1/158,2.94,40,3.0,-279,867,2,3,1/173,3.39,55,1.0,+280,"5,480",24,14,1/144,2.86,37,-,+119,"1,178",6,2,1/147,3.19,62,7.0,+320,936,5,3,1/117,3.62,41,1.0,-531,"1,584",4,4,1/198,3.00,54,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-06,水,はい,"-1,033","1,955",3,6,1/217,2.96,57,4.0,+300,"5,166",19,19,1/136,3.80,46,9.0,+27,"5,331",18,20,1/140,3.74,37,4.0,+642,"4,890",22,15,1/132,3.54,33,2.0,-596,662,1,0,1/662,2.82,53,7.0,"-1,125","5,418",16,17,1/164,2.89,14,-,"-1,104","2,248",5,4,1/250,2.43,72,15.0,"+1,608","5,944",27,19,1/129,3.73,33,2.0,+908,"4,086",21,7,1/146,2.53,31,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-05,火,いいえ,-978,"7,318",18,33,1/143,4.16,38,1.0,-334,"1,121",3,3,1/187,3.19,61,1.0,"-1,141","2,364",5,5,1/236,2.52,14,14.0,-525,"3,505",12,12,1/146,3.44,43,5.0,+547,"5,333",22,18,1/133,3.70,35,21.0,"+1,696","4,510",23,18,1/110,4.59,0,-,-763,"1,056",1,2,1/352,2.85,63,2.0,"-1,109","3,210",8,11,1/169,3.17,60,17.0,"+1,314","5,052",27,12,1/130,3.15,37,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-04,月,いいえ,+147,"2,772",13,6,1/146,2.98,55,1.0,+125,978,5,0,1/196,2.84,52,2.0,+347,"5,834",23,25,1/122,4.53,0,-,+835,"2,689",14,4,1/149,2.71,50,2.0,-221,"1,350",4,5,1/150,3.50,47,47.0,-345,"4,767",18,14,1/149,3.08,52,2.0,+177,"1,374",7,2,1/153,3.06,47,47.0,-315,"3,414",12,8,1/171,2.67,54,2.0,-45,"1,981",8,3,1/180,2.71,48,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-03,日,はい,-478,"1,597",4,5,1/177,3.21,61,6.0,+804,"4,749",22,12,1/140,3.01,47,1.0,-656,"2,163",7,5,1/180,2.87,12,-,-791,"1,183",2,3,1/237,3.03,61,6.0,-626,"5,420",19,13,1/169,2.37,46,3.0,"-1,020","2,739",8,4,1/228,2.24,55,1.0,"+1,912","4,404",24,16,1/110,4.45,38,26.0,+43,"1,980",7,8,1/132,3.76,54,7.0,+477,"5,648",26,15,1/138,3.08,43,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-05-01,金,いいえ,-496,"2,379",7,7,1/170,3.09,54,5.0,-370,407,0,0,-,3.01,61,4.0,"+2,171","5,903",30,25,1/107,4.96,0,-,-515,"1,649",4,3,1/236,2.71,57,3.0,-289,345,1,0,1/345,3.18,42,42.0,-13,"6,814",23,18,1/166,2.39,43,1.0,-180,365,1,0,1/365,3.16,68,7.0,"-1,156","7,120",21,23,1/162,2.88,49,6.0,-244,"1,449",4,4,1/181,3.15,61,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-30,木,いいえ,+721,"2,978",15,5,1/149,2.72,56,3.0,-155,727,2,1,1/242,3.08,50,1.0,"-1,125","2,442",5,8,1/188,3.06,68,2.0,-127,169,0,0,-,3.29,49,30.0,"+1,770","6,468",31,23,1/120,4.34,19,-,-286,426,1,0,1/426,3.09,53,3.0,-919,"1,879",6,0,1/313,2.10,66,5.0,-455,"1,593",3,7,1/159,3.58,61,5.0,-693,579,0,0,-,2.82,56,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,-374,483,1,0,1/483,3.02,68,3.0,+742,"5,255",25,12,1/142,2.75,39,-,-654,"1,649",4,6,1/165,3.39,63,2.0,-687,"4,800",19,12,1/155,2.71,40,1.0,-101,"3,266",12,9,1/156,3.03,43,2.0,-258,"3,847",15,9,1/160,2.69,50,7.0,"-1,031","1,326",2,2,1/332,2.66,65,2.0,-361,886,2,1,1/295,2.90,61,11.0,+712,"5,083",20,17,1/137,3.57,41,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
