日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-04,月,はい,+806,"3,449",18,8,1/133,-299,"5,519",19,16,1/158,+310,"4,635",17,17,1/136,-497,"1,170",3,2,1/234,+605,"8,716",33,33,1/132,-790,"1,852",3,3,1/309
2026-05-03,日,いいえ,+707,"6,127",28,12,1/153,"-1,299","2,183",2,6,1/273,+0,"1,673",6,3,1/186,+0,"1,355",6,2,1/169,-497,"2,330",8,5,1/179,-697,"2,415",7,8,1/161
2026-05-02,土,いいえ,+0,"2,131",10,2,1/178,+110,"1,650",8,1,1/183,-701,"1,153",2,2,1/288,-699,"1,053",2,1,1/351,-98,391,1,1,1/196,+800,"7,454",30,22,1/143
2026-05-01,金,はい,-96,"5,819",22,10,1/182,"-1,392","2,083",4,3,1/298,-404,"3,992",15,8,1/174,-397,"4,228",14,13,1/157,-998,"2,984",8,8,1/187,+196,"7,604",29,19,1/158
2026-04-30,木,いいえ,-197,"2,279",7,6,1/175,-699,"3,579",11,12,1/156,-798,"1,524",3,2,1/305,-196,"1,050",4,1,1/210,-299,382,1,0,1/382,"+1,506","6,808",32,20,1/131
2026-04-29,水,いいえ,-701,"1,762",5,2,1/252,-503,"3,958",12,14,1/152,"+1,100","4,384",20,17,1/118,+901,"3,370",18,5,1/147,-192,"1,322",4,2,1/220,"+1,508","3,765",19,12,1/121
2026-04-28,火,いいえ,"+2,214","8,895",44,23,1/133,-191,463,1,1,1/232,"+1,103","2,656",15,5,1/133,"+4,316","8,301",45,30,1/111,+511,900,5,3,1/113,-399,"3,579",11,12,1/156
2026-04-27,月,はい,-195,"1,180",4,2,1/197,-590,"1,231",3,2,1/246,+113,"2,494",9,7,1/156,+314,"1,898",10,3,1/146,+0,"1,275",4,5,1/142,+0,"1,291",4,5,1/143
2026-04-26,日,いいえ,"+3,213","7,887",44,20,1/123,+512,"4,261",18,14,1/133,-300,"1,330",4,3,1/190,-591,"7,263",27,16,1/169,-104,"1,706",6,4,1/171,-699,"2,118",7,2,1/235
2026-04-25,土,いいえ,+712,"6,332",27,15,1/151,-298,"2,322",9,5,1/166,-104,"3,900",16,9,1/156,-298,"7,321",27,21,1/153,-197,745,2,1,1/248,"+1,911","7,564",34,26,1/126
2026-04-24,金,はい,-702,"1,830",5,2,1/261,-101,"1,581",5,4,1/176,"+1,613","3,828",21,11,1/120,-96,"5,830",22,17,1/149,"+1,908","3,533",22,9,1/114,+307,"2,618",12,5,1/154
2026-04-23,木,いいえ,"-1,192","2,158",5,5,1/216,-594,"1,173",2,3,1/235,-98,"2,220",8,8,1/139,-999,"1,316",1,2,1/439,+313,"1,557",7,3,1/156,-701,906,1,1,1/453
2026-04-22,水,いいえ,-101,"3,083",14,3,1/181,-304,"2,466",7,8,1/164,-398,727,1,1,1/364,"-1,304","3,462",8,9,1/204,-498,"2,165",6,5,1/197,"+1,012","7,354",31,22,1/139
2026-04-21,火,はい,-500,"4,075",10,16,1/157,-503,"3,497",13,6,1/184,-593,"2,398",7,7,1/171,"-1,297","3,103",5,11,1/194,-995,"2,475",6,5,1/225,"-1,491","5,517",12,17,1/190
2026-04-19,日,いいえ,-701,"1,557",4,3,1/222,+113,"4,623",20,10,1/154,-305,"4,101",13,15,1/146,-501,"2,018",5,7,1/168,-302,"1,052",3,3,1/175,"-1,084","7,247",22,22,1/165
2026-04-18,土,いいえ,"+1,210","5,650",28,13,1/138,-897,"1,062",1,0,1/1062,-699,935,1,1,1/468,-702,"6,266",20,20,1/157,-893,"2,210",4,4,1/276,-903,"2,360",7,4,1/215
2026-04-17,金,はい,+208,"2,410",10,5,1/161,-103,"1,401",5,2,1/200,-393,892,2,2,1/223,-700,498,0,0,-,+510,"2,014",11,2,1/155,+605,"2,608",13,8,1/124
2026-04-16,木,いいえ,-799,"1,316",1,5,1/219,+203,"2,056",9,4,1/158,+109,682,3,0,1/227,-596,"1,426",2,6,1/178,+202,"3,122",14,8,1/142,-296,224,0,0,-
2026-04-15,水,いいえ,-198,937,3,1,1/234,-96,881,3,2,1/176,-104,"1,355",4,5,1/151,-794,"1,358",2,3,1/272,+207,"3,898",13,15,1/139,-992,"1,544",2,4,1/257
2026-04-14,火,はい,-705,"7,262",25,21,1/158,-195,986,4,1,1/197,-899,"1,684",2,5,1/241,-595,"4,288",17,6,1/186,-593,"1,060",2,2,1/265,+312,"6,000",23,19,1/143
2026-04-13,月,いいえ,-194,"1,359",4,4,1/170,-498,510,0,2,1/255,-504,"1,200",2,3,1/240,+0,"2,473",10,6,1/155,-196,689,2,1,1/230,-500,888,1,4,1/178
2026-04-12,日,いいえ,-192,"4,523",17,10,1/168,+406,"4,635",21,12,1/140,"+1,404","2,900",16,5,1/138,+714,"3,338",13,16,1/115,-392,"2,900",10,8,1/161,-192,"1,939",7,5,1/162
2026-04-11,土,はい,-395,"3,283",13,4,1/193,-297,"1,164",4,1,1/233,"+3,013","7,801",37,32,1/113,-191,680,2,2,1/170,+499,"5,203",24,12,1/145,-195,"2,023",8,1,1/225
2026-04-10,金,いいえ,+307,"1,938",8,6,1/138,-598,769,1,0,1/769,-391,330,0,0,-,+0,418,2,0,1/209,+910,"3,092",16,7,1/134,+0,"3,541",15,7,1/161
2026-04-09,木,いいえ,-499,"2,183",7,3,1/218,+402,"3,094",14,7,1/147,+0,"1,226",5,2,1/175,-193,624,2,0,1/312,+416,"5,364",24,12,1/149,-698,"2,913",7,10,1/171
2026-04-08,水,いいえ,-497,917,2,0,1/459,+307,"2,737",14,5,1/144,-794,"1,597",2,4,1/266,+112,"1,863",9,2,1/169,-498,616,1,0,1/616,"-1,599","5,056",11,15,1/194
2026-04-07,火,はい,+603,"3,472",13,12,1/139,-501,951,1,4,1/190,-296,763,2,2,1/191,"+1,095","2,940",15,6,1/140,"+1,913","4,578",22,21,1/106,-899,"3,201",12,8,1/160
2026-04-05,日,いいえ,-596,"1,575",4,2,1/263,+0,990,4,2,1/165,-195,"2,534",10,6,1/158,-392,"1,619",4,5,1/180,+107,"3,080",14,3,1/181,"-1,093","1,773",2,6,1/222
2026-04-04,土,はい,"+1,201","5,764",28,12,1/144,"+1,403","5,966",29,16,1/133,-502,"4,710",15,13,1/168,-791,"4,099",12,11,1/178,-390,"4,109",16,11,1/152,+513,"5,902",28,10,1/155
