日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-25,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-297,621,1,0,1/621,1/4.81,2.87,-195,206,0,0,-,1/5.06,3.25,"+1,314","6,370",30,20,1/127,1/6.15,3.77,-305,315,0,0,-,1/5.13,3.12
2026-05-24,日,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+3,420","6,852",37,25,1/111,1/5.81,4.80,-797,"1,436",3,3,1/239,1/6.30,2.84,+314,"5,796",24,17,1/141,1/6.13,3.18,-104,"2,676",12,3,1/178,1/6.13,2.36
2026-05-23,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-704,"1,501",3,3,1/250,1/5.77,2.78,+806,"2,482",13,5,1/138,1/5.71,3.08,-594,"4,038",15,7,1/184,1/6.05,2.18,-905,"1,353",3,1,1/338,1/6.37,2.51
2026-05-22,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+0,"2,168",8,8,1/136,1/6.22,3.65,-302,"4,658",17,12,1/161,1/5.98,2.69,-505,635,1,1,1/318,1/6.65,3.08,+309,"2,706",12,6,1/150,1/5.87,2.96
2026-05-21,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-594,"1,231",3,0,1/410,1/5.48,2.42,-300,"1,607",4,6,1/161,1/5.78,3.43,+609,"3,487",14,12,1/134,1/5.69,3.65,-705,"1,949",5,4,1/217,1/5.91,2.71
2026-05-20,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-298,"1,121",3,2,1/224,1/5.52,2.96,-101,"1,787",6,7,1/137,1/6.21,3.66,-99,592,2,0,1/296,1/5.16,2.99,+807,"3,240",13,13,1/125,1/5.61,4.03
2026-05-19,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-300,"2,421",7,9,1/151,1/5.92,3.49,+116,"2,184",8,6,1/156,1/5.57,3.17,-99,396,2,0,1/198,1/7.52,3.23,+201,"4,079",16,14,1/136,1/6.13,3.63
2026-05-18,月,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+202,"3,492",15,9,1/146,1/6.13,3.06,-703,907,2,1,1/302,1/7.16,2.87,-395,384,0,2,1/192,1/8.02,3.52,+509,"1,987",9,7,1/124,1/5.90,3.73
2026-05-17,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-196,"1,094",3,4,1/156,1/5.98,3.46,"+3,714","6,101",32,30,1/98,1/5.70,5.35,+404,"5,601",23,17,1/140,1/6.06,3.30,-700,761,0,1,1/761,1/5.40,2.85
2026-05-16,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-101,"5,552",19,21,1/139,1/6.05,3.81,+810,"1,788",10,6,1/112,1/6.09,3.84,+0,"2,893",12,5,1/170,1/5.86,2.56,+108,"4,870",21,12,1/148,1/6.27,2.80
