日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2025-10-05,日,いいえ,-696,"2,146",6,4,1/215,1/5.91,2.60,-192,"4,792",17,12,1/165,1/5.74,2.57,-102,"3,724",14,10,1/155,1/5.97,2.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-04,土,はい,-705,"3,965",14,6,1/198,1/5.90,2.03,"+2,497","7,896",42,19,1/129,1/5.99,3.01,"-1,388","2,485",4,7,1/226,1/6.10,2.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-03,金,いいえ,"+2,104","6,610",34,21,1/120,1/6.13,4.11,+404,"1,768",10,0,1/177,1/5.72,2.45,-98,"2,379",9,6,1/159,1/5.99,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-02,木,いいえ,-598,"5,510",16,18,1/162,1/5.68,3.00,"+1,012","7,261",32,22,1/134,1/6.08,3.43,+716,"2,190",11,6,1/129,1/5.78,3.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-01,水,はい,+0,"6,397",23,19,1/152,1/5.80,2.91,-905,"1,903",5,2,1/272,1/6.06,2.36,-899,"1,804",5,2,1/258,1/6.36,2.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-30,火,いいえ,+0,"4,715",19,12,1/152,1/6.08,2.79,"-1,303","3,863",9,11,1/193,1/5.89,2.63,-104,"3,043",11,9,1/152,1/5.97,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-29,月,いいえ,+0,"1,013",5,1,1/169,1/6.42,3.04,-198,547,1,2,1/182,1/5.82,3.43,-96,334,1,0,1/334,1/5.26,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-28,日,いいえ,+0,"1,964",8,3,1/179,1/5.70,2.73,+314,"1,329",7,1,1/166,1/5.61,2.87,"+1,204","1,523",11,4,1/102,1/6.02,3.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-27,土,いいえ,-101,"3,493",14,9,1/152,1/6.21,2.97,+907,"3,555",14,15,1/123,1/5.59,4.19,-698,"2,746",6,11,1/162,1/5.87,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-26,金,いいえ,"+1,009","3,789",16,16,1/118,1/5.83,4.32,-193,633,1,2,1/211,1/5.20,3.32,+0,574,3,0,1/191,1/6.29,3.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-25,木,いいえ,"+3,213","5,192",35,11,1/113,1/6.05,3.61,+316,744,4,1,1/149,1/5.22,3.26,-99,523,2,0,1/262,1/5.63,3.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-24,水,はい,-497,"1,936",5,6,1/176,1/5.91,3.16,+312,"1,291",4,7,1/117,1/5.32,4.01,"+2,503","5,004",29,14,1/116,1/5.86,3.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-23,火,いいえ,+202,"1,803",8,5,1/139,1/6.12,3.38,-297,"1,267",3,4,1/181,1/5.63,3.26,-393,"2,022",6,6,1/169,1/5.99,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-22,月,いいえ,+0,"2,753",10,9,1/145,1/5.97,3.41,-302,342,0,1,1/342,1/5.87,3.33,-198,"1,384",6,1,1/198,1/6.28,2.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-21,日,はい,+0,"1,963",8,5,1/151,1/6.14,3.19,"+2,803","5,696",29,22,1/112,1/5.62,4.68,+113,581,3,0,1/194,1/5.40,3.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-20,土,いいえ,-191,"1,675",6,2,1/209,1/5.56,2.64,+309,"2,048",9,6,1/137,1/5.97,3.43,-104,"4,472",17,12,1/154,1/6.00,2.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-19,金,いいえ,"+1,098","3,689",20,8,1/132,1/6.09,3.09,+513,759,5,1,1/127,1/5.35,3.35,-505,"2,474",6,9,1/165,1/5.75,3.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-18,木,いいえ,-504,890,2,2,1/223,1/6.64,3.12,"-1,496","4,547",11,14,1/182,1/6.05,2.73,-197,"2,185",8,6,1/156,1/6.18,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-17,水,いいえ,+601,"1,447",9,1,1/145,1/5.79,2.93,+208,987,5,1,1/165,1/5.62,3.07,-104,590,2,1,1/197,1/5.82,3.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-16,火,いいえ,+801,"1,744",10,5,1/116,1/6.00,3.66,-394,365,0,0,-,1/5.52,3.06,-505,505,0,1,1/505,1/5.98,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-15,月,いいえ,-794,"3,167",7,12,1/167,1/5.79,3.34,-791,"2,368",6,5,1/215,1/5.79,2.59,+203,"3,568",13,15,1/127,1/6.13,4.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-14,日,はい,"-1,089","4,454",10,19,1/154,1/6.00,3.72,-497,730,0,2,1/365,1/5.05,3.11,-595,"3,137",11,8,1/165,1/6.40,2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-13,土,いいえ,"-1,002","2,332",4,8,1/194,1/5.90,3.09,+411,"4,414",16,16,1/138,1/5.71,3.69,-595,"1,345",3,2,1/269,1/5.68,2.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-12,金,いいえ,"+3,006","4,128",28,11,1/106,1/5.84,4.16,-399,776,2,0,1/388,1/5.73,2.79,-97,815,3,1,1/204,1/5.69,3.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-11,木,はい,-900,"1,561",4,1,1/312,1/6.28,2.39,-196,"2,329",8,5,1/179,1/5.66,2.79,+311,"1,768",9,2,1/161,1/5.83,2.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-10,水,いいえ,-898,"1,621",3,5,1/203,1/6.49,3.09,-296,304,0,0,-,1/5.14,3.13,-299,815,2,2,1/204,1/5.99,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-09,火,いいえ,-398,481,0,1,1/481,1/5.33,3.16,+209,"1,544",6,4,1/154,1/5.40,3.24,-798,922,0,2,1/461,1/5.50,2.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-07,日,いいえ,-503,"2,168",7,5,1/181,1/6.16,2.87,-504,"1,743",5,5,1/174,1/6.28,3.15,-194,"1,069",3,4,1/153,1/6.10,3.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-06,土,いいえ,+608,"4,081",18,12,1/136,1/6.00,3.38,+403,"2,822",12,8,1/141,1/5.81,3.30,-300,733,2,1,1/244,1/6.00,3.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-05,金,いいえ,+512,986,7,0,1/141,1/5.96,3.03,-102,569,1,3,1/142,1/5.64,3.64,+509,"1,061",6,1,1/152,1/5.13,3.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-04,木,はい,"-1,296","4,162",10,12,1/189,1/5.87,2.62,-395,869,2,1,1/290,1/5.67,2.91,-592,"1,342",2,5,1/192,1/5.84,3.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-03,水,いいえ,-103,183,0,1,1/183,1/5.56,3.52,"+1,510","1,466",11,7,1/81,1/6.18,4.51,-102,317,0,2,1/159,1/5.00,3.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-02,火,いいえ,-697,"1,022",2,0,1/511,1/5.81,2.54,-496,609,0,2,1/305,1/5.72,3.25,+604,"3,344",15,10,1/134,1/5.96,3.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-01,月,はい,-194,"1,495",5,4,1/166,1/5.98,3.20,"+1,607","3,514",21,8,1/121,1/6.01,3.41,+911,812,7,1,1/102,1/5.48,3.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-31,日,はい,+609,"3,448",17,7,1/144,1/6.04,2.84,-698,"1,172",2,4,1/195,1/6.70,3.27,-102,934,3,3,1/156,1/5.98,3.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-30,土,いいえ,-303,987,2,2,1/247,1/5.20,3.01,-196,"5,411",16,24,1/135,1/5.91,4.20,-297,"1,200",4,3,1/171,1/6.46,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-29,金,いいえ,-304,803,3,0,1/268,1/6.39,2.85,"-1,087","3,385",9,9,1/188,1/6.10,2.67,+408,"1,723",8,5,1/133,1/5.84,3.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-28,木,いいえ,-98,848,3,2,1/170,1/5.99,3.27,"-2,208","6,517",15,21,1/181,1/6.03,2.63,+204,"1,019",4,3,1/146,1/5.33,3.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-27,水,いいえ,-393,"1,994",7,5,1/166,1/6.42,3.06,-303,"1,137",1,8,1/126,1/5.83,4.08,+112,817,5,0,1/163,1/6.70,3.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-26,火,いいえ,"+1,210","1,828",11,8,1/96,1/6.05,4.33,-301,"1,227",3,3,1/205,1/5.48,3.07,-390,"1,023",1,6,1/146,1/5.94,3.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-25,月,いいえ,-300,391,0,1,1/391,1/5.28,3.27,-102,"1,415",5,3,1/177,1/5.70,3.05,+314,828,5,0,1/166,1/5.49,3.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-24,日,はい,-198,"4,269",14,13,1/158,1/5.71,3.03,-390,930,2,3,1/186,1/6.24,3.32,-504,"4,052",14,10,1/169,1/5.99,2.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-23,土,いいえ,-198,"3,843",15,5,1/192,1/5.66,2.01,-191,"1,620",6,2,1/203,1/5.71,2.69,+510,"2,445",12,5,1/144,1/5.88,3.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-22,金,いいえ,-697,"2,885",8,11,1/152,1/6.39,3.52,-98,624,2,1,1/208,1/5.53,3.20,-190,889,3,1,1/222,1/5.73,2.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-21,木,はい,+609,"5,096",23,12,1/146,1/5.99,2.74,-504,"2,016",5,8,1/155,1/6.15,3.52,+308,"3,059",13,7,1/153,1/5.77,2.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-20,水,いいえ,-791,"1,388",1,6,1/198,1/5.84,3.39,+311,365,2,2,1/91,1/5.21,3.75,+496,"4,700",19,19,1/124,1/6.29,4.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-19,火,いいえ,-305,"1,404",4,4,1/176,1/5.92,3.20,-102,671,2,1,1/224,1/5.27,3.14,-797,"3,152",7,14,1/150,1/6.09,3.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-18,月,いいえ,+196,"2,681",12,7,1/141,1/6.28,3.23,-301,235,0,0,-,1/6.41,3.21,-599,752,0,1,1/752,1/4.99,2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-17,日,いいえ,-702,"1,185",2,1,1/395,1/5.52,2.59,"+1,101","3,492",17,10,1/129,1/5.72,3.49,+0,"1,301",5,3,1/163,1/5.79,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-16,土,いいえ,"+1,313","5,997",29,15,1/136,1/5.95,2.98,-303,522,1,0,1/522,1/5.38,2.98,"+1,910","3,149",20,10,1/105,1/6.14,4.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-15,金,いいえ,"+2,103","6,118",32,17,1/125,1/5.94,3.60,"+1,210","3,104",17,6,1/135,1/5.65,2.99,"+1,308","2,692",16,8,1/112,1/6.16,3.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-14,木,はい,-98,"1,802",6,5,1/164,1/5.69,3.18,+801,"5,179",23,14,1/140,1/5.90,3.09,-590,"1,038",2,1,1/346,1/5.70,2.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-13,水,いいえ,-395,"1,642",5,4,1/182,1/6.05,3.03,-595,"1,800",5,3,1/225,1/5.84,2.64,-100,"1,483",5,4,1/165,1/5.75,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-12,火,いいえ,+0,"3,477",13,10,1/151,1/5.91,3.12,-301,688,2,1,1/229,1/6.39,3.12,-301,471,1,0,1/471,1/5.80,3.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-11,月,はい,+0,"4,023",14,13,1/149,1/5.79,3.29,-305,"2,883",9,9,1/160,1/5.83,3.17,-305,"1,598",5,4,1/178,1/5.95,3.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-10,日,いいえ,-594,"1,077",3,0,1/359,1/6.12,2.57,-194,"1,642",5,5,1/164,1/5.78,3.26,-699,922,1,0,1/922,1/5.30,2.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-09,土,いいえ,"-1,195","2,777",6,9,1/185,1/6.32,3.02,-300,"2,019",7,5,1/168,1/6.12,3.03,-597,"1,217",2,4,1/203,1/6.03,3.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-08,金,いいえ,-191,"2,139",8,4,1/178,1/5.88,2.76,-395,287,0,0,-,1/6.94,3.15,-196,697,2,2,1/174,1/6.24,3.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-07,木,いいえ,-105,"2,090",8,4,1/174,1/5.82,2.82,-104,553,2,1,1/184,1/6.17,3.28,+402,"5,460",25,13,1/144,1/6.29,2.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-05,火,いいえ,+112,"2,831",13,5,1/157,1/6.18,2.70,+514,"1,178",7,2,1/131,1/5.83,3.29,-197,161,0,0,-,1/6.13,3.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-04,月,はい,-292,"3,921",13,11,1/163,1/5.77,2.87,-501,"1,580",4,5,1/176,1/6.16,3.23,+609,"6,081",23,19,1/145,1/5.64,3.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-03,日,いいえ,-499,"1,976",5,6,1/180,1/5.82,3.12,-596,"3,358",9,11,1/168,1/5.75,3.11,+914,"2,294",12,9,1/109,1/6.20,4.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-02,土,いいえ,-903,"3,426",9,11,1/171,1/6.04,3.04,-502,"1,077",3,1,1/269,1/6.14,2.78,-499,"2,819",10,6,1/176,1/6.18,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-01,金,はい,-198,"2,539",9,7,1/159,1/6.00,3.10,+205,937,4,3,1/134,1/5.66,3.52,+712,"2,098",10,6,1/131,1/5.53,3.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-31,木,はい,-795,"1,049",1,3,1/262,1/6.32,3.08,-700,579,0,1,1/579,1/6.94,3.05,-191,849,3,2,1/170,1/6.52,3.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-30,水,いいえ,+0,"1,920",7,7,1/137,1/6.15,3.61,-304,269,0,0,-,1/5.72,3.17,-193,173,0,0,-,1/5.66,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-29,火,いいえ,+207,"1,391",5,6,1/126,1/5.72,3.78,-193,581,1,1,1/291,1/4.95,3.15,-302,403,0,1,1/403,1/5.19,3.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-28,月,いいえ,-305,905,2,3,1/181,1/5.97,3.34,-105,99,0,0,-,1/5.45,3.38,-101,768,1,5,1/128,1/5.49,3.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-27,日,いいえ,-498,"4,680",16,15,1/151,1/6.19,3.21,+0,"1,383",6,2,1/173,1/5.94,2.95,-790,"3,419",9,10,1/180,1/5.78,2.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-26,土,いいえ,-190,"1,329",5,2,1/190,1/5.99,2.92,-502,"1,120",3,3,1/187,1/6.79,3.19,+507,"4,923",22,13,1/141,1/6.14,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-25,金,いいえ,-902,"1,792",4,3,1/256,1/6.03,2.57,-199,294,0,0,-,1/4.32,3.14,+403,"1,436",7,3,1/144,1/5.57,3.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-24,木,はい,+206,"3,815",16,11,1/141,1/6.17,3.25,-795,986,1,4,1/197,1/7.36,3.38,-897,"3,048",9,7,1/191,1/6.14,2.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-23,水,いいえ,-99,"1,582",6,4,1/158,1/6.10,3.19,-193,"3,188",10,11,1/152,1/5.79,3.38,-499,734,2,0,1/367,1/6.70,2.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-22,火,いいえ,+202,"1,657",7,5,1/138,1/5.95,3.45,+115,704,2,3,1/141,1/5.00,3.58,+109,619,2,3,1/124,1/5.47,3.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-21,月,はい,-698,"1,836",6,1,1/262,1/6.10,2.30,+107,"4,756",20,13,1/144,1/6.27,3.05,+0,"1,784",8,1,1/198,1/5.73,2.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-20,日,いいえ,-195,"1,760",7,2,1/196,1/5.91,2.64,-397,"1,141",4,2,1/190,1/6.84,3.03,-991,"2,112",3,9,1/176,1/6.12,3.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-19,土,いいえ,"-1,303","1,519",1,4,1/304,1/6.35,2.81,-197,"2,085",8,5,1/160,1/6.25,3.05,-297,412,0,0,-,1/4.42,3.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-18,金,いいえ,-191,"1,451",5,2,1/207,1/5.57,2.78,+403,"3,930",14,17,1/127,1/5.89,4.19,+311,"1,724",9,3,1/144,1/6.22,3.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-17,木,いいえ,-99,891,4,1,1/178,1/6.50,3.08,-301,417,0,2,1/209,1/5.95,3.48,+605,"1,669",8,7,1/111,1/5.99,4.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-16,水,いいえ,-794,"2,228",6,3,1/248,1/5.73,2.34,-504,716,1,0,1/716,1/5.37,2.76,-393,788,1,2,1/263,1/5.40,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-15,火,いいえ,-598,584,0,1,1/584,1/5.97,3.04,-199,312,1,0,1/312,1/7.14,3.22,-298,647,2,1,1/216,1/6.80,3.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-14,月,はい,"+1,010","2,849",14,10,1/119,1/5.87,3.93,+0,"2,039",9,2,1/185,1/5.82,2.52,-595,860,1,1,1/430,1/5.53,2.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-13,日,いいえ,-101,910,4,1,1/182,1/6.37,3.06,-696,"3,959",12,13,1/158,1/6.12,3.17,-196,"3,089",10,12,1/140,1/6.10,3.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-12,土,いいえ,+203,"2,520",11,5,1/158,1/5.84,2.85,-702,"2,065",6,4,1/207,1/6.14,2.67,-198,"3,361",14,7,1/160,1/6.31,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-11,金,はい,"-2,085","4,692",12,9,1/223,1/6.23,1.93,-698,"3,582",11,9,1/179,1/5.91,2.64,-990,"4,337",12,15,1/161,1/6.14,3.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-10,木,いいえ,-395,"2,666",8,9,1/157,1/6.00,3.31,-791,"1,504",3,2,1/301,1/5.73,2.57,-593,"2,366",7,6,1/182,1/6.05,2.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-09,水,いいえ,+109,"1,412",6,2,1/177,1/5.52,2.92,"-1,085","3,663",9,12,1/174,1/6.03,3.01,-595,"1,070",1,4,1/214,1/5.76,3.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-08,火,いいえ,+301,"4,745",20,12,1/148,1/5.99,2.84,-497,"1,634",4,4,1/204,1/5.71,2.95,"-1,091","1,332",2,1,1/444,1/6.27,2.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-06,日,いいえ,-302,"4,370",17,8,1/175,1/5.93,2.21,-104,"1,461",6,3,1/162,1/6.29,3.10,+204,"5,120",21,13,1/151,1/5.98,2.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-05,土,いいえ,+0,"2,449",10,5,1/163,1/5.92,2.83,-397,"5,767",18,20,1/152,1/5.82,3.32,+500,"3,911",19,9,1/140,1/6.31,2.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-04,金,はい,+195,"2,642",12,4,1/165,1/5.86,2.59,-702,907,0,4,1/227,1/6.02,3.38,"+1,209","4,466",24,10,1/131,1/6.19,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
