日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2025-11-28,金,いいえ,-,-,-,-,-,+403,"1,489",8,2,1/149,-392,"1,712",4,7,1/156,-191,608,2,1,1/203,+311,796,5,1,1/133,-504,"1,649",5,3,1/206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-27,木,はい,-,-,-,-,-,-194,401,1,0,1/401,+510,"1,114",7,1,1/139,-790,"1,665",3,4,1/238,-501,"1,264",2,4,1/211,"-1,197","1,878",3,3,1/313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-26,水,いいえ,-,-,-,-,-,-899,"5,992",18,15,1/182,-304,898,2,3,1/180,-100,"2,304",10,3,1/177,-102,"1,644",7,3,1/164,-892,"1,929",4,5,1/214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-25,火,いいえ,-,-,-,-,-,+110,817,3,3,1/136,-102,292,1,0,1/292,-194,308,1,0,1/308,"+1,502","4,340",21,15,1/121,-100,"1,243",5,1,1/207,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-24,月,いいえ,-,-,-,-,-,-502,"1,734",4,6,1/173,"-1,089","3,323",6,13,1/175,"+1,396","5,128",24,14,1/135,-792,"1,805",5,1,1/301,-198,"5,193",20,9,1/179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-23,日,いいえ,-,-,-,-,-,-594,"1,427",4,1,1/285,+203,"3,828",16,11,1/142,-303,"2,457",8,7,1/164,-593,987,3,0,1/329,"+2,217","6,146",29,22,1/121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-22,土,いいえ,-,-,-,-,-,+905,"4,101",17,16,1/124,+316,"2,158",10,5,1/144,+712,"1,213",6,5,1/110,"+1,098","4,237",19,12,1/137,+207,"1,905",9,5,1/136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-21,金,はい,-,-,-,-,-,-104,"2,344",9,6,1/156,-300,"1,347",4,2,1/225,"-1,305","5,628",15,18,1/171,-198,"1,921",6,6,1/160,+515,"4,148",20,8,1/148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-20,木,いいえ,-,-,-,-,-,-302,"2,249",8,5,1/173,-191,534,2,0,1/267,+801,"3,324",16,9,1/133,-301,414,1,0,1/414,+308,"3,111",13,9,1/141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-19,水,いいえ,-,-,-,-,-,"-2,093","3,358",5,12,1/198,+412,"3,778",17,7,1/157,-103,"1,176",5,1,1/196,-191,"1,224",4,3,1/175,-191,"3,375",12,10,1/153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-18,火,いいえ,-,-,-,-,-,-195,542,1,2,1/181,-297,280,0,0,-,-105,468,1,2,1/156,+401,"4,687",20,10,1/156,+0,977,3,3,1/163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-17,月,はい,-,-,-,-,-,+204,"2,235",6,10,1/140,"+1,310","1,545",11,5,1/97,-505,496,0,1,1/496,-504,"2,189",6,7,1/168,-101,"3,281",13,6,1/173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-16,日,いいえ,-,-,-,-,-,-299,784,2,1,1/261,+309,"2,730",12,10,1/124,+416,"3,457",15,12,1/128,-296,532,0,2,1/266,-596,"5,404",19,13,1/169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-15,土,いいえ,-,-,-,-,-,-298,683,2,1,1/228,-193,"2,938",11,4,1/196,-397,817,1,2,1/272,+111,"2,639",11,6,1/155,+195,"3,417",13,12,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-14,金,いいえ,-,-,-,-,-,-197,"5,235",21,12,1/159,-96,530,1,1,1/265,"+1,095","4,580",20,16,1/127,-304,824,2,2,1/206,-700,"1,604",4,2,1/267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-13,木,いいえ,-,-,-,-,-,+0,"1,171",3,6,1/130,-399,288,0,0,-,-500,415,0,1,1/415,-702,"1,552",4,4,1/194,+310,"2,110",12,1,1/162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-12,水,いいえ,-,-,-,-,-,-192,"1,948",7,4,1/177,"+1,209","2,857",16,9,1/114,+511,"2,778",13,5,1/154,"-1,598","2,328",4,3,1/333,+516,"2,946",13,5,1/164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-11,火,はい,-,-,-,-,-,-501,"1,980",6,4,1/198,-101,716,2,0,1/358,"+1,612","5,868",30,13,1/136,+507,"3,327",16,10,1/128,-797,"4,132",14,9,1/180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-10,月,いいえ,-,-,-,-,-,+202,"1,817",8,5,1/140,-599,"1,224",3,2,1/245,-391,"1,082",3,2,1/216,-696,671,0,0,-,-192,"1,506",5,5,1/151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-09,日,いいえ,-,-,-,-,-,+515,"1,315",7,3,1/132,-700,715,0,2,1/358,+311,"3,883",14,13,1/144,-99,689,3,0,1/230,-394,"4,010",13,12,1/160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-08,土,いいえ,-,-,-,-,-,+712,"4,706",23,11,1/138,+407,"1,776",10,4,1/127,-398,"1,987",5,6,1/181,-502,882,2,0,1/441,-599,"3,909",11,13,1/163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-07,金,はい,-,-,-,-,-,-790,"1,981",5,6,1/180,"+2,407","6,060",33,18,1/119,-397,"1,441",4,6,1/144,-696,"1,088",2,1,1/363,"-1,003","5,799",18,18,1/161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-06,木,いいえ,-,-,-,-,-,-590,"1,558",3,5,1/195,-798,"1,411",1,7,1/176,"+2,499","5,770",30,18,1/120,-105,"1,384",5,4,1/154,-698,"2,466",6,7,1/190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-04,火,いいえ,-790,"1,163",2,1,1/388,-193,"2,744",10,6,1/172,-900,"3,226",8,9,1/190,-592,687,0,1,1/687,-399,"5,824",21,18,1/149,-597,"2,412",6,10,1/151,-703,"1,570",3,4,1/224,+114,"5,370",18,23,1/131,+116,"1,863",9,2,1/169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-03,月,いいえ,-999,"1,251",2,1,1/417,+0,"1,512",7,2,1/168,"+1,701","3,960",21,12,1/120,"+1,611","1,433",13,2,1/96,+111,"2,614",10,9,1/138,-502,"1,278",2,5,1/183,-702,"1,500",2,6,1/188,"-1,002","5,097",16,12,1/182,"+1,209","7,167",34,17,1/141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-02,日,いいえ,-303,"3,764",11,13,1/157,-792,"3,683",11,12,1/160,-304,"1,160",4,1,1/232,"+1,206","6,193",27,21,1/129,-198,"1,106",3,4,1/158,-799,"2,191",3,8,1/199,-497,"1,991",6,6,1/166,-903,"2,335",5,6,1/212,+916,"4,373",20,12,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-01,土,はい,"-1,298","2,683",5,8,1/206,"-1,195","2,276",5,4,1/253,-498,"2,354",6,8,1/168,-997,"2,890",9,4,1/222,-505,"3,437",10,11,1/164,"+1,610","5,259",26,15,1/128,-300,"1,756",5,6,1/160,"-1,085","2,889",8,4,1/241,-104,"4,859",18,17,1/139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-31,金,はい,+610,"2,806",12,10,1/128,+203,286,2,1,1/95,+112,785,4,1,1/157,-399,"1,927",6,4,1/193,-192,"1,077",3,2,1/215,-999,"5,535",17,15,1/173,-190,"1,565",5,4,1/174,"-1,090","1,479",1,3,1/370,+210,"2,260",11,4,1/151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-30,木,いいえ,+0,"1,684",7,5,1/140,+401,"2,310",11,6,1/136,+0,983,4,1,1/197,-792,"1,102",1,4,1/220,-303,510,0,2,1/255,-394,"3,936",12,14,1/151,-197,616,2,0,1/308,+314,"2,153",9,9,1/120,-794,"2,374",6,6,1/198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-29,水,いいえ,-499,"2,186",6,4,1/219,-195,"3,151",12,7,1/166,"-1,493","2,108",3,6,1/234,-298,"1,220",3,5,1/153,-397,"1,345",4,1,1/269,-500,619,0,2,1/310,-99,767,3,1,1/192,-298,"1,693",4,8,1/141,-396,787,2,1,1/262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-28,火,いいえ,-104,"1,299",4,3,1/186,-393,"3,316",11,11,1/151,-302,737,2,1,1/246,-505,"3,696",10,10,1/185,-500,669,1,0,1/669,"-1,192","2,095",3,5,1/262,+501,"4,602",20,12,1/144,-193,773,2,1,1/258,"-1,091","1,139",0,4,1/285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-27,月,はい,-301,467,1,0,1/467,+899,"4,164",18,13,1/134,-103,292,1,0,1/292,-300,653,1,2,1/218,-195,624,1,2,1/208,-302,"1,189",3,4,1/170,"+1,299","6,496",29,24,1/123,+110,360,2,0,1/180,-502,"2,427",9,3,1/202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-26,日,いいえ,-399,"1,161",3,3,1/194,-698,"1,178",1,5,1/196,-590,"2,877",7,11,1/160,+410,"4,075",18,8,1/157,-700,"1,309",1,4,1/262,-701,"2,638",9,4,1/203,-299,"3,937",16,6,1/179,-991,"2,181",5,4,1/242,-792,"3,541",11,9,1/177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-25,土,いいえ,-398,942,3,1,1/236,-99,"1,946",8,3,1/177,-396,"2,993",9,8,1/176,+514,"2,054",9,7,1/128,"+1,807","6,192",27,26,1/117,+709,"5,645",25,14,1/145,-599,"2,491",7,8,1/166,-797,"2,429",6,7,1/187,-793,"3,406",12,3,1/227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-24,金,いいえ,-98,338,1,1,1/169,+509,"1,029",7,0,1/147,-396,"1,261",4,0,1/315,-191,932,3,3,1/155,+312,"6,807",27,18,1/151,-99,300,1,0,1/300,-499,822,1,2,1/274,-499,"1,098",2,2,1/275,-897,"2,297",5,5,1/230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-23,木,いいえ,+114,"1,229",5,3,1/154,-191,906,2,1,1/302,+0,"1,635",5,5,1/164,-197,"2,551",8,8,1/159,-393,"1,873",6,4,1/187,-393,"2,030",5,8,1/156,-100,592,2,0,1/296,-199,"2,987",11,5,1/187,-797,"2,106",5,6,1/191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-22,水,いいえ,-300,"1,124",4,2,1/187,+111,"3,542",16,5,1/169,+0,"3,018",12,11,1/131,-301,916,3,1,1/229,-595,"2,214",5,6,1/201,-504,"1,659",6,2,1/207,-305,"1,195",3,2,1/239,-591,"1,425",3,3,1/238,-599,"2,191",7,4,1/199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-21,火,はい,-199,370,1,0,1/370,-401,"4,740",17,12,1/163,-197,917,2,4,1/153,+306,"3,218",15,5,1/161,-96,758,3,1,1/190,-594,"2,693",8,7,1/180,-190,"5,167",20,11,1/167,-298,670,2,1,1/223,-197,"3,878",14,12,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-20,月,いいえ,"+1,309","2,807",16,9,1/112,+408,"1,557",9,3,1/130,+116,"2,732",10,8,1/152,-598,748,0,2,1/374,-96,741,2,2,1/185,-96,"1,393",6,1,1/199,-392,509,1,0,1/509,-198,"1,536",5,3,1/192,-795,"1,231",1,4,1/246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-19,日,いいえ,-399,"2,563",8,6,1/183,-595,"1,326",3,4,1/189,"+1,601","4,662",25,11,1/130,-303,822,2,1,1/274,-999,"1,146",1,2,1/382,-798,"1,754",5,2,1/251,-297,"1,718",5,6,1/156,+0,"2,482",11,5,1/155,-591,"2,532",8,6,1/181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-18,土,いいえ,+0,"1,237",5,2,1/177,"+2,503","5,530",32,16,1/115,+113,"3,482",12,10,1/158,-198,"3,391",13,6,1/178,"+1,313","2,910",15,12,1/108,+709,"2,926",14,9,1/127,+601,"4,725",17,19,1/131,-792,846,1,1,1/423,-705,"3,099",8,12,1/155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-17,金,はい,-398,902,3,0,1/301,-499,400,0,0,-,-297,"1,610",4,6,1/161,-103,435,1,0,1/435,+808,"2,736",13,9,1/124,+0,"1,376",5,4,1/153,+0,706,2,4,1/118,+803,"2,863",12,12,1/119,-399,"2,233",8,4,1/186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-16,木,いいえ,+0,"2,590",12,4,1/162,+205,"2,503",10,6,1/156,+508,"1,261",8,1,1/140,-98,"1,467",4,6,1/147,"+1,606","5,368",28,15,1/125,-303,844,2,1,1/281,-191,"1,309",5,1,1/218,-198,"1,532",6,4,1/153,-699,"3,321",10,10,1/166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-15,水,いいえ,-96,"1,467",6,1,1/210,"-1,391","1,901",2,4,1/317,-504,"2,342",9,2,1/213,-198,246,0,0,-,-101,"2,420",7,9,1/151,+202,"1,324",6,3,1/147,-298,683,2,0,1/342,+203,628,4,0,1/157,-696,"1,063",2,1,1/354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-14,火,いいえ,-303,753,2,2,1/188,+0,"1,134",5,2,1/162,-300,554,1,1,1/277,-101,311,1,0,1/311,+605,"1,015",7,0,1/145,"+1,203","6,412",26,26,1/123,"-1,492","3,475",5,14,1/183,+510,"5,060",19,22,1/123,-990,"2,994",6,12,1/166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-13,月,いいえ,+206,"2,336",9,7,1/146,-702,"1,451",2,6,1/181,-394,"1,277",3,4,1/182,"+2,312","4,658",25,17,1/111,+0,906,3,2,1/181,-790,"4,120",14,8,1/187,-496,"2,693",11,3,1/192,-501,960,2,1,1/320,"+2,220","7,322",35,23,1/126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-12,日,いいえ,-304,"3,981",12,17,1/137,-102,901,3,2,1/180,+0,"1,822",7,4,1/166,-597,"1,920",5,4,1/213,-196,"2,004",6,8,1/143,+108,"2,290",9,6,1/153,-101,"4,111",13,16,1/142,-190,"2,130",8,5,1/164,-503,"2,271",8,3,1/206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-11,土,はい,-597,"1,228",3,1,1/307,-499,"2,460",8,6,1/176,-992,"3,248",10,6,1/203,-700,"3,869",11,12,1/168,"+2,614","5,336",30,17,1/114,-399,"1,419",6,1,1/203,-996,"3,039",9,3,1/253,"+1,400","3,618",20,8,1/129,-899,851,0,2,1/426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-10,金,いいえ,+708,"1,749",10,6,1/109,+307,"4,448",19,11,1/148,-296,"1,511",5,3,1/189,-190,351,1,0,1/351,+909,"2,610",14,8,1/119,-999,"3,244",10,6,1/203,-504,734,1,0,1/734,-96,"1,105",4,2,1/184,-992,"6,595",21,18,1/169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-09,木,いいえ,+604,"2,693",11,9,1/135,"+1,009","4,177",21,12,1/127,+907,"5,105",26,9,1/146,-105,557,2,0,1/279,"-1,499","3,358",5,11,1/210,+0,"1,170",4,6,1/117,-504,"1,956",7,3,1/196,-191,"1,110",4,1,1/222,"+1,002","3,728",17,8,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-08,水,いいえ,+0,57,0,0,-,"+3,091","8,511",40,32,1/118,+0,44,0,0,-,-190,"1,001",3,2,1/200,+201,"5,641",21,18,1/145,-198,861,2,3,1/172,+0,"4,997",19,13,1/156,-297,"3,729",12,12,1/155,-100,"2,213",7,9,1/138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-07,火,はい,-393,"2,428",9,3,1/202,-393,"4,325",13,15,1/154,-593,"1,019",2,1,1/340,"+1,913","4,100",24,8,1/128,-194,"1,746",7,2,1/194,"+3,592","9,160",43,33,1/121,-791,"2,192",5,5,1/219,-195,"2,795",10,7,1/164,"+1,612","6,340",29,19,1/132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-05,日,いいえ,"+2,006","9,139",38,35,1/125,-197,"1,121",4,0,1/280,"+1,704","3,934",22,10,1/123,"+1,514","3,885",21,11,1/121,-97,"1,678",6,3,1/186,+403,"3,911",17,9,1/150,+902,"2,334",13,4,1/137,-99,"4,453",18,9,1/165,-403,"3,662",12,9,1/174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-04,土,いいえ,"-1,297","5,612",16,15,1/181,+0,"3,072",11,9,1/154,+507,"5,062",19,18,1/137,"+1,013","7,830",29,30,1/133,-397,"3,545",12,8,1/177,-599,"6,957",23,22,1/155,"-1,197","1,597",2,3,1/319,+910,"4,981",22,11,1/151,"-1,194","5,833",15,23,1/154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-03,金,いいえ,+108,"4,003",16,8,1/167,-104,678,2,1,1/226,-391,"1,038",3,1,1/260,"+1,210","4,348",20,10,1/145,-397,"1,552",5,2,1/222,-392,"4,052",16,6,1/184,+916,"2,672",13,10,1/116,-97,"1,726",4,8,1/144,"-1,084","3,543",8,12,1/177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-02,木,いいえ,-498,"4,447",14,15,1/153,-191,"1,055",3,3,1/176,"-1,492","1,705",0,4,1/426,-596,"3,245",10,10,1/162,+209,"1,813",8,4,1/151,+201,"4,789",18,14,1/150,-102,326,1,0,1/326,"+2,619","7,828",36,23,1/133,+0,250,1,0,1/250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-01,水,はい,-704,"6,232",17,24,1/152,"+3,215","8,514",43,31,1/115,-300,694,1,1,1/347,-892,"1,983",5,1,1/331,"+2,716","8,654",39,30,1/125,-496,903,2,0,1/452,"+3,595","7,639",41,28,1/111,"-1,689","2,130",2,4,1/355,-997,"4,304",11,12,1/187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-30,火,いいえ,+208,"4,748",17,16,1/144,-191,676,2,3,1/135,"+3,297","6,001",31,28,1/102,-503,792,2,0,1/396,+203,"2,448",10,7,1/144,"+1,510","6,914",33,21,1/128,-596,"2,453",7,5,1/204,-798,"2,756",5,12,1/162,"+2,103","7,895",32,35,1/118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-29,月,いいえ,+512,919,5,2,1/131,+0,44,0,0,-,"+1,008","2,546",14,7,1/121,-99,446,1,1,1/223,+112,783,4,0,1/196,+210,"1,211",5,5,1/121,+0,399,1,1,1/200,+0,"1,148",4,3,1/164,-104,578,1,2,1/193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-28,日,いいえ,-299,506,1,0,1/506,+203,"4,533",17,12,1/156,+0,"1,115",4,2,1/186,+116,"4,145",15,14,1/143,-299,"1,658",6,3,1/184,-392,919,2,0,1/460,-703,"1,039",1,3,1/260,+408,"1,093",6,3,1/121,+714,"4,665",19,15,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-27,土,はい,-296,307,0,0,-,+200,"5,301",21,14,1/151,"-1,089","2,999",8,9,1/176,-296,780,2,1,1/260,+498,"2,942",14,6,1/147,-195,"2,096",6,7,1/161,+110,"1,428",4,8,1/119,-896,"1,176",0,4,1/294,-302,"3,775",13,11,1/157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-26,金,いいえ,+116,"1,785",6,7,1/137,"-1,492","4,053",5,20,1/162,-397,"1,883",6,5,1/171,+310,"2,886",13,5,1/160,-397,818,1,3,1/205,-990,"3,268",10,3,1/251,-297,505,1,1,1/253,-500,"2,565",8,9,1/151,-101,"2,825",12,7,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-25,木,いいえ,-190,490,1,0,1/490,-196,"1,411",5,2,1/202,-301,799,3,0,1/266,"-1,001","2,821",5,13,1/157,-503,"3,253",12,3,1/217,-102,436,1,1,1/218,+501,"2,430",11,8,1/128,+113,531,2,2,1/133,-305,989,2,3,1/198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-24,水,いいえ,+204,"1,141",4,5,1/127,-301,416,0,0,-,+0,"1,577",5,7,1/131,-599,589,0,0,-,+402,"1,778",7,6,1/137,+604,"2,101",12,2,1/150,-191,610,2,0,1/305,-192,831,3,0,1/277,-500,"3,340",10,14,1/139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-23,火,いいえ,-399,"1,233",3,4,1/176,-698,931,2,0,1/466,-391,"1,717",5,4,1/191,+308,"2,540",11,6,1/149,+0,"1,253",5,3,1/157,+407,"2,476",12,4,1/155,-505,"2,310",7,5,1/193,-190,"3,681",13,11,1/153,"-2,209","3,845",6,7,1/296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-22,月,いいえ,"+1,608","4,269",21,14,1/122,+804,"1,199",9,2,1/109,+0,285,1,1,1/143,"+1,822","3,815",20,13,1/116,-305,624,1,3,1/156,+113,"1,046",5,2,1/149,-191,578,1,1,1/289,+208,"1,430",6,3,1/159,-598,"1,607",4,5,1/179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-21,日,はい,+201,"1,064",5,1,1/177,+312,"1,957",8,6,1/140,+316,"4,854",19,15,1/143,-394,"1,019",3,0,1/340,+916,"3,558",15,10,1/142,"-1,296","5,004",9,22,1/161,+714,"1,514",9,2,1/138,+713,"3,978",19,8,1/147,"+1,910","3,504",21,7,1/125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-20,土,いいえ,-794,"1,934",4,3,1/276,+0,"2,909",12,5,1/171,-699,703,1,0,1/703,-599,"1,336",3,2,1/267,-298,"1,990",6,6,1/166,+0,"4,139",17,10,1/153,-396,"2,674",8,7,1/178,-993,"1,284",2,2,1/321,-197,"3,326",12,8,1/166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-19,金,いいえ,-192,"1,150",4,2,1/192,-103,"1,211",4,2,1/202,-97,666,3,1,1/167,"+2,312","6,759",36,22,1/117,-197,"1,144",3,3,1/191,-100,695,2,1,1/232,-701,919,1,1,1/460,+0,"1,290",5,2,1/184,-198,"1,461",5,2,1/209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
