日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-28,火,いいえ,"+2,790","2,841",23,5,1/101,1/6.14,2.83,-360,302,0,0,-,1/5.96,3.14,-770,"1,935",5,3,1/242,1/6.00,2.52,-500,473,0,1,1/473,1/6.29,3.27,+860,"3,398",16,8,1/142,1/5.83,2.89,-150,568,2,1,1/189,1/6.61,3.24,-190,"1,094",4,2,1/182,1/6.35,3.05,+190,"1,637",7,4,1/149,1/5.99,3.20
2026-04-27,月,いいえ,-360,393,0,1,1/393,1/5.83,3.37,+250,"2,012",10,4,1/144,1/6.60,2.91,-290,416,0,2,1/208,1/5.83,3.68,+460,"3,169",14,9,1/138,1/6.20,3.35,-290,263,0,0,-,1/5.59,3.18,-460,620,1,1,1/310,1/6.51,3.14,-10,"2,198",8,3,1/200,1/5.41,2.39,"+2,520","5,266",28,19,1/112,1/6.05,4.45
2026-04-26,日,いいえ,-650,"1,853",5,4,1/206,1/6.19,2.89,-600,"5,381",20,10,1/179,1/6.13,1.99,-550,"3,265",10,9,1/172,1/6.03,3.10,"-1,170","1,652",2,2,1/413,1/5.70,2.42,-670,708,1,0,1/708,1/6.50,2.72,+720,"5,035",22,14,1/140,1/6.13,3.19,+300,"4,227",18,10,1/151,1/6.15,2.73,+990,"5,323",24,16,1/133,1/6.19,3.53
2026-04-25,土,いいえ,"+1,560","3,604",19,12,1/116,1/6.08,3.96,+180,"5,977",23,19,1/142,1/6.22,3.68,-630,"1,548",3,5,1/194,1/6.03,3.47,-850,"2,432",7,3,1/243,1/5.98,2.19,+130,"3,068",11,9,1/153,1/5.76,3.35,-710,"3,570",10,8,1/198,1/5.67,2.54,-710,"2,129",5,4,1/237,1/5.61,2.62,"-1,000","3,996",11,9,1/200,1/5.83,2.47
2026-04-24,金,はい,+490,"4,503",17,15,1/141,1/5.84,3.82,-390,"1,571",5,3,1/196,1/6.16,2.88,+820,"4,930",22,10,1/154,1/5.81,2.29,-830,676,0,1,1/676,1/6.88,3.04,"+2,800","6,645",31,29,1/111,1/5.90,5.14,-30,"1,451",5,4,1/161,1/5.81,3.33,-550,"1,275",4,2,1/213,1/6.90,2.85,+640,"6,894",28,20,1/144,1/6.05,3.25
2026-04-23,木,いいえ,-960,829,0,1,1/829,1/6.35,2.87,-160,316,1,0,1/316,1/6.51,3.16,-200,205,0,0,-,1/5.13,3.25,-100,125,0,0,-,1/4.61,3.35,-180,140,0,0,-,1/6.41,3.33,+50,"1,958",7,6,1/151,1/5.88,3.48,-110,349,1,0,1/349,1/5.35,3.12,+220,988,4,3,1/141,1/5.55,3.50
2026-04-22,水,いいえ,-180,209,0,1,1/209,1/6.61,3.59,+300,"1,102",6,1,1/157,1/5.95,2.80,+190,259,2,0,1/130,1/6.07,3.27,+80,"1,104",6,1,1/158,1/6.98,2.80,+320,885,5,0,1/177,1/5.45,2.69,-570,824,1,1,1/412,1/5.64,2.91,+80,829,4,0,1/207,1/5.67,2.71,+340,"2,635",10,10,1/132,1/5.97,4.06
2026-04-21,火,いいえ,-190,164,0,0,-,1/5.82,3.30,-60,"3,597",11,13,1/150,1/5.73,3.96,-330,297,0,0,-,1/5.62,3.14,-510,643,1,1,1/322,1/6.68,3.11,-820,"1,701",4,3,1/243,1/6.21,2.71,+150,"1,676",7,4,1/152,1/5.98,3.16,-330,816,2,1,1/272,1/5.75,2.96,-580,"1,257",2,4,1/210,1/5.87,3.43
2026-04-19,日,いいえ,"+1,260","4,005",21,7,1/143,1/5.90,2.28,"-1,190","1,463",2,2,1/366,1/6.44,2.59,-750,"5,630",19,14,1/171,1/6.11,2.57,"-1,660","5,098",12,16,1/182,1/6.10,3.33,"-1,400","4,547",11,13,1/189,1/5.97,3.01,-640,"3,516",11,6,1/207,1/5.73,2.16,-410,"4,718",19,9,1/169,1/6.42,2.16,-300,"6,309",22,17,1/162,1/5.94,2.82
2026-04-18,土,いいえ,"-1,500","5,126",14,16,1/171,1/6.40,3.38,-460,"4,867",19,11,1/162,1/6.48,2.47,-260,"1,721",6,3,1/191,1/6.00,2.76,+440,"6,866",25,24,1/140,1/5.96,4.16,-200,"2,646",10,6,1/165,1/6.22,2.85,+260,"2,911",12,7,1/153,1/5.92,2.95,-340,"3,693",12,12,1/154,1/6.12,3.62,+840,"7,176",33,17,1/144,1/6.34,2.47
