日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-11,土,いいえ,-961,"2,021",3,6,1/225,2.96,-338,"2,408",9,4,1/185,2.69,+609,"4,057",19,13,1/127,4.01,"+1,579","3,537",18,15,1/107,4.77
2026-04-10,金,はい,-182,"4,588",15,17,1/143,3.87,+533,"4,669",19,15,1/137,3.77,+136,"1,923",8,5,1/148,3.35,-487,"5,224",18,14,1/163,2.89
2026-04-09,木,いいえ,+405,"3,284",14,11,1/131,3.87,-375,"3,832",14,11,1/153,3.26,-275,449,1,1,1/225,3.32,-476,"3,490",12,9,1/166,2.98
2026-04-08,水,いいえ,-297,"4,256",15,10,1/170,2.72,-484,"1,813",5,4,1/201,2.92,-323,"1,485",5,3,1/186,3.04,-892,"1,270",2,2,1/318,2.75
2026-04-06,月,いいえ,-398,"3,960",11,16,1/147,3.90,-891,"5,632",18,17,1/161,3.12,"+2,241","4,334",24,18,1/103,5.04,-974,"2,101",4,5,1/233,2.76
2026-04-05,日,いいえ,-537,"2,302",9,4,1/177,2.80,-266,"1,920",7,3,1/192,2.78,-69,"2,690",10,4,1/192,2.52,"+2,004","6,458",32,22,1/120,4.62
2026-04-04,土,いいえ,"+1,113","4,753",24,10,1/140,3.05,+786,"3,274",15,9,1/136,3.53,+239,"1,669",8,3,1/152,3.16,-88,"2,351",9,6,1/157,3.21
2026-04-03,金,いいえ,-166,"5,512",19,17,1/153,3.33,-190,539,1,1,1/270,3.21,"+2,031","4,071",23,15,1/107,4.77,-206,"1,127",5,1,1/188,2.96
2026-04-02,木,いいえ,-205,"5,217",18,21,1/134,4.29,-206,631,1,2,1/210,3.35,-479,"3,395",11,10,1/162,3.20,-489,"1,290",4,1,1/258,2.69
2026-04-01,水,いいえ,-964,"1,559",2,5,1/223,3.12,"+1,136","4,306",22,11,1/130,3.59,-338,"1,927",6,3,1/214,2.68,"+1,171","3,399",18,7,1/136,3.22
2026-03-31,火,いいえ,-233,898,4,0,1/225,2.87,-661,"1,124",3,0,1/375,2.55,"-1,023","2,547",7,6,1/196,2.81,-88,"1,407",5,3,1/176,3.13
2026-03-30,月,はい,-396,"1,239",3,2,1/248,2.87,-493,"2,285",6,8,1/163,3.44,-390,725,2,1,1/242,3.10,-300,639,2,0,1/320,2.96
2026-03-29,日,いいえ,"+1,233","5,082",25,12,1/137,3.26,-531,"1,980",5,5,1/198,2.97,-275,"2,127",9,3,1/177,2.75,"-1,197",999,0,2,1/500,2.84
2026-03-28,土,いいえ,"-1,280","2,740",6,6,1/228,2.55,+112,"1,301",5,6,1/118,3.99,+977,"2,960",15,10,1/118,4.13,-959,"1,793",3,6,1/199,3.20
2026-03-27,金,いいえ,-461,"1,006",2,1,1/335,2.79,-632,"2,587",8,4,1/216,2.45,-665,"1,093",1,3,1/273,3.06,-626,"1,372",4,2,1/229,2.83
2026-03-26,木,いいえ,-599,"2,458",9,3,1/205,2.45,-77,"3,618",12,15,1/134,4.14,-642,"1,293",3,3,1/216,3.05,"-1,111","2,161",5,2,1/309,2.23
2026-03-25,水,いいえ,"+1,910","6,484",31,23,1/120,4.67,-610,739,0,2,1/370,3.12,-89,"1,813",7,6,1/139,3.62,"+2,771","7,819",39,28,1/117,4.95
2026-03-24,火,いいえ,-637,"2,036",6,4,1/204,2.79,-785,"1,943",5,2,1/278,2.39,"-1,640","3,307",7,7,1/236,2.36,-527,"1,968",5,7,1/164,3.45
2026-03-23,月,いいえ,-843,"5,350",19,9,1/191,2.03,-155,"1,523",6,3,1/169,3.11,-185,"3,505",13,10,1/152,3.29,-418,579,1,1,1/290,3.16
2026-03-22,日,いいえ,+174,"4,946",18,16,1/145,3.59,+711,"5,913",27,10,1/160,2.25,+454,"3,840",17,10,1/142,3.34,"+2,851","6,774",40,17,1/119,4.18
2026-03-21,土,いいえ,+571,"5,299",25,12,1/143,3.02,-290,"1,946",8,3,1/177,2.84,"+4,593","7,157",48,17,1/110,4.66,+397,"4,127",16,13,1/142,3.60
2026-03-20,金,はい,+516,"6,565",26,19,1/146,3.36,-399,"5,508",19,12,1/178,2.36,-539,"3,649",14,4,1/203,2.08,"-1,175","1,981",3,6,1/220,3.00
2026-03-19,木,いいえ,+422,"3,016",13,10,1/131,3.84,-762,646,0,1,1/646,2.98,"+1,295","4,252",20,18,1/112,4.80,+477,"4,515",20,8,1/161,2.49
2026-03-18,水,いいえ,-644,"4,677",16,9,1/187,2.28,"+2,385","4,478",25,15,1/112,4.59,-551,881,1,3,1/220,3.30,-346,"1,824",6,6,1/152,3.49
2026-03-17,火,いいえ,"+1,648","5,745",31,13,1/131,3.40,-133,"5,193",17,20,1/140,4.05,"+1,273","2,210",13,6,1/116,3.84,-857,"1,041",2,3,1/208,3.23
2026-03-16,月,いいえ,"-1,070","1,799",3,5,1/225,2.97,-917,"2,129",4,5,1/237,2.73,-344,487,1,0,1/487,3.02,+439,"5,071",21,16,1/137,3.77
2026-03-15,日,いいえ,+731,"5,499",26,11,1/149,2.70,-864,"1,675",4,3,1/239,2.75,-423,"4,376",13,19,1/137,4.25,"-1,052","1,432",2,2,1/358,2.59
2026-03-14,土,いいえ,-135,"3,547",15,4,1/187,2.20,"-1,055","2,022",4,5,1/225,2.84,-512,"1,316",4,2,1/219,2.89,+38,"3,205",15,3,1/178,2.28
2026-03-13,金,いいえ,+268,"3,622",13,12,1/145,3.62,-31,"2,664",11,6,1/157,3.07,+77,"2,653",12,6,1/147,3.19,-275,"1,668",5,5,1/167,3.32
2026-03-12,木,いいえ,"-1,035","1,054",1,1,1/527,2.66,-32,"2,456",10,5,1/164,2.96,-290,428,1,0,1/428,3.09,"+2,449","7,782",40,21,1/128,3.94
2026-03-11,水,いいえ,"+1,083","4,497",21,14,1/128,3.96,"+1,536","6,046",27,22,1/123,4.53,-681,842,1,2,1/281,3.11,-888,"6,530",17,31,1/136,4.59
2026-03-10,火,はい,"-1,109","3,008",8,6,1/215,2.48,-411,"1,734",4,6,1/173,3.37,+225,"4,717",19,16,1/135,3.93,-876,"2,752",8,6,1/197,2.70
