日付,曜日,特定日,763番台,,,,,,765番台,,,,,,766番台,,,,,,767番台,,,,,,768番台,,,,,,770番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-03-20,金,はい,"+1,204","7,027",30,20,1/141,3.44,+215,"5,411",24,11,1/155,2.51,"+1,032","7,295",33,20,1/138,3.40,"-1,124","6,093",20,14,1/179,2.40,"-1,419","4,429",14,10,1/185,2.54,+495,"7,736",31,25,1/138,3.95
2026-03-19,木,いいえ,-89,"3,244",12,10,1/147,3.51,-832,"3,127",10,5,1/208,2.34,+906,"4,592",20,17,1/124,4.43,+746,"4,098",20,5,1/164,2.16,+532,"4,664",18,15,1/141,3.73,-381,"6,598",24,14,1/174,2.26
2026-03-18,水,いいえ,"-1,264","2,902",6,7,1/223,2.69,+266,"2,331",10,6,1/146,3.30,"+2,450","6,735",35,20,1/122,4.15,-878,"4,560",12,16,1/163,3.61,"-1,578","5,132",12,17,1/177,3.30,"-1,052","3,405",8,9,1/200,2.81
2026-03-17,火,いいえ,-538,"3,672",14,8,1/167,2.73,+166,"3,773",15,10,1/151,3.18,"+1,011","4,710",24,9,1/143,2.67,+307,"4,730",18,14,1/148,3.41,-312,"4,333",18,6,1/181,2.10,+422,"3,002",15,5,1/150,2.72
2026-03-16,月,いいえ,+862,"5,079",23,15,1/134,3.69,-444,"4,164",15,9,1/174,2.59,"+1,276","5,284",23,21,1/120,4.79,+620,"3,816",17,10,1/141,3.29,"-1,039","4,389",13,14,1/163,3.38,"+2,763","5,522",35,10,1/123,2.89
2026-03-15,日,いいえ,-445,"2,611",9,6,1/174,2.92,+810,"3,608",19,7,1/139,2.90,"+2,173","6,945",35,20,1/126,3.92,"+1,626","6,708",32,16,1/140,2.96,-411,"4,367",12,18,1/146,4.23,"+1,040","6,365",31,12,1/148,2.37
2026-03-14,土,いいえ,-404,"3,155",11,7,1/175,2.78,"-1,623","2,882",5,5,1/288,2.27,"-1,056","5,556",19,11,1/185,2.20,-538,"4,808",14,18,1/150,3.96,+85,"6,194",22,21,1/144,3.88,-173,"5,092",20,12,1/159,2.75
2026-03-13,金,いいえ,-439,"3,940",12,13,1/158,3.52,"+1,229","7,297",31,22,1/138,3.71,"-1,001","2,274",6,2,1/284,2.20,-926,"5,307",16,15,1/171,2.97,-317,"3,855",11,17,1/138,4.43,-347,"6,220",23,16,1/159,2.83
2026-03-12,木,いいえ,"+1,775","5,129",29,13,1/122,3.64,-627,"3,481",11,8,1/183,2.71,-686,"2,805",9,6,1/187,2.74,+245,"4,735",19,12,1/153,3.00,-371,"4,296",14,11,1/172,2.85,+649,"3,881",18,9,1/144,3.04
2026-03-11,水,いいえ,-325,"4,962",16,14,1/165,3.05,-550,"1,644",4,3,1/235,2.78,"+2,479","7,396",39,16,1/134,2.79,+86,"5,480",22,12,1/161,2.55,+147,"2,547",11,5,1/159,2.88,"+1,955","7,685",33,29,1/124,4.84
