日付,曜日,特定日,715番台,,,,,,716番台,,,,,,717番台,,,,,,718番台,,,,,,720番台,,,,,,721番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-02-25,水,いいえ,+499,"4,399",18,15,1/133,3.78,-757,"2,422",7,1,1/303,1.99,-583,"1,120",3,2,1/224,2.97,+709,"4,398",22,9,1/142,2.78,-445,"1,727",5,5,1/173,3.19,+417,"3,807",17,8,1/152,2.73
2026-02-24,火,いいえ,-221,"1,184",4,2,1/197,2.99,-426,"2,256",8,5,1/174,2.89,"+1,400","5,178",25,15,1/129,3.61,"+1,048","4,292",22,11,1/130,3.37,-417,"1,924",6,4,1/192,2.83,-3,"1,029",4,2,1/172,3.17
2026-02-23,月,いいえ,+602,"7,094",30,21,1/139,3.33,"-1,020","6,359",23,16,1/163,2.50,-488,"2,278",8,2,1/228,2.27,"+1,385","4,756",25,17,1/113,4.51,"-1,019","4,061",12,9,1/193,2.37,-818,"3,847",12,9,1/183,2.53
2026-02-22,日,いいえ,"-1,145","7,991",24,29,1/151,3.55,-190,"5,813",22,18,1/145,3.30,+680,"7,231",27,27,1/134,4.13,-7,"2,571",10,6,1/161,2.96,-542,"4,966",15,20,1/142,3.94,+27,"4,687",20,8,1/167,2.21
2026-02-21,土,いいえ,-240,"6,572",23,26,1/134,4.22,+680,"5,151",18,21,1/132,4.22,-738,"3,998",14,6,1/200,2.07,+198,"3,383",14,10,1/141,3.38,-192,"4,172",16,10,1/160,2.73,-433,"4,329",16,8,1/180,2.24
2026-02-20,金,はい,+712,"8,408",29,31,1/140,3.94,-421,"2,873",9,8,1/169,3.00,-344,"5,209",15,20,1/149,3.70,"+3,038","8,051",40,27,1/120,4.51,-432,"1,161",4,1,1/232,2.78,-556,"1,339",4,3,1/191,3.05
2026-02-19,木,いいえ,"+1,791","6,271",28,22,1/125,4.23,-550,"2,073",6,6,1/173,3.13,-451,"1,754",5,3,1/219,2.70,-900,"3,300",10,9,1/174,2.87,+420,"2,849",13,7,1/142,3.17,-657,"1,881",5,2,1/269,2.40
2026-02-18,水,いいえ,"-1,022","5,989",15,23,1/158,3.54,+638,"3,662",16,13,1/126,3.96,+266,"2,676",13,5,1/149,2.89,+54,"2,993",13,5,1/166,2.57,"+1,135","4,055",21,10,1/131,3.30,"+3,303","6,142",39,14,1/116,3.70
2026-02-17,火,いいえ,-383,"3,217",8,15,1/140,4.08,-196,"1,951",6,8,1/139,3.75,"+1,148","5,084",24,14,1/134,3.37,+288,"4,831",19,14,1/146,3.18,"+1,099","3,695",18,14,1/115,4.34,"+1,591","2,365",16,5,1/113,3.59
2026-02-16,月,いいえ,-623,"3,310",11,7,1/184,2.54,-346,"2,786",9,8,1/164,3.09,+583,"5,362",23,15,1/141,3.20,-862,"3,963",12,10,1/180,2.62,"-1,743","4,713",10,15,1/189,2.79,-664,"2,465",7,8,1/164,3.26
2026-02-15,日,いいえ,-825,"4,979",15,12,1/184,2.38,-242,"2,866",11,6,1/169,2.74,+185,"6,597",27,20,1/140,3.36,"-1,675","3,566",8,7,1/238,2.19,"-1,056","4,988",14,18,1/156,3.43,"+2,054","6,822",34,22,1/122,4.23
2026-02-14,土,いいえ,"+1,256","7,774",32,31,1/123,4.70,"+3,420","5,835",32,24,1/104,5.17,+66,"2,700",10,8,1/150,3.29,-769,"3,584",11,8,1/189,2.50,-237,"5,023",17,16,1/152,3.24,"+2,315","7,529",39,19,1/130,3.25
2026-02-13,金,いいえ,-910,"5,225",16,17,1/158,3.16,"-1,853","5,564",16,12,1/199,2.08,+669,"6,408",23,26,1/131,4.37,+839,"4,481",21,13,1/132,3.53,+431,"5,495",21,18,1/141,3.54,"+1,050","6,478",28,22,1/130,4.01
2026-02-12,木,いいえ,-331,"3,244",11,10,1/154,3.24,-646,"5,465",20,11,1/176,2.17,-63,"3,139",13,7,1/157,2.85,"+1,102","5,179",25,13,1/136,3.13,-580,"2,047",6,3,1/227,2.51,"+1,068","4,625",22,13,1/132,3.46
2026-02-11,水,いいえ,"+2,244","8,945",45,25,1/128,3.64,-47,"6,926",24,23,1/147,3.40,"+2,100","7,036",33,22,1/128,3.90,-158,"5,539",20,13,1/168,2.42,-44,"4,838",20,8,1/173,2.12,"+1,457","6,848",31,23,1/127,4.12
2026-02-10,火,はい,"+1,439","8,144",34,28,1/131,4.07,"-1,600","2,731",6,2,1/341,1.92,-651,"2,448",7,5,1/204,2.62,"+2,333","5,948",33,14,1/127,3.28,-243,"3,420",11,15,1/132,4.15,-721,"2,776",7,7,1/198,2.72
2026-02-09,月,いいえ,"-2,513","7,339",17,18,1/210,1.99,"-1,742","1,872",1,3,1/468,2.34,+346,"3,752",17,5,1/171,2.22,+78,"6,054",23,15,1/159,2.55,+483,"2,736",14,5,1/144,2.91,-92,"1,842",7,2,1/205,2.57
2026-02-08,日,いいえ,"-1,233","5,100",14,11,1/204,2.12,"+2,897","5,949",31,21,1/114,4.63,"-1,389","3,235",6,10,1/202,2.83,-719,"3,567",10,12,1/162,3.25,+731,"5,885",26,16,1/140,3.14,"-1,074",971,0,1,1/971,2.64
2026-02-07,土,いいえ,+539,"6,599",26,23,1/135,3.90,"-1,385","2,401",5,5,1/240,2.52,+437,"6,437",26,19,1/143,3.22,+406,"3,434",15,7,1/156,2.72,-128,969,4,1,1/194,2.99,"+1,608","8,043",34,30,1/126,4.50
2026-02-06,金,いいえ,-47,"8,730",31,37,1/128,4.71,-32,"3,505",12,14,1/135,3.95,-668,"1,510",4,3,1/216,2.87,"+1,331","3,973",21,10,1/128,3.40,"+3,149","5,230",27,27,1/97,5.43,-380,957,3,1,1/239,2.91
2026-02-05,木,いいえ,-674,"4,371",12,14,1/168,3.04,-629,"1,139",2,2,1/285,2.85,+622,"6,812",27,24,1/134,3.98,-512,"1,138",3,2,1/228,2.95,-402,"3,059",8,11,1/161,3.39,"+1,524","4,218",22,12,1/124,3.71
2026-02-04,水,いいえ,-606,"4,023",13,13,1/155,3.26,+137,"7,216",26,26,1/139,3.88,-145,"6,711",22,26,1/140,4.01,"+1,527","4,685",21,18,1/120,4.40,"-2,227","4,179",12,6,1/232,1.91,+108,"5,721",24,12,1/159,2.35
2026-02-02,月,いいえ,+593,"5,992",22,21,1/139,3.75,-934,"3,038",9,4,1/234,2.13,-571,"3,499",14,6,1/175,2.40,-204,"1,811",6,5,1/165,3.19,+855,"4,893",23,11,1/144,2.80,-838,"3,662",9,14,1/159,3.49
2026-02-01,日,いいえ,+818,"6,501",28,22,1/130,3.99,"-1,264","6,455",21,14,1/184,2.06,-372,"4,296",16,9,1/172,2.43,"+1,254","5,311",25,12,1/144,2.76,+644,"6,040",26,19,1/134,3.65,-840,"2,159",6,3,1/240,2.42
2026-01-31,土,いいえ,"-1,758","3,540",7,8,1/236,2.31,+86,"5,461",22,12,1/161,2.43,"+2,057","7,971",36,28,1/125,4.41,"-1,214","3,738",10,9,1/197,2.50,-732,"4,252",15,11,1/164,2.78,+48,"5,687",19,24,1/132,4.34
2026-01-30,金,はい,+729,"8,089",28,33,1/133,4.45,"+1,790","7,681",32,36,1/113,5.25,"-1,367","4,106",10,9,1/216,2.24,"+2,593","8,264",37,37,1/112,5.29,+467,"4,762",21,13,1/140,3.21,"-1,305","4,548",11,13,1/190,2.63
2026-01-29,木,いいえ,-719,"6,338",21,15,1/176,2.26,-667,"2,288",6,8,1/163,3.36,"+1,397","6,642",28,23,1/130,4.04,-690,"2,072",5,6,1/188,3.04,"+1,344","3,397",20,7,1/126,3.24,+408,"2,356",10,7,1/139,3.45
2026-01-28,水,いいえ,-802,"5,348",17,13,1/178,2.39,-821,"4,129",14,6,1/206,2.00,-630,"1,558",5,0,1/312,2.29,-381,"2,485",8,6,1/178,2.87,-23,"1,697",6,5,1/154,3.32,+765,"7,870",33,26,1/133,3.86
2026-01-27,火,いいえ,"-1,744","2,878",3,9,1/240,2.73,+79,"5,455",21,16,1/147,3.14,-498,"1,734",4,5,1/193,3.08,-781,"4,119",11,14,1/165,3.20,+283,"3,320",14,12,1/128,3.92,-250,"2,751",11,4,1/183,2.45
2026-01-26,月,いいえ,"-1,035","4,686",15,11,1/180,2.42,-948,"2,578",8,4,1/215,2.39,+750,"4,917",21,12,1/149,2.83,+351,"5,081",22,12,1/149,2.75,+167,"6,408",22,20,1/153,3.13,-503,"4,735",15,16,1/153,3.35
2026-01-25,日,いいえ,-826,"5,957",23,11,1/175,2.02,-752,"6,534",22,18,1/163,2.64,+996,"4,342",19,18,1/117,4.54,+99,"5,777",22,16,1/152,2.91,"-1,511","3,671",7,12,1/193,2.90,+456,"5,313",23,13,1/148,2.81
2026-01-24,土,いいえ,-662,"6,932",25,14,1/178,1.97,"-1,106","3,198",8,9,1/188,2.81,"+2,785","6,685",33,24,1/117,4.64,-229,"7,009",26,15,1/171,2.09,"-1,039","2,978",10,4,1/213,2.22,"-1,111","5,270",16,15,1/170,2.73
2026-01-23,金,いいえ,-607,"4,527",14,15,1/156,3.26,"+1,808","5,192",29,12,1/127,3.27,"+4,383","8,416",43,40,1/101,5.58,"+1,064","3,067",17,7,1/128,3.32,+298,"3,596",16,7,1/156,2.65,"+1,821","4,682",25,14,1/120,3.96
2026-01-22,木,いいえ,+48,"4,364",16,13,1/150,3.18,+821,"2,495",13,7,1/125,3.60,-598,"2,247",6,6,1/187,2.95,-267,"3,758",13,8,1/179,2.49,-375,"1,010",2,4,1/168,3.48,"+2,495","6,945",36,23,1/118,4.49
2026-01-21,水,いいえ,+476,"4,931",21,14,1/141,3.25,-81,"5,511",19,20,1/141,3.76,-125,"3,158",12,5,1/186,2.36,"+1,313","5,598",25,16,1/137,3.36,+234,"1,738",8,5,1/134,3.49,"-1,070","4,183",13,13,1/161,3.10
2026-01-20,火,はい,"+1,747","5,585",31,13,1/127,3.26,"+1,314","5,561",27,15,1/132,3.36,+162,"7,030",23,28,1/138,4.15,-681,"1,366",2,4,1/228,3.07,+654,"7,182",27,31,1/124,4.78,+301,"1,783",6,7,1/137,3.71
2026-01-18,日,いいえ,-839,"5,628",18,16,1/166,2.75,"-1,446","4,598",14,10,1/192,2.27,"-1,278","4,269",11,13,1/178,2.86,"-1,322","3,600",7,11,1/200,2.77,-308,"5,559",17,20,1/150,3.53,"+2,142","7,736",35,29,1/121,4.68
2026-01-17,土,いいえ,"+1,383","6,032",30,16,1/131,3.36,"+2,333","8,814",36,38,1/119,5.06,-418,"3,795",13,10,1/165,2.85,+372,"4,168",17,10,1/154,2.81,+466,"5,427",23,14,1/147,2.91,-479,"2,065",8,2,1/207,2.44
2026-01-16,金,いいえ,+591,"5,922",20,28,1/123,4.80,-309,"6,957",23,23,1/151,3.28,+560,"1,408",7,8,1/94,4.47,-334,"2,729",9,8,1/161,3.16,"-1,087","1,595",1,6,1/228,3.19,-402,793,1,3,1/198,3.39
2026-01-15,木,いいえ,+373,"4,675",20,8,1/167,2.22,-809,"4,522",15,9,1/188,2.22,"+1,226","6,314",31,19,1/126,3.84,"-1,460","3,457",7,9,1/216,2.53,-721,"4,362",11,15,1/168,3.17,"+4,167","5,688",37,19,1/102,5.02
2026-01-14,水,いいえ,"+1,491","7,497",28,32,1/125,4.75,-241,"1,456",5,3,1/182,3.02,+22,"5,889",22,18,1/147,3.22,+732,"5,182",23,13,1/144,2.94,+162,"3,514",14,9,1/153,3.00,-766,"3,377",10,9,1/178,2.80
2026-01-13,火,いいえ,-161,"2,945",11,7,1/164,2.88,-175,"6,130",22,18,1/153,2.99,+0,"2,657",11,3,1/190,2.34,-31,"4,085",14,12,1/157,3.07,+339,"4,056",17,13,1/135,3.61,"-1,740","2,862",4,7,1/260,2.45
2026-01-12,月,いいえ,-452,"6,787",23,24,1/144,3.64,+734,"5,707",26,13,1/146,2.68,"+1,775","6,630",30,24,1/123,4.43,-823,"2,911",7,10,1/171,3.23,"-1,005","4,297",11,16,1/159,3.44,"+2,006","4,874",27,15,1/116,4.18
2026-01-11,日,いいえ,-352,"5,411",18,20,1/142,3.77,+425,"6,505",23,22,1/145,3.52,+61,"4,740",19,8,1/176,2.13,+276,"6,324",23,24,1/135,4.10,"-1,728","4,821",13,12,1/193,2.38,"+2,571","5,588",31,21,1/107,4.93
2026-01-10,土,はい,-578,"6,399",19,24,1/149,3.67,-895,"6,221",15,22,1/168,3.14,-317,"2,934",12,5,1/173,2.55,-393,"4,504",14,15,1/155,3.29,+262,"4,801",19,14,1/145,3.21,"+1,078","3,659",19,7,1/141,2.83
2026-01-09,金,いいえ,+166,"6,465",27,15,1/154,2.48,-387,"3,414",12,6,1/190,2.34,+168,"3,723",15,7,1/169,2.46,-208,"5,081",19,12,1/164,2.54,-357,"1,402",5,2,1/200,2.84,"+1,226","6,235",28,18,1/136,3.40
2026-01-08,木,いいえ,+515,"4,099",15,18,1/124,4.42,-386,"3,682",14,8,1/167,2.62,-149,"3,965",16,9,1/159,2.71,+350,"3,761",15,10,1/150,3.05,+560,"5,224",20,21,1/127,4.33,"-1,298","4,291",10,15,1/172,3.16
2026-01-07,水,いいえ,-948,"5,125",18,10,1/183,2.14,+349,"5,310",20,16,1/148,3.21,+803,"6,369",26,16,1/152,2.68,"-1,053","4,199",13,9,1/191,2.33,-908,"2,879",6,9,1/192,2.96,-312,"5,982",18,23,1/146,3.80
2026-01-05,月,いいえ,"+2,566","6,614",33,23,1/118,4.53,"+1,865","5,369",21,26,1/114,5.00,-618,"3,478",12,8,1/174,2.66,+257,"4,555",21,8,1/157,2.36,-300,"4,741",14,17,1/153,3.47,"-1,085","1,958",3,4,1/280,2.57
2026-01-04,日,いいえ,+159,"5,203",18,17,1/149,3.35,-539,"4,883",17,11,1/174,2.39,-642,"5,000",18,14,1/156,2.92,+578,"5,526",24,16,1/138,3.34,"-1,669","3,979",10,9,1/209,2.32,-50,"5,735",18,20,1/151,3.44
2026-01-03,土,いいえ,"-1,243","6,050",18,18,1/168,2.77,"-2,113","5,841",13,17,1/195,2.47,+944,"7,071",27,25,1/136,3.91,"+1,367","7,942",35,24,1/135,3.55,"-1,298","3,941",10,12,1/179,2.88,"-1,490","5,683",18,15,1/172,2.53
2026-01-02,金,いいえ,"-2,280","6,156",14,16,1/205,2.20,+835,"7,540",31,22,1/142,3.18,"+1,315","5,375",24,16,1/134,3.51,+940,"7,203",30,25,1/131,4.06,+254,"6,180",23,18,1/151,3.02,"-1,226","3,334",9,7,1/208,2.40
2026-01-01,木,いいえ,"-1,125","2,896",7,7,1/207,2.62,"-1,161","5,266",15,19,1/155,3.44,-295,"3,184",11,5,1/199,2.29,"-1,213","2,916",7,5,1/243,2.26,"-1,229","2,903",6,8,1/207,2.73,+481,"5,656",23,17,1/141,3.33
2025-12-31,水,いいえ,-29,"4,022",12,17,1/139,4.03,+324,"4,610",17,14,1/149,3.23,-380,"2,725",8,7,1/182,2.85,"-1,109","2,749",5,9,1/196,3.00,-360,"3,435",11,11,1/156,3.26,+569,"4,522",19,12,1/146,3.06
2025-12-30,火,はい,+251,"7,131",28,19,1/152,2.73,-255,"7,427",25,29,1/138,4.14,"-1,137","3,285",10,6,1/205,2.32,+972,"6,400",27,23,1/128,4.20,"-1,583","3,549",10,7,1/209,2.30,+689,"6,952",27,21,1/145,3.22
2025-12-29,月,いいえ,"-1,419","7,166",23,20,1/167,2.57,"-1,017","5,892",16,21,1/159,3.32,"+3,712","5,805",37,18,1/106,4.78,-487,"3,008",12,4,1/188,2.31,"+1,937","5,888",29,21,1/118,4.51,+73,"5,923",20,21,1/144,3.63
2025-12-28,日,いいえ,-104,"5,616",23,11,1/165,2.21,+922,"3,663",19,8,1/136,3.07,"+1,313","2,921",17,8,1/117,3.77,"+1,719","8,117",33,32,1/125,4.66,-916,"4,203",14,6,1/210,1.96,"-1,122","1,858",4,4,1/232,2.74
2025-12-27,土,いいえ,+495,"4,913",20,13,1/149,2.96,+292,"5,228",25,7,1/163,1.97,-442,"3,585",11,11,1/163,3.10,"-1,300","2,499",5,3,1/312,2.13,-737,"2,869",10,4,1/205,2.29,+553,"3,744",19,5,1/156,2.34
2025-12-26,金,いいえ,-103,"3,935",13,14,1/146,3.58,-925,"5,587",17,19,1/155,3.30,"-1,228","2,574",7,2,1/286,2.04,-764,"2,130",5,6,1/194,2.98,-311,"5,074",18,13,1/164,2.66,-778,"1,938",5,3,1/242,2.54
2025-12-25,木,いいえ,-805,"5,512",17,18,1/157,3.17,+832,"5,995",26,19,1/133,3.70,-423,"1,000",3,2,1/200,3.10,+602,"5,199",20,22,1/124,4.52,"+2,358","4,367",26,12,1/115,3.97,-997,"2,071",5,3,1/259,2.43
2025-12-24,水,いいえ,"-1,141","4,142",11,11,1/188,2.59,+476,"5,914",21,21,1/141,3.73,-135,"7,025",25,22,1/149,3.18,"-1,476","2,152",3,6,1/239,2.79,"-1,196","3,277",8,8,1/205,2.55,"+2,028","6,442",32,19,1/126,3.80
2025-12-22,月,いいえ,"-1,089","3,425",9,9,1/190,2.68,-598,"2,255",7,3,1/226,2.41,-103,"5,323",20,15,1/152,2.98,"-1,156","3,150",9,7,1/197,2.54,-117,"4,272",18,11,1/147,3.01,-443,"1,678",4,4,1/210,2.92
2025-12-21,日,いいえ,"+1,470","5,901",25,20,1/131,3.92,"-1,688","2,819",3,9,1/235,2.78,-889,"3,967",11,11,1/180,2.74,"+1,161","7,544",36,14,1/151,2.07,-265,"3,822",12,11,1/166,2.95,-85,"5,662",19,19,1/149,3.40
2025-12-20,土,はい,-811,"3,517",9,10,1/185,2.80,"+2,950","7,362",36,26,1/119,4.62,+690,"7,198",25,30,1/131,4.49,-758,"2,068",7,1,1/259,2.20,"+1,085","7,108",29,26,1/129,4.25,+860,"4,620",18,22,1/116,4.83
2025-12-19,金,いいえ,-726,"2,287",6,4,1/229,2.50,-594,"3,842",10,14,1/160,3.40,"-1,426","1,954",3,2,1/391,2.23,-351,"3,600",12,10,1/164,2.96,-739,"2,409",8,5,1/185,2.73,-49,"2,441",9,8,1/144,3.48
2025-12-18,木,いいえ,-360,"1,355",4,3,1/194,3.03,-763,"4,612",14,16,1/154,3.39,-546,"4,990",13,22,1/143,4.12,"+1,612","2,996",18,7,1/120,3.53,-534,"2,084",6,6,1/174,3.12,"+1,132","4,652",21,15,1/129,3.80
2025-12-17,水,いいえ,"+1,749","5,481",29,15,1/125,3.67,-514,"2,932",9,8,1/172,2.94,"-1,174","4,457",11,15,1/171,3.08,-375,"1,523",5,3,1/190,2.94,+39,"3,635",14,11,1/145,3.33,+820,"5,169",23,15,1/136,3.41
2025-12-16,火,いいえ,-574,"3,645",13,8,1/174,2.58,"-1,015","1,521",2,3,1/304,2.69,-320,"2,061",8,2,1/206,2.45,"+1,802","8,061",34,32,1/122,4.77,"+1,433","2,567",16,4,1/128,3.06,-681,"2,556",8,5,1/197,2.60
2025-12-15,月,いいえ,"+1,679","6,763",30,24,1/125,4.30,"+1,396","5,320",28,11,1/136,2.79,-300,646,2,0,1/323,2.92,"-1,175","4,809",14,14,1/172,2.80,-372,931,2,2,1/233,3.08,-352,"2,347",9,6,1/156,3.11
2025-12-14,日,いいえ,"-1,336","3,548",9,7,1/222,2.25,"+1,080","4,627",22,15,1/125,3.93,"+1,629","4,095",22,12,1/120,3.86,"-1,516","2,726",4,8,1/227,2.75,"+2,220","6,929",36,16,1/133,2.93,"-1,198","2,214",5,4,1/246,2.49
2025-12-13,土,いいえ,-552,"3,498",12,7,1/184,2.45,-791,"3,164",10,6,1/198,2.41,-168,"1,250",5,2,1/179,3.01,-678,"4,355",14,14,1/156,3.23,"-1,491","1,642",1,2,1/547,2.34,+589,"3,097",13,9,1/141,3.37
2025-12-12,金,いいえ,"+1,112","8,457",35,22,1/148,2.66,+342,"1,878",8,4,1/157,3.07,-617,"1,068",3,0,1/356,2.57,"-1,091","3,443",9,10,1/181,2.87,+485,"4,695",17,21,1/124,4.55,"+1,957","6,342",27,25,1/122,4.59
2025-12-11,木,いいえ,-78,"5,079",21,12,1/154,2.67,+292,"2,492",13,1,1/178,2.24,"+2,481","5,254",30,19,1/107,4.83,"-1,616","4,246",8,13,1/202,2.68,-289,"3,574",11,10,1/170,2.90,-910,"2,346",5,7,1/196,2.98
2025-12-10,水,はい,+74,"6,038",26,16,1/144,2.98,+238,"4,673",19,14,1/142,3.35,-66,"4,947",18,16,1/146,3.40,-704,"7,537",27,22,1/154,2.88,-903,"2,534",5,9,1/181,3.22,-305,"5,184",21,8,1/179,1.97
2025-12-08,月,いいえ,-171,"3,854",13,12,1/154,3.22,"-1,387","3,693",8,15,1/161,3.58,-316,"4,967",16,15,1/160,3.00,-521,"2,110",7,3,1/211,2.53,-468,"2,235",8,2,1/224,2.31,-689,"1,081",1,4,1/216,3.29
2025-12-07,日,いいえ,"-1,764","4,263",10,11,1/203,2.45,-223,"4,822",18,14,1/151,3.10,"-1,000","5,065",14,19,1/153,3.55,-299,"4,345",15,15,1/145,3.55,-151,"4,682",18,10,1/167,2.43,-284,"5,879",22,16,1/155,2.82
2025-12-06,土,いいえ,"+1,756","6,207",27,24,1/122,4.55,-478,"1,566",4,5,1/174,3.27,-504,"3,722",11,13,1/155,3.40,+146,"4,350",18,12,1/145,3.15,-782,"3,448",10,6,1/216,2.21,"-1,084","2,156",5,3,1/270,2.36
2025-12-05,金,いいえ,"-1,155","4,597",12,15,1/170,3.03,+433,"2,937",15,5,1/147,2.79,-631,"3,983",14,5,1/210,1.95,-6,"1,435",5,4,1/159,3.28,"+2,170","3,879",21,16,1/105,4.80,+460,"6,195",24,22,1/135,3.93
2025-12-04,木,いいえ,+763,"4,806",21,13,1/141,3.16,-404,"5,649",19,18,1/153,3.20,"-1,050","2,871",7,7,1/205,2.64,-609,"1,651",5,3,1/206,2.81,-464,"2,263",5,7,1/189,3.06,-254,"1,228",4,2,1/205,2.94
2025-12-03,水,いいえ,+300,"2,737",13,5,1/152,2.82,+854,"5,539",25,13,1/146,2.76,+944,"2,232",13,6,1/117,3.68,+630,"4,361",19,13,1/136,3.47,-339,"2,839",9,9,1/158,3.27,-364,998,3,2,1/200,3.10
2025-12-02,火,いいえ,-239,"5,055",20,10,1/169,2.28,-396,"2,089",7,4,1/190,2.75,+177,"1,167",7,0,1/167,2.81,-202,"3,600",13,9,1/164,2.83,+583,"4,140",17,13,1/138,3.52,-291,"1,435",4,6,1/144,3.67
2025-12-01,月,いいえ,+208,"3,516",14,10,1/147,3.23,-773,"3,851",13,13,1/148,3.45,-717,"1,158",0,4,1/290,3.11,+464,"7,608",30,24,1/141,3.44,"-1,473","3,395",4,15,1/179,3.53,+163,"2,547",11,5,1/159,2.85
2025-11-30,日,はい,+99,"6,628",29,13,1/158,2.16,"-1,089","3,252",10,6,1/203,2.35,"+1,613","4,972",23,18,1/121,4.30,"-1,090","2,925",6,9,1/195,2.91,-787,"5,512",17,17,1/162,2.97,"+2,010","6,964",38,18,1/124,3.58
2025-11-29,土,いいえ,"+1,596","6,637",27,30,1/116,5.01,-381,"1,988",6,4,1/199,2.77,-102,"2,300",6,8,1/164,3.35,-986,"2,626",5,9,1/188,3.13,-239,"2,462",9,4,1/189,2.56,+686,"2,788",12,10,1/127,3.87
2025-11-28,金,いいえ,"-1,392","6,547",14,26,1/164,3.51,+805,"4,404",21,12,1/133,3.38,"-2,231","4,039",7,11,1/224,2.44,-325,"2,845",10,8,1/158,3.12,-763,"5,410",17,13,1/180,2.35,-821,"5,384",14,22,1/150,3.83
2025-11-27,木,いいえ,"-1,442","6,037",17,19,1/168,2.89,"-1,268","2,249",4,5,1/250,2.58,+299,"2,725",11,8,1/143,3.36,-637,608,0,1,1/608,3.01,+707,"6,580",23,26,1/134,4.21,+947,"4,530",19,16,1/129,3.96
2025-11-26,水,いいえ,-81,"2,418",10,2,1/202,2.29,+292,"5,907",21,22,1/137,3.94,+101,"3,138",12,12,1/131,3.92,"+2,195","3,675",23,10,1/111,4.00,-580,"3,454",10,8,1/192,2.54,-845,"2,029",6,2,1/254,2.34
2025-11-25,火,いいえ,+345,"4,156",17,11,1/148,3.04,+210,"1,220",5,5,1/122,3.80,-358,"1,128",3,4,1/161,3.44,+371,"2,499",13,4,1/147,2.85,-473,"2,267",6,7,1/174,3.15,+978,"2,726",14,9,1/119,3.92
2025-11-24,月,いいえ,+254,"6,161",26,15,1/150,2.67,-352,"1,906",7,4,1/173,2.94,+504,"3,918",17,12,1/135,3.54,+178,"2,936",14,6,1/147,2.93,-574,"4,048",13,11,1/169,2.81,-839,"1,886",5,6,1/171,3.24
2025-11-23,日,いいえ,+456,"6,171",22,21,1/144,3.56,+815,"6,642",26,22,1/138,3.65,"+1,237","4,688",23,13,1/130,3.49,-642,"4,966",14,15,1/171,2.85,-546,"3,438",13,6,1/181,2.38,+638,"3,198",14,10,1/133,3.59
2025-11-22,土,いいえ,-899,"3,158",8,9,1/186,2.85,-678,880,1,1,1/440,2.81,+398,"7,041",23,34,1/124,4.94,-664,"1,911",5,2,1/273,2.37,-339,"2,851",9,8,1/168,3.03,-696,"1,262",1,4,1/252,3.09
2025-11-21,金,いいえ,"+1,314","6,874",32,17,1/140,2.87,"+2,273","6,603",31,23,1/122,4.36,+77,"1,101",5,1,1/184,2.94,+664,"2,755",14,4,1/153,2.67,-367,"1,903",5,6,1/173,3.23,-293,"4,209",15,14,1/145,3.47
2025-11-20,木,はい,-524,"3,412",11,8,1/180,2.64,-393,"2,823",7,11,1/157,3.55,"-1,088","2,883",7,10,1/170,3.26,+587,"4,235",18,12,1/141,3.27,+656,"4,914",20,16,1/137,3.63,"-1,142","5,057",13,19,1/158,3.48
2025-11-19,水,いいえ,-744,"2,289",7,2,1/254,2.21,-854,"1,918",5,4,1/213,2.76,"+3,567","6,316",38,23,1/104,5.14,-86,552,2,0,1/276,3.03,+266,"4,544",19,10,1/157,2.61,+252,652,4,1,1/130,3.38
2025-11-18,火,いいえ,+654,"5,852",24,16,1/146,3.00,-337,"3,471",11,12,1/151,3.45,-432,848,2,2,1/212,3.18,-567,"2,729",7,10,1/161,3.42,-702,"2,085",5,5,1/209,2.81,-456,"1,863",5,3,1/233,2.60
2025-11-17,月,いいえ,-876,"3,696",10,11,1/176,2.91,-65,"2,083",9,2,1/189,2.50,+39,"3,957",16,11,1/147,3.16,-126,"3,219",9,16,1/129,4.36,-927,"3,817",12,11,1/166,2.95,-831,"1,235",1,3,1/309,2.89
2025-11-16,日,いいえ,"+1,651","7,974",38,21,1/135,3.13,-463,"4,209",16,11,1/156,2.90,"-1,604","4,296",11,15,1/165,3.24,-572,"3,856",15,7,1/175,2.36,"-1,622","3,431",8,6,1/245,2.13,"+1,806","3,817",25,6,1/123,2.99
2025-11-15,土,いいえ,"+1,422","5,715",24,21,1/127,4.22,+851,"2,509",14,3,1/148,2.69,-826,"1,683",5,3,1/210,2.77,-586,"1,188",3,1,1/297,2.67,"-1,017","1,306",2,3,1/261,2.90,+751,"3,953",16,15,1/128,4.08
2025-11-14,金,いいえ,-355,"4,308",13,15,1/154,3.40,"+2,596","8,369",39,33,1/116,5.01,"+1,504","3,372",21,6,1/125,3.12,-386,"1,720",5,4,1/191,2.96,+973,"6,065",24,22,1/132,4.06,"+1,205","2,595",14,8,1/118,3.84
2025-11-13,木,いいえ,-919,"2,393",5,7,1/199,2.93,-627,"3,742",11,15,1/144,3.81,-503,720,0,2,1/360,3.13,"+3,737","7,446",39,33,1/103,5.43,"+1,081","3,474",16,14,1/116,4.38,+942,"2,312",15,2,1/136,2.76
