日付,曜日,特定日,718番台,,,,,,,,,720番台,,,,,,,,,721番台,,,,,,,,,722番台,,,,,,,,,723番台,,,,,,,,,725番台,,,,,,,,,726番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-17,金,いいえ,+464,"2,925",12,5,1/172,-,3.27,12,4.0,"-1,225","3,364",5,12,1/198,-,3.27,26,5.0,-899,"1,895",4,2,1/316,-,2.89,17,5.0,-128,"2,501",7,9,1/156,-,3.62,35,9.0,+340,"6,589",24,14,1/173,-,3.08,21,3.0,+349,"4,265",13,18,1/138,-,4.12,8,-,+482,"4,196",16,12,1/150,-,3.67,18,1.0
2026-04-16,木,いいえ,+570,"4,690",17,13,1/156,-,3.56,15,3.0,+322,"3,761",12,13,1/150,-,3.74,8,-,"+2,928","6,088",29,18,1/130,-,4.30,12,4.0,-257,"2,467",7,8,1/164,-,3.51,35,7.0,+32,"2,707",9,8,1/159,-,3.53,46,11.0,+727,"3,507",14,12,1/135,-,3.95,15,3.0,+662,"6,197",23,16,1/159,-,3.48,28,13.0
2026-04-15,水,いいえ,"+1,205","4,561",19,16,1/130,-,4.19,12,-,+302,"1,979",7,6,1/152,-,3.58,13,1.0,"+1,245","5,707",23,19,1/136,-,4.17,14,1.0,-164,"1,667",5,5,1/167,-,3.48,30,11.0,-34,"3,455",11,9,1/173,-,3.34,77,22.0,+67,"2,219",8,5,1/171,-,3.38,19,5.0,-512,"2,772",7,9,1/173,-,3.44,55,25.0
2026-04-14,火,いいえ,-110,"6,178",20,21,1/151,-,3.86,26,2.0,-499,"1,449",3,2,1/290,-,3.08,17,-,-749,"2,280",6,5,1/207,-,3.17,45,19.0,+734,"4,844",19,14,1/147,-,3.76,18,1.0,-361,"2,058",6,4,1/206,-,3.19,73,16.0,"+1,028","5,363",19,22,1/131,-,4.41,24,6.0,-712,"2,278",5,8,1/175,-,3.47,57,12.0
2026-04-13,月,いいえ,+37,"1,836",5,8,1/141,-,3.75,15,2.0,+126,"2,694",10,8,1/150,-,3.62,13,-,+115,"1,236",6,0,1/206,-,3.21,19,4.0,+860,"3,353",14,8,1/152,-,3.54,19,4.0,-381,"3,774",11,10,1/180,-,3.27,62,16.0,+204,"2,525",8,11,1/133,-,3.94,46,27.0,-132,"3,177",10,10,1/159,-,3.56,46,27.0
2026-04-12,日,はい,-367,"5,127",17,13,1/171,-,3.28,36,1.0,"-1,385","4,056",10,7,1/239,-,2.68,18,-,-829,"5,246",16,8,1/219,-,2.58,28,10.0,-617,"5,870",19,8,1/217,-,2.47,35,7.0,-861,"3,361",9,6,1/224,-,2.88,50,6.0,"-1,119","2,502",5,4,1/278,-,2.85,72,22.0,"+1,115","7,078",25,25,1/142,-,4.20,44,8.0
2026-04-11,土,はい,-686,"3,373",8,11,1/178,-,3.39,35,9.0,+390,"7,216",24,24,1/150,-,3.91,11,-,-264,"4,743",14,16,1/158,-,3.65,18,7.0,-665,"2,631",8,3,1/239,-,2.89,26,3.0,+316,"5,136",18,14,1/161,-,3.49,23,5.0,-702,"3,995",11,7,1/222,-,2.79,52,17.0,"-1,247","3,779",8,11,1/199,-,3.14,78,26.0
2026-04-10,金,はい,-564,"2,860",7,7,1/204,-,3.14,19,7.0,"+1,774","7,167",26,29,1/130,-,4.67,12,-,-10,"4,774",14,19,1/145,-,4.01,12,-,-535,"1,051",1,3,1/263,-,3.29,23,4.0,"-1,402","2,792",4,8,1/233,-,3.06,39,12.0,-985,"2,254",3,8,1/205,-,3.31,27,4.0,-43,"1,998",6,5,1/182,-,3.35,45,6.0
2026-04-09,木,いいえ,"+2,288","6,552",30,15,1/146,-,3.72,18,2.0,-680,878,1,1,1/439,-,3.15,30,2.0,+19,"6,486",22,16,1/171,-,3.22,14,-,-398,"1,620",4,3,1/231,-,3.18,16,2.0,-504,"2,923",10,3,1/225,-,2.87,28,2.0,+99,"4,905",16,17,1/149,-,3.84,26,8.0,"-1,180","1,410",1,3,1/353,-,3.06,44,14.0
2026-04-08,水,いいえ,-996,"3,754",8,11,1/198,-,3.16,51,13.0,-113,"2,018",5,9,1/144,-,3.76,14,-,"-1,146","1,768",1,8,1/196,-,3.45,14,-,+666,"3,701",13,15,1/132,-,4.11,15,1.0,-536,"2,363",6,4,1/236,-,3.00,25,10.0,-290,"1,407",5,1,1/235,-,3.15,31,6.0,"-1,527","5,350",9,18,1/198,-,3.10,38,7.0
2026-04-07,火,いいえ,+605,"8,386",25,32,1/147,-,4.23,45,5.0,"+1,642","6,026",26,18,1/137,-,4.09,12,6.0,"+1,420","4,853",20,14,1/143,-,3.84,6,-,+439,"2,311",10,4,1/165,-,3.36,27,8.0,-932,"2,444",4,6,1/244,-,3.03,19,5.0,-147,"4,925",14,18,1/154,-,3.78,40,13.0,+196,"5,542",20,18,1/146,-,3.90,14,2.0
2026-04-05,日,はい,-557,"3,148",9,7,1/197,-,3.13,62,32.0,-117,"6,031",18,24,1/144,-,4.16,30,5.0,+292,"5,221",16,21,1/141,-,4.14,9,-,+928,"6,443",22,29,1/126,-,4.78,25,10.0,+731,"2,993",13,7,1/150,-,3.56,15,1.0,-555,"2,884",8,3,1/262,-,2.75,14,2.0,-262,"3,752",12,8,1/188,-,3.12,12,3.0
2026-04-04,土,はい,"-1,033","2,249",5,1,1/375,-,2.66,51,3.0,"+1,418","7,516",28,26,1/139,-,4.29,38,9.0,+422,"2,781",11,6,1/164,-,3.40,15,3.0,-76,"2,803",9,7,1/175,-,3.34,48,10.0,"+1,116","5,899",26,14,1/147,-,3.67,29,14.0,+178,"4,452",15,13,1/159,-,3.55,12,3.0,+310,"4,457",16,9,1/178,-,3.13,9,-
2026-04-03,金,いいえ,+198,"3,954",13,15,1/141,-,3.95,15,3.0,-445,"1,989",4,7,1/181,-,3.44,60,22.0,-340,"1,158",3,3,1/193,-,3.39,22,2.0,-238,975,2,2,1/244,-,3.29,33,11.0,+89,"4,149",15,8,1/180,-,3.12,38,5.0,+375,"1,615",7,3,1/162,-,3.43,20,5.0,+414,"4,406",17,12,1/152,-,3.62,12,-
2026-04-02,木,いいえ,"-1,197","7,003",17,24,1/171,-,3.46,32,11.0,-320,"1,682",4,4,1/210,-,3.26,56,24.0,-567,827,2,0,1/414,-,3.14,19,-,-679,"3,517",9,11,1/176,-,3.39,19,-,-339,"2,048",6,5,1/186,-,3.32,64,8.0,-892,"3,508",9,9,1/195,-,3.15,21,2.0,-454,"2,932",7,9,1/183,-,3.34,21,2.0
2026-04-01,水,いいえ,-825,"1,418",3,1,1/355,-,2.98,20,3.0,+255,"2,616",8,11,1/138,-,3.89,30,8.0,"+2,428","5,383",29,11,1/135,-,3.89,22,2.0,-667,"1,148",2,1,1/383,-,3.06,17,2.0,-308,868,2,1,1/289,-,3.24,48,18.0,+119,"1,620",6,5,1/147,-,3.60,15,2.0,-858,"1,651",3,3,1/275,-,3.08,13,-
