日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-04-02,木,いいえ,"+3,510","7,199",36,37,1/99,1/6.41,22,8.0,"+1,309","6,701",27,25,1/129,1/6.04,8,-,-154,"2,602",12,2,1/186,1/6.45,14,6.0,+779,"4,551",19,18,1/123,1/6.43,8,-
2026-04-01,水,いいえ,-440,"3,422",13,9,1/156,1/6.74,71,60.0,+100,"4,553",19,13,1/142,1/6.52,9,-,-331,"4,252",18,5,1/185,1/6.28,11,2.0,-908,"2,107",6,3,1/234,1/6.50,11,2.0
2026-03-31,火,いいえ,-187,"4,934",20,9,1/170,1/6.18,49,30.0,-348,"3,494",12,12,1/146,1/6.52,19,10.0,+831,"4,759",19,19,1/125,1/6.21,9,3.0,"+2,169","7,469",37,24,1/122,1/6.42,6,-
2026-03-30,月,はい,-744,"1,312",3,2,1/262,1/6.56,47,28.0,"+2,289","9,349",41,30,1/132,1/5.86,18,7.0,+707,"4,466",21,11,1/140,1/6.28,19,1.0,"-1,901","3,020",4,6,1/302,1/5.95,11,-
2026-03-29,日,はい,"-1,997","3,087",5,5,1/309,1/6.20,19,13.0,-573,"5,185",18,16,1/153,1/6.45,31,10.0,+786,"6,103",26,17,1/142,1/6.06,21,2.0,+357,"5,841",24,19,1/136,1/6.44,6,-
2026-03-28,土,はい,"+1,210","6,695",28,26,1/124,1/6.36,3,-,-573,"2,162",7,4,1/197,1/6.34,31,1.0,-367,"2,351",8,5,1/181,1/6.13,30,16.0,+794,"5,890",27,15,1/140,1/6.30,14,11.0
2026-03-27,金,いいえ,-876,"2,478",6,8,1/177,1/6.47,14,-,-515,"7,498",25,27,1/144,1/6.45,28,3.0,+784,"7,864",32,23,1/143,1/6.05,29,1.0,-722,"1,630",5,1,1/272,1/6.43,25,11.0
2026-03-26,木,いいえ,-411,"4,656",15,19,1/137,1/6.66,9,-,+884,"4,030",20,9,1/139,1/6.18,29,3.0,"-1,797","3,060",5,8,1/235,1/6.39,26,15.0,"+1,012","3,673",18,11,1/127,1/6.19,11,2.0
2026-03-25,水,いいえ,+254,"6,557",25,17,1/156,1/5.90,5,-,-685,"2,839",8,5,1/218,1/5.74,44,17.0,-464,"7,343",24,27,1/144,1/6.38,16,11.0,-132,"6,426",23,21,1/146,1/6.22,27,11.0
2026-03-24,火,いいえ,-317,"1,786",6,3,1/198,1/5.99,5,-,-357,"4,657",16,13,1/161,1/6.10,37,24.0,-674,"3,649",13,8,1/174,1/6.50,6,1.0,"+1,430","7,943",31,33,1/124,1/6.16,13,7.0
2026-03-23,月,いいえ,+485,"7,237",31,20,1/142,1/6.38,7,5.0,"+1,328","7,080",29,23,1/136,1/5.83,35,28.0,+48,"2,055",9,4,1/158,1/6.32,2,-,"-1,069","2,976",7,8,1/198,1/6.16,48,13.0
2026-03-22,日,はい,"+2,245","7,079",39,14,1/134,1/6.22,12,7.0,-870,"3,356",10,10,1/168,1/6.56,63,35.0,+126,"5,407",21,13,1/159,1/5.97,5,-,"-1,138","3,652",9,11,1/183,1/6.21,28,16.0
2026-03-21,土,はい,-127,"4,678",18,13,1/151,1/6.33,43,32.0,"-1,051","3,565",12,7,1/188,1/6.72,49,6.0,-539,"1,329",3,3,1/222,1/6.07,11,2.0,-202,"5,412",19,19,1/142,1/6.46,9,-
2026-03-20,金,はい,"-1,262","5,869",15,17,1/183,1/5.82,22,7.0,"-1,192","3,555",9,9,1/198,1/6.18,13,9.0,"+2,026","7,627",38,19,1/134,1/6.10,15,2.0,+980,"7,880",32,23,1/143,1/5.93,4,-
2026-03-19,木,いいえ,"+1,333","4,111",17,22,1/105,1/6.29,10,5.0,+328,"3,655",18,3,1/174,1/6.11,5,-,-544,"2,319",9,4,1/178,1/6.96,38,12.0,"-1,036","4,438",13,11,1/185,1/6.12,26,16.0
