日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2025-07-02,水,いいえ,-880,"3,501",10,10,1/175,1/6.30,12,3.0,"+1,881","4,152",22,16,1/109,1/6.32,1,-,+609,"6,173",26,19,1/137,1/6.29,9,8.0,"-1,127","6,756",25,9,1/199,1/6.16,21,9.0
2025-07-01,火,いいえ,"-1,141","2,469",5,7,1/206,1/6.35,4,-,+866,"4,594",22,10,1/144,1/6.10,8,4.0,"-1,358","3,805",7,13,1/190,1/5.91,14,6.0,-111,"6,171",23,16,1/158,1/6.06,15,1.0
2025-06-30,月,はい,+33,"6,068",23,20,1/141,1/6.35,2,-,+298,"8,399",27,35,1/135,1/6.07,22,10.0,+428,"7,123",27,25,1/137,1/6.31,12,5.0,"-1,145","5,006",15,16,1/161,1/6.53,7,5.0
2025-06-29,日,はい,+0,"4,602",18,13,1/148,1/6.30,5,4.0,+91,"7,869",29,27,1/141,1/6.26,38,24.0,"-1,511","3,665",10,7,1/216,1/6.50,14,9.0,"+1,700","7,438",33,26,1/126,1/6.24,1,-
2025-06-28,土,はい,+818,"7,846",28,33,1/129,1/6.16,11,6.0,+284,"4,957",21,12,1/150,1/6.21,44,33.0,+769,"5,695",24,15,1/146,1/5.92,5,-,"+1,223","6,731",31,19,1/135,1/6.22,5,-
2025-06-27,金,いいえ,"+1,947","5,395",26,23,1/110,1/6.41,11,3.0,"-1,000","6,660",21,20,1/162,1/6.22,45,33.0,-453,"1,720",6,3,1/191,1/6.60,8,-,-238,"7,220",23,27,1/144,1/6.16,12,1.0
2025-06-26,木,いいえ,"+1,651","7,568",38,17,1/138,1/6.26,29,23.0,-211,"2,444",9,5,1/175,1/6.09,42,13.0,"+2,730","8,330",39,26,1/128,1/5.78,6,2.0,+173,"4,890",19,17,1/136,1/6.54,4,-
2025-06-25,水,いいえ,+338,"6,166",22,23,1/137,1/6.18,54,8.0,-531,"5,073",19,12,1/164,1/6.40,46,20.0,-527,"2,933",9,6,1/196,1/5.84,26,13.0,-262,"4,177",15,12,1/155,1/6.25,13,-
2025-06-24,火,いいえ,"-1,594","2,925",7,3,1/293,1/6.33,45,6.0,-803,"3,698",9,16,1/148,1/6.46,39,28.0,-517,"1,489",4,3,1/213,1/6.17,11,-,"+1,051","7,115",31,22,1/134,1/6.22,11,-
2025-06-23,月,いいえ,"-1,112","2,785",7,5,1/232,1/6.12,23,12.0,-181,"3,761",14,12,1/145,1/6.49,28,5.0,+566,"4,136",20,7,1/153,1/6.18,6,-,"+1,234","5,853",25,22,1/125,1/6.25,11,5.0
2025-06-22,日,はい,"-1,846","2,967",5,6,1/270,1/6.34,11,6.0,-549,"2,081",7,3,1/208,1/6.29,26,6.0,"+1,170","7,821",34,25,1/133,1/6.25,5,-,"-1,446","3,498",8,8,1/219,1/6.16,20,9.0
2025-06-21,土,はい,+20,"6,651",24,23,1/142,1/6.35,6,-,"+2,831","9,115",44,31,1/122,1/6.25,21,6.0,-9,"5,602",21,17,1/147,1/6.21,15,2.0,-80,"4,412",18,8,1/170,1/6.11,13,7.0
2025-06-20,金,はい,-592,"5,063",18,15,1/153,1/6.53,19,5.0,-827,"7,675",24,27,1/150,1/6.23,70,51.0,-193,"6,003",21,20,1/146,1/6.21,9,-,"+3,041","8,468",41,28,1/123,1/6.00,14,5.0
2025-06-19,木,いいえ,-631,"3,179",11,6,1/187,1/6.30,16,13.0,"-1,193","2,201",5,3,1/275,1/6.33,58,42.0,-25,"8,125",25,37,1/131,1/6.27,3,-,"-1,396","2,071",4,3,1/296,1/6.64,63,5.0
2025-06-18,水,いいえ,"+3,203","6,718",34,28,1/108,1/6.08,14,11.0,-675,"5,357",17,16,1/162,1/6.12,44,30.0,+716,"5,874",24,19,1/137,1/6.10,3,-,-459,"5,250",20,16,1/146,1/6.75,48,4.0
2025-06-17,火,いいえ,+279,"7,646",29,23,1/147,1/6.07,48,5.0,+602,"4,697",20,13,1/142,1/6.06,43,8.0,"+1,484","5,555",29,12,1/135,1/6.22,1,-,+338,"7,010",24,24,1/146,1/5.80,35,34.0
2025-06-16,月,いいえ,+989,"7,713",30,28,1/133,1/6.15,58,3.0,-927,"2,870",8,8,1/179,1/6.55,69,11.0,+124,"5,350",18,16,1/157,1/5.68,10,-,+666,"7,466",31,24,1/136,1/6.33,55,45.0
2025-06-15,日,はい,-992,"6,351",22,14,1/176,1/6.24,82,53.0,-134,"7,043",26,24,1/141,1/6.41,29,20.0,+618,"7,417",31,23,1/137,1/6.34,9,-,"-1,772","8,012",22,27,1/164,1/6.26,86,4.0
2025-06-14,土,はい,"-1,240","3,886",11,10,1/185,1/6.48,81,2.0,"-1,406","4,353",13,11,1/181,1/6.68,21,1.0,+562,"7,502",29,22,1/147,1/5.94,20,-,-957,"5,070",13,14,1/188,1/5.67,79,58.0
2025-06-13,金,いいえ,"-1,722","3,923",11,6,1/231,1/6.54,79,27.0,"-1,239","2,450",6,4,1/245,1/6.50,5,-,"-1,066","3,099",9,5,1/221,1/6.22,42,37.0,"-1,841","5,806",17,14,1/187,1/6.51,52,10.0
2025-06-12,木,いいえ,"-1,002","4,902",14,18,1/153,1/6.46,55,36.0,+295,"2,657",10,9,1/140,1/5.87,5,-,-493,750,1,1,1/375,1/5.81,19,6.0,-470,"5,816",21,16,1/157,1/6.30,13,8.0
2025-06-11,水,いいえ,"-1,216","5,471",16,14,1/182,1/6.10,45,30.0,-345,"1,408",5,2,1/201,1/6.41,9,-,"+2,104","6,738",30,27,1/118,1/6.09,15,5.0,+360,"6,783",29,15,1/154,1/6.18,10,1.0
2025-06-10,火,はい,-204,"2,630",10,5,1/175,1/6.12,23,8.0,+686,"7,805",31,33,1/122,1/6.76,15,-,"-2,097","5,074",11,16,1/188,1/6.43,49,14.0,"-2,380","4,360",6,15,1/208,1/6.28,35,12.0
2025-06-09,月,いいえ,-196,"1,962",8,3,1/178,1/6.37,8,-,+489,"3,620",16,10,1/139,1/6.20,16,2.0,+936,"6,721",27,21,1/140,1/5.90,12,4.0,-67,"2,426",12,1,1/187,1/6.52,14,2.0
2025-06-08,日,はい,+839,"7,216",34,19,1/136,1/6.60,7,-,+368,"6,278",25,20,1/140,1/6.26,26,6.0,"-1,539","5,152",14,15,1/178,1/6.40,20,9.0,-311,"4,351",18,8,1/167,1/6.45,11,4.0
2025-06-07,土,はい,"-1,104","4,977",16,12,1/178,1/6.37,15,9.0,"+1,375","8,757",38,23,1/144,1/5.95,15,9.0,-600,"4,407",15,10,1/176,1/6.11,6,2.0,+909,"6,432",27,21,1/134,1/6.15,4,-
2025-06-06,金,いいえ,+437,"4,131",20,8,1/148,1/6.46,7,-,"-1,966","3,318",5,7,1/277,1/6.04,28,15.0,+230,"5,824",23,16,1/149,1/6.11,9,2.0,"+3,861","7,056",38,32,1/101,1/6.29,13,4.0
2025-06-05,木,いいえ,-857,"3,308",10,7,1/195,1/6.19,14,-,-145,"4,984",21,12,1/151,1/6.62,19,3.0,-278,"5,326",19,13,1/166,1/5.98,16,2.0,-163,"6,477",21,24,1/144,1/6.17,48,29.0
2025-06-04,水,いいえ,+19,"3,811",16,11,1/141,1/6.66,12,1.0,"-2,009","4,948",11,11,1/225,1/6.02,15,3.0,-785,"2,879",9,4,1/221,1/6.04,11,-,"-1,202","6,984",21,22,1/162,1/6.23,27,12.0
