日付,曜日,特定日,1118番台,,,,,,,,1120番台,,,,,,,,1121番台,,,,,,,,1122番台,,,,,,,,1123番台,,,,,,,,1125番台,,,,,,,,1126番台,,,,,,,,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-01,金,いいえ,"-4,050","3,498",4,3,1/500,-,43,19.0,+395,"2,734",12,8,1/137,-,19,8.0,+873,"2,899",14,6,1/145,-,24,5.0,"+1,634","4,202",22,9,1/136,-,11,-,"+3,537","3,678",26,9,1/105,-,19,8.0,-334,"2,252",9,2,1/205,-,88,30.0,"-1,268","2,879",8,5,1/221,-,58,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-30,木,はい,-239,"2,589",11,3,1/185,-,15,-,-598,"2,261",10,0,1/226,-,50,21.0,"-1,297","4,560",15,9,1/190,-,29,1.0,-797,"1,476",4,1,1/295,-,26,11.0,"-2,227","5,036",14,11,1/201,-,28,2.0,-799,"3,366",13,4,1/198,-,88,33.0,"+2,104","5,688",30,14,1/129,-,55,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-29,水,いいえ,"+1,660","3,927",22,9,1/127,-,11,-,"-2,657","3,179",6,6,1/265,-,34,14.0,-277,"2,613",11,4,1/174,-,20,3.0,"+3,502","4,249",30,6,1/118,-,20,3.0,+0,"2,832",12,4,1/177,-,17,6.0,-439,"5,086",20,10,1/170,-,86,52.0,"-1,431","5,746",17,15,1/180,-,90,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-28,火,いいえ,"+3,686","2,951",23,8,1/95,-,11,-,"+4,168","2,942",25,6,1/95,-,21,5.0,+926,866,6,3,1/96,-,16,5.0,+31,748,4,0,1/187,-,33,11.0,"+4,314","3,940",30,8,1/104,-,22,1.0,-203,"1,899",7,5,1/158,-,80,47.0,-824,"3,139",9,10,1/165,-,83,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-27,月,いいえ,"-1,055","1,147",1,3,1/287,-,27,2.0,-943,"3,364",10,11,1/160,-,37,10.0,-346,"4,283",17,9,1/165,-,21,-,-669,825,2,3,1/165,-,39,2.0,+337,"2,292",11,4,1/153,-,25,4.0,"-2,955","3,809",8,3,1/346,-,69,30.0,"-3,696","4,036",5,10,1/269,-,71,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-26,日,はい,-839,"2,252",7,4,1/205,-,19,1.0,-384,"4,592",19,7,1/177,-,18,2.0,"-2,134","3,040",6,6,1/253,-,16,-,"+1,572","3,861",21,7,1/138,-,32,13.0,"-2,852","4,094",9,8,1/241,-,68,3.0,"-3,020","3,810",7,6,1/293,-,49,17.0,"-3,378","4,682",12,3,1/312,-,65,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-25,土,はい,-753,"1,948",5,6,1/177,-,19,5.0,+73,"4,859",20,10,1/162,-,19,5.0,"+1,152","2,553",14,7,1/122,-,14,-,"-1,512","2,921",8,4,1/243,-,57,15.0,"-1,001","1,389",3,3,1/232,-,31,12.0,"+1,598","2,660",15,10,1/106,-,42,11.0,+857,"2,578",13,7,1/129,-,63,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-24,金,いいえ,"+3,739","2,682",20,13,1/81,-,18,-,"-3,198","2,699",2,4,1/450,-,21,2.0,"+1,167","2,342",14,4,1/130,-,21,2.0,"-3,936","4,642",8,8,1/290,-,52,31.0,-152,"2,017",9,1,1/202,-,19,1.0,-309,"2,815",11,4,1/188,-,85,33.0,-296,"2,656",10,6,1/166,-,86,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-23,木,いいえ,"+1,226","2,741",14,9,1/119,-,18,3.0,+594,588,5,0,1/118,-,6,-,"-1,089","3,271",9,8,1/192,-,23,5.0,+693,"1,142",8,0,1/143,-,38,15.0,"+3,010","2,987",22,8,1/100,-,15,9.0,"-2,532","6,169",19,10,1/213,-,66,28.0,"-1,668","4,776",14,11,1/191,-,89,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-22,水,いいえ,"+2,332","3,324",21,7,1/119,-,18,2.0,"-1,216","2,672",7,6,1/206,-,14,-,+691,"5,077",24,8,1/159,-,16,2.0,+625,"5,772",27,10,1/156,-,52,2.0,"-2,655","5,215",15,6,1/248,-,21,3.0,-647,"5,010",19,8,1/186,-,50,29.0,-158,"3,011",13,4,1/177,-,88,36.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-20,月,はい,"-1,197","1,734",3,4,1/248,-,25,3.0,"+2,809","5,172",27,16,1/120,-,16,5.0,"+4,804","7,516",47,15,1/121,-,22,6.0,"-1,109","2,761",9,4,1/212,-,41,13.0,"+1,696","5,254",25,13,1/138,-,11,-,"-2,422","5,635",16,11,1/209,-,28,3.0,"-1,340","9,100",33,19,1/175,-,87,46.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-19,日,はい,"+1,069","6,810",31,15,1/148,-,16,2.0,"+1,065","1,556",9,5,1/111,-,36,4.0,-326,"6,806",30,7,1/184,-,32,10.0,+164,"7,230",29,16,1/161,-,22,4.0,"-2,880","5,208",14,8,1/237,-,14,-,"+2,523","6,401",32,18,1/128,-,18,2.0,"-3,229","5,457",14,9,1/237,-,78,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-18,土,はい,"-3,438","4,728",10,8,1/263,-,25,19.0,-651,"9,026",39,11,1/181,-,60,10.0,"-2,324","5,803",16,12,1/207,-,44,18.0,-675,"6,408",27,7,1/188,-,50,1.0,"+2,027","2,293",18,1,1/121,-,6,-,"-1,468","6,266",25,8,1/190,-,26,1.0,"-4,933","6,984",14,11,1/279,-,49,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
