日付,曜日,特定日,1052番台,,,,,,,,,1053番台,,,,,,,,,1055番台,,,,,,,,,1056番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-30,月,はい,"-2,046","5,660",15,17,1/177,1/6.45,2.62,83,69.0,"+1,028","6,655",31,19,1/133,1/6.21,3.34,6,-,"+1,310","6,284",32,16,1/131,1/6.31,3.17,8,2.0,-933,"4,449",14,9,1/193,1/5.85,2.15,14,6.0
2026-03-29,日,はい,"-2,328","3,805",4,10,1/272,1/5.67,2.21,65,47.0,-302,"5,249",20,15,1/150,1/6.25,2.97,18,7.0,"+1,115","8,018",35,21,1/143,1/5.86,2.72,9,-,"+2,034","8,088",38,25,1/128,1/5.91,3.75,11,2.0
2026-03-28,土,はい,-658,"2,140",7,4,1/195,1/6.38,2.68,25,10.0,"+3,153","7,685",39,31,1/110,1/6.02,5.04,15,2.0,-670,"4,396",16,9,1/176,1/6.13,2.29,45,20.0,-46,"7,162",27,23,1/143,1/6.12,3.30,13,-
2026-03-27,金,いいえ,"-1,261","4,448",12,14,1/171,1/6.18,2.90,20,2.0,-254,"1,299",5,1,1/217,1/6.00,2.72,18,10.0,-712,"6,075",18,22,1/152,1/5.92,3.41,33,13.0,"+1,820","7,293",35,19,1/135,1/5.82,3.02,8,-
2026-03-26,木,いいえ,+88,"3,948",16,9,1/158,1/5.89,2.68,5,-,"+2,287","4,522",25,14,1/116,1/5.69,4.04,15,10.0,+446,"4,153",22,7,1/143,1/6.67,2.54,38,15.0,"-1,404","3,948",12,4,1/247,1/5.95,1.74,23,8.0
2026-03-25,水,いいえ,+692,"2,534",12,8,1/127,1/5.89,3.64,7,-,-445,"4,506",16,12,1/161,1/6.06,2.75,49,23.0,-135,"7,686",28,27,1/140,1/6.17,3.66,26,15.0,"-1,032","4,747",16,10,1/183,1/6.16,2.20,11,4.0
2026-03-24,火,いいえ,-288,"4,083",11,17,1/146,1/5.68,3.78,26,23.0,-224,"4,624",16,13,1/159,1/5.81,2.84,34,8.0,-403,694,2,0,1/347,1/6.37,2.88,26,23.0,"+1,883","5,019",26,14,1/125,1/5.76,3.57,3,-
2026-03-23,月,いいえ,-159,"2,536",10,4,1/181,1/5.85,2.54,11,6.0,-617,"2,494",9,5,1/178,1/6.55,2.70,18,6.0,+167,"8,421",31,28,1/143,1/5.96,3.40,12,1.0,-958,"4,360",12,17,1/150,1/6.29,3.59,5,-
2026-03-22,日,はい,+115,"4,318",20,7,1/160,1/6.22,2.26,7,5.0,-451,"3,717",13,8,1/177,1/5.88,2.47,8,1.0,-838,"5,006",15,20,1/143,1/6.37,3.80,31,23.0,"+1,149","6,390",25,29,1/118,1/6.01,4.76,2,-
2026-03-21,土,はい,-417,"1,221",2,4,1/204,1/5.41,3.21,12,4.0,+731,"6,433",27,18,1/143,1/5.87,3.00,8,6.0,-512,"2,519",8,5,1/194,1/5.83,2.60,17,5.0,"+2,379","8,496",42,27,1/123,1/6.09,4.10,2,-
2026-03-20,金,はい,"+2,615","8,284",42,33,1/110,1/6.45,5.06,11,2.0,-204,"6,942",24,24,1/145,1/5.99,3.46,16,2.0,-901,"1,548",4,0,1/387,1/6.03,2.23,14,3.0,"-1,498","5,402",15,16,1/174,1/6.16,2.65,9,-
