日付,曜日,特定日,716番台,,,,,,,,,717番台,,,,,,,,,731番台,,,,,,,,,732番台,,,,,,,,,733番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-04-13,月,いいえ,+994,"6,763",26,23,1/138,-,3.79,29,12.0,-433,336,0,0,-,-,3.20,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-12,日,はい,-56,"6,431",23,18,1/157,-,2.98,57,49.0,-241,"4,541",15,15,1/151,-,3.41,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-11,土,はい,-854,"6,774",22,15,1/183,-,2.25,71,67.0,+356,"5,010",19,15,1/147,-,3.34,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-10,金,はい,"-1,050","2,880",6,6,1/240,-,2.58,31,17.0,-210,"7,250",23,26,1/148,-,3.63,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-09,木,いいえ,"-1,266","1,463",1,4,1/293,-,2.99,28,20.0,-785,"1,615",2,7,1/179,-,3.47,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-08,水,いいえ,-183,"1,766",7,0,1/252,-,2.59,17,14.0,+119,"1,009",4,2,1/168,-,3.30,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-07,火,いいえ,+533,"4,658",17,17,1/137,-,3.82,6,3.0,+848,"6,698",24,23,1/143,-,3.67,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-05,日,はい,+30,"4,317",14,13,1/160,-,3.17,12,6.0,+52,"7,788",24,21,1/173,-,2.49,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-04,土,はい,-680,"1,290",3,0,1/430,-,2.65,24,15.0,+919,"6,475",25,20,1/144,-,3.44,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-03,金,いいえ,+780,"7,610",31,15,1/165,-,2.29,22,-,-102,292,1,0,1/292,-,3.32,25,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-02,木,いいえ,"-1,021","3,750",8,13,1/179,-,3.15,32,24.0,-287,511,1,1,1/256,-,3.31,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-04-01,水,いいえ,-619,"2,738",7,9,1/171,-,3.26,20,16.0,"+1,101","1,993",12,5,1/117,-,3.65,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-31,火,いいえ,"+2,616","7,434",36,19,1/135,-,3.38,6,-,"+1,167","1,830",12,1,1/141,-,3.10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-30,月,はい,-970,"3,942",11,7,1/219,-,2.33,28,12.0,-385,"1,194",4,1,1/239,-,2.97,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-29,日,はい,-203,"3,442",11,11,1/156,-,3.33,21,7.0,-498,924,2,2,1/231,-,3.20,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-28,土,はい,-590,"2,863",10,8,1/159,-,3.23,13,5.0,-109,669,2,2,1/167,-,3.43,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-27,金,いいえ,-58,"2,333",6,9,1/156,-,3.53,4,-,"+3,711","5,796",34,21,1/105,-,4.79,8,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-26,木,いいえ,+283,"4,732",16,16,1/148,-,3.50,6,-,+711,"2,265",12,4,1/142,-,3.24,12,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-25,水,いいえ,+620,"4,549",18,15,1/138,-,3.66,14,-,-162,"3,722",11,11,1/169,-,3.09,24,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-24,火,いいえ,+66,"3,945",15,10,1/158,-,3.07,30,4.0,+693,"2,137",12,0,1/178,-,2.69,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-23,月,いいえ,-833,"1,205",1,4,1/241,-,3.22,26,-,-120,473,2,0,1/237,-,3.25,36,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-22,日,はい,"+1,104","5,898",25,18,1/137,-,3.60,16,-,"-1,126","3,172",7,8,1/211,-,2.73,21,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-21,土,はい,+257,"7,924",26,23,1/162,-,2.82,29,21.0,-829,"1,093",0,4,1/273,-,3.23,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-20,金,はい,"-1,972","4,391",11,9,1/220,-,2.30,36,32.0,+887,"7,143",28,21,1/146,-,3.29,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-19,木,いいえ,-986,"2,078",5,3,1/260,-,2.66,18,7.0,-338,"2,466",8,6,1/176,-,3.07,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-18,水,いいえ,-291,"1,545",5,5,1/155,-,3.44,15,10.0,-272,"2,236",8,5,1/172,-,3.09,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-17,火,いいえ,+707,"4,087",17,13,1/136,-,3.63,8,4.0,+321,"5,714",19,17,1/159,-,3.08,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-16,月,いいえ,-408,"1,607",4,6,1/161,-,3.48,5,-,+695,"8,097",27,32,1/137,-,4.23,6,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-15,日,はい,+214,"6,003",19,16,1/172,-,2.70,8,-,+937,"3,960",14,15,1/137,-,3.83,14,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-14,土,はい,+547,"5,550",19,20,1/142,-,3.73,6,-,+291,"5,933",23,16,1/152,-,3.06,18,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-13,金,いいえ,-278,"2,937",8,12,1/147,-,3.70,13,-,+107,"5,683",20,18,1/150,-,3.36,31,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-12,木,いいえ,"-1,229","2,652",5,6,1/241,-,2.68,4,-,-430,"2,184",5,6,1/199,-,3.05,46,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-11,水,いいえ,+336,"2,065",8,6,1/148,-,3.42,1,-,-926,"1,261",1,5,1/210,-,3.34,40,39.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-10,火,はい,"+1,683","6,236",28,17,1/139,-,3.39,6,-,-175,"3,667",10,15,1/147,-,3.75,29,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-09,月,いいえ,-766,"1,974",5,3,1/247,-,2.74,8,-,-472,"2,999",9,11,1/150,-,3.55,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-08,日,はい,"+2,119","7,650",33,24,1/134,-,3.78,1,-,+535,"3,659",12,13,1/146,-,3.58,8,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-07,土,はい,"+1,342","6,347",29,17,1/138,-,3.38,1,-,-86,"1,015",4,1,1/203,-,3.12,21,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-06,金,いいえ,"+2,049","3,940",24,8,1/123,-,3.49,1,-,+148,"1,004",5,0,1/201,-,3.05,10,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-05,木,いいえ,-415,"6,379",18,22,1/159,-,3.27,14,-,-366,"4,363",11,17,1/156,-,3.57,16,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
