日付,曜日,特定日,852番台,,,,,,,,,853番台,,,,,,,,,855番台,,,,,,,,,856番台,,,,,,,,,857番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-15,日,はい,-192,"4,723",18,14,1/148,1/6.43,3.36,18,1.0,+638,"7,792",25,37,1/126,1/5.94,5.28,17,5.0,+868,"4,240",20,9,1/146,1/5.96,2.53,12,-,"+2,560","7,617",35,32,1/114,1/6.13,5.12,24,6.0,"+1,115","7,210",33,18,1/141,1/6.19,2.66,12,-
2026-03-14,土,はい,"+1,433","5,981",30,8,1/157,1/5.80,1.65,12,-,"-1,366","3,672",10,6,1/230,1/6.08,2.05,30,13.0,+499,"5,535",23,15,1/146,1/6.09,3.02,15,3.0,"-1,176","6,824",17,24,1/166,1/5.74,3.95,64,34.0,"+1,030","5,178",22,15,1/140,1/5.79,3.33,17,2.0
2026-03-13,金,いいえ,"+1,445","7,622",34,20,1/141,1/5.95,2.82,10,-,+202,"6,836",22,35,1/120,1/6.37,5.34,27,17.0,-514,"3,095",10,6,1/193,1/5.86,2.44,38,1.0,-802,"5,637",19,14,1/171,1/6.15,2.57,37,2.0,+733,"7,936",26,34,1/132,1/5.77,5.06,35,8.0
2026-03-12,木,いいえ,"-1,334","3,744",9,10,1/197,1/6.09,2.88,26,5.0,"+2,549","8,364",35,35,1/119,1/5.80,5.12,31,5.0,-97,"4,237",16,12,1/151,1/6.23,3.20,16,-,-57,"5,329",22,10,1/167,1/6.16,2.05,21,5.0,-770,"2,565",7,6,1/197,1/6.07,2.83,40,9.0
2026-03-11,水,いいえ,-262,"4,774",18,8,1/184,1/5.86,1.94,18,2.0,-738,"5,309",20,10,1/177,1/6.34,2.02,78,60.0,"+1,098","6,989",32,15,1/149,1/6.02,2.18,11,-,-40,"2,485",11,3,1/178,1/6.23,2.25,11,-,-281,"2,910",10,8,1/162,1/6.13,3.17,16,5.0
2026-03-10,火,はい,-397,"6,529",25,8,1/198,1/5.76,1.48,9,1.0,-357,"6,125",23,15,1/161,1/6.20,2.53,81,64.0,-361,"8,103",29,25,1/150,1/6.21,3.46,17,8.0,+354,"5,332",22,11,1/162,1/5.88,2.22,8,-,+915,"6,442",28,24,1/124,1/6.56,4.56,17,8.0
2026-03-09,月,いいえ,+319,"6,604",26,18,1/150,1/6.04,2.94,8,-,-751,"5,689",13,29,1/135,1/6.00,5.20,64,36.0,+279,"5,899",23,16,1/151,1/5.99,2.96,25,8.0,-269,"1,516",5,2,1/217,1/5.73,2.64,17,9.0,-597,"2,936",10,5,1/196,1/6.13,2.33,28,3.0
2026-03-08,日,はい,"+1,027","4,837",23,14,1/131,1/6.32,3.42,9,1.0,-182,"5,153",18,16,1/152,1/6.07,3.49,44,13.0,-183,"3,788",13,12,1/152,1/6.09,3.56,31,3.0,-411,"4,517",16,13,1/156,1/6.29,3.21,8,-,"-1,161","3,867",9,8,1/227,1/5.53,2.29,28,19.0
2026-03-07,土,はい,"+2,002","6,837",32,26,1/118,1/6.26,4.73,14,6.0,"-1,267","4,081",13,5,1/227,1/6.15,1.76,50,29.0,"-1,444","4,105",11,7,1/228,1/5.97,2.00,21,2.0,+573,"4,552",19,12,1/147,1/5.92,3.00,8,-,-569,"2,411",7,4,1/219,1/5.70,2.43,19,5.0
2026-03-06,金,いいえ,-29,"5,035",20,8,1/180,1/5.83,1.86,18,6.0,-279,"4,768",16,12,1/170,1/5.77,2.70,19,1.0,"+1,596","6,700",27,30,1/118,1/6.05,5.15,20,1.0,"+1,543","4,451",24,11,1/127,1/6.25,2.99,9,-,"+1,328","4,940",24,14,1/130,1/6.14,3.36,12,3.0
2026-03-05,木,いいえ,+509,"5,286",23,14,1/143,1/6.27,2.99,13,-,-737,"3,867",12,10,1/176,1/6.11,2.86,16,3.0,+363,"7,898",30,26,1/141,1/6.14,3.90,31,15.0,"+2,403","5,763",29,18,1/123,1/5.80,3.82,16,3.0,"+2,873","7,756",35,31,1/118,1/5.80,4.97,16,3.0
2026-03-04,水,いいえ,"+1,611","7,672",33,25,1/132,1/5.95,3.96,17,2.0,+222,"5,456",24,12,1/152,1/6.39,2.39,15,-,-335,"5,481",20,9,1/189,1/5.74,1.81,46,14.0,"+1,169","7,056",32,21,1/133,1/6.31,3.50,26,9.0,"-1,226","5,085",17,9,1/196,1/6.26,1.93,32,6.0
2026-03-03,火,いいえ,-243,"7,531",24,33,1/132,1/6.28,5.08,38,13.0,+74,"7,338",26,24,1/147,1/6.00,3.79,25,11.0,"-2,186","6,296",17,14,1/203,1/6.20,2.10,44,6.0,-899,"3,235",11,4,1/216,1/6.26,1.97,48,4.0,+45,"5,592",22,14,1/155,1/6.12,2.69,14,-
2026-03-01,日,はい,"-1,524","7,292",25,16,1/178,1/6.41,2.05,26,2.0,+267,"6,565",21,27,1/137,1/5.84,4.80,24,9.0,+374,"5,780",28,4,1/181,1/6.11,1.41,15,-,"+1,420","6,524",33,11,1/148,1/6.10,1.83,48,19.0,"-1,144","6,846",21,24,1/152,1/6.38,4.05,29,3.0
2026-02-28,土,はい,-539,"7,866",28,20,1/164,1/6.05,2.49,17,-,"-1,304","5,679",18,10,1/203,1/6.00,1.82,28,6.0,+434,"6,989",26,23,1/143,1/5.97,3.85,21,4.0,"+1,310","7,953",35,24,1/135,1/6.17,3.54,46,18.0,-204,"7,169",25,25,1/143,1/6.21,4.13,22,1.0
2026-02-27,金,いいえ,"+1,697","6,032",28,20,1/126,1/6.04,4.04,9,-,"+3,097","7,021",36,25,1/115,1/5.98,4.54,16,7.0,"-1,950","3,015",4,9,1/232,1/6.33,3.14,42,12.0,"-2,069","4,508",12,9,1/215,1/6.61,2.14,82,40.0,"+1,502","6,914",30,25,1/126,1/6.12,4.46,30,14.0
2026-02-26,木,いいえ,"+2,308","7,647",40,17,1/134,1/6.15,2.33,15,-,"-1,057","5,038",13,19,1/157,1/6.11,4.20,40,5.0,+522,"5,622",25,13,1/148,1/6.25,2.52,17,2.0,"-1,264","5,545",15,22,1/150,1/6.45,4.49,79,39.0,"-1,087","4,085",13,5,1/227,1/5.94,1.76,35,18.0
2026-02-25,水,いいえ,-897,"6,023",21,15,1/167,1/6.33,2.55,23,-,"-1,146","1,556",3,2,1/311,1/6.74,2.54,32,9.0,-243,"6,152",21,20,1/150,1/6.06,3.70,47,15.0,"-1,463","5,215",13,21,1/153,1/6.47,4.48,69,22.0,+86,"7,021",23,27,1/140,1/5.93,4.57,32,9.0
2026-02-24,火,いいえ,-855,"4,550",14,10,1/190,1/5.90,2.35,12,-,"-1,808","4,184",11,7,1/232,1/6.27,1.96,26,14.0,-769,"3,814",13,9,1/173,1/6.43,2.68,33,1.0,-239,"3,274",13,6,1/172,1/6.24,2.39,49,16.0,+610,"7,013",27,24,1/138,1/6.06,4.10,32,6.0
2026-02-23,月,いいえ,"+2,026","6,635",34,17,1/130,1/6.16,2.92,12,-,+430,"8,321",29,36,1/128,1/6.21,5.13,18,2.0,"+1,527","7,121",33,19,1/137,1/6.06,2.97,16,4.0,"-1,109","2,127",5,3,1/266,1/6.24,2.36,20,2.0,"-1,066","6,603",21,19,1/165,1/6.19,3.03,42,22.0
2026-02-22,日,はい,-23,"5,383",21,11,1/168,1/5.94,2.17,14,2.0,+72,"2,640",12,3,1/176,1/6.14,2.17,34,3.0,-564,"5,703",20,14,1/168,1/6.09,2.54,46,12.0,"+1,079","6,811",31,15,1/148,1/6.01,2.26,12,-,"-1,636","5,286",14,11,1/211,1/5.91,2.09,31,17.0
2026-02-21,土,はい,+838,"6,832",30,18,1/142,1/6.18,2.87,13,-,"+2,542","9,623",43,33,1/127,1/5.97,4.37,40,23.0,"-1,406","3,675",9,6,1/245,1/5.82,2.03,44,4.0,+483,"8,072",30,31,1/132,1/6.23,4.72,17,1.0,-996,"4,081",12,11,1/177,1/6.21,2.93,16,3.0
2026-02-20,金,はい,-597,"7,289",21,27,1/152,1/5.85,4.33,25,13.0,"-1,268","6,705",22,19,1/164,1/6.44,2.98,86,51.0,+377,"6,735",26,19,1/150,1/5.96,3.08,35,7.0,"-1,969","4,176",8,11,1/220,1/6.04,2.72,28,3.0,"+1,099","6,352",28,17,1/141,1/5.99,2.97,12,-
2026-02-19,木,いいえ,+220,"5,510",23,14,1/149,1/6.28,2.79,21,3.0,-596,"5,919",19,16,1/169,1/5.87,2.81,78,45.0,"-1,813","3,740",8,11,1/197,1/6.53,3.13,33,11.0,-375,"2,913",10,5,1/194,1/5.83,2.35,22,1.0,-362,"6,001",23,9,1/188,1/5.88,1.67,18,-
2026-02-18,水,いいえ,"+3,031","7,667",41,26,1/114,1/6.39,4.40,19,5.0,-949,"5,807",19,14,1/176,1/6.10,2.44,81,57.0,+113,"2,631",9,11,1/132,1/6.11,4.29,24,5.0,-517,"2,310",8,6,1/165,1/6.75,3.13,14,1.0,+171,"6,384",23,18,1/156,1/5.80,3.04,13,-
2026-02-17,火,いいえ,"-1,975","4,695",8,18,1/181,1/6.09,4.11,47,23.0,"-1,033","6,598",20,19,1/169,1/6.00,3.01,84,37.0,"+1,538","8,050",37,24,1/132,1/6.26,3.52,24,12.0,"+3,062","5,889",37,12,1/120,1/6.29,2.43,12,-,+640,"4,465",20,10,1/149,1/6.01,2.58,12,-
2026-02-16,月,いいえ,+831,"7,470",31,25,1/133,1/6.27,4.06,42,24.0,-414,"2,960",10,8,1/164,1/6.25,3.12,62,20.0,"-2,014","3,699",10,4,1/264,1/6.65,1.75,42,24.0,"+1,454","5,769",28,16,1/131,1/6.19,3.24,17,-,-63,"1,593",6,4,1/159,1/6.15,3.21,18,1.0
2026-02-15,日,はい,-256,"7,312",25,22,1/156,1/5.95,3.29,74,40.0,-717,"5,201",17,13,1/173,1/6.02,2.62,34,8.0,"-1,179","3,519",10,8,1/196,1/6.34,2.58,26,7.0,-466,"6,376",22,16,1/168,1/5.94,2.54,19,6.0,-464,"3,864",15,7,1/176,1/6.36,2.23,13,-
2026-02-14,土,はい,"-2,350","5,501",11,14,1/220,1/5.90,2.46,69,51.0,-613,"6,560",25,13,1/173,1/6.22,1.95,18,2.0,-113,"6,630",24,20,1/151,1/6.10,3.36,12,-,"+1,524","8,013",34,32,1/121,1/6.31,4.95,16,4.0,+786,"6,720",30,16,1/146,1/6.18,2.50,12,-
2026-02-13,金,いいえ,-206,"5,244",19,16,1/150,1/6.22,3.44,31,17.0,-144,"3,789",16,5,1/180,1/6.14,1.94,12,5.0,"+1,300","5,009",22,15,1/135,1/5.73,3.50,7,-,"-1,332","3,222",6,9,1/215,1/5.79,3.00,32,1.0,-615,"2,383",8,4,1/199,1/6.32,2.48,14,2.0
2026-02-12,木,いいえ,"+1,769","8,245",36,26,1/133,1/5.96,3.80,19,5.0,+42,"3,360",13,8,1/160,1/5.97,2.82,13,1.0,"-1,032","4,077",12,15,1/151,1/6.76,4.06,12,-,"+2,289","8,211",36,28,1/128,1/5.81,4.25,14,1.0,+79,"1,811",8,1,1/201,1/5.68,2.23,12,-
2026-02-11,水,いいえ,"-1,671","4,343",13,6,1/229,1/6.35,1.78,49,8.0,"-1,145","6,785",22,20,1/162,1/6.34,3.16,14,3.0,+157,"6,413",24,19,1/149,1/6.02,3.30,11,-,"-1,198","3,761",11,6,1/221,1/6.05,2.02,41,27.0,"+1,400","7,073",34,22,1/126,1/6.57,3.80,11,-
2026-02-10,火,はい,"-1,068","4,633",15,9,1/193,1/6.16,2.13,28,10.0,+19,"5,382",20,18,1/142,1/6.26,3.87,10,-,+848,"6,709",27,20,1/143,1/5.90,3.39,16,2.0,-853,"2,302",6,7,1/177,1/6.60,3.37,18,2.0,+482,"6,464",24,20,1/147,1/5.83,3.51,14,4.0
2026-02-09,月,いいえ,-629,"4,765",16,11,1/176,1/6.01,2.47,20,3.0,+926,"4,063",17,17,1/120,1/6.14,4.65,9,-,-491,989,2,1,1/330,1/5.60,2.77,17,6.0,"+1,243","8,038",32,30,1/130,1/6.04,4.63,11,2.0,-691,"3,462",11,9,1/173,1/6.24,2.94,31,11.0
2026-02-08,日,はい,"-1,038","4,154",12,11,1/181,1/6.16,2.87,17,4.0,"+3,096","7,124",39,18,1/125,1/5.96,2.91,13,1.0,+0,"3,608",14,9,1/157,1/6.09,2.90,12,-,-124,"6,015",23,12,1/172,1/5.90,2.03,19,2.0,-267,"7,613",24,29,1/144,1/5.99,4.55,24,5.0
2026-02-07,土,はい,"+2,124","8,207",37,30,1/122,1/6.14,4.64,11,-,-591,"4,261",15,7,1/194,1/5.94,1.99,35,19.0,"+1,726","7,971",36,26,1/129,1/6.17,4.02,15,2.0,-795,"6,198",21,16,1/168,1/6.15,2.65,16,1.0,+39,"7,272",30,16,1/158,1/6.22,2.15,13,2.0
2026-02-06,金,いいえ,"+1,328","7,473",32,23,1/136,1/6.00,3.62,12,3.0,-270,"6,521",26,15,1/159,1/6.33,2.33,36,8.0,-449,"8,671",33,17,1/173,1/6.01,1.74,28,9.0,"+1,240","6,081",29,16,1/135,1/6.25,2.99,9,-,-698,"3,266",9,8,1/192,1/5.76,2.78,19,7.0
2026-02-05,木,いいえ,-512,"3,573",13,9,1/162,1/6.51,2.90,18,2.0,+867,"7,753",29,33,1/125,1/6.20,5.08,39,17.0,-369,"2,795",10,5,1/186,1/6.03,2.45,19,1.0,-583,870,1,1,1/435,1/5.47,2.86,16,-,+712,"7,176",28,25,1/135,1/6.10,4.21,22,3.0
2026-02-04,水,いいえ,+820,"5,127",21,17,1/135,1/5.97,3.89,16,1.0,-903,"2,413",5,10,1/161,1/6.47,4.11,51,5.0,-958,"1,435",1,4,1/287,1/5.63,3.19,10,-,"+1,085","4,546",24,10,1/134,1/6.52,2.64,15,5.0,+325,"7,415",24,30,1/137,1/5.84,4.81,46,30.0
2026-02-03,火,いいえ,"+1,593","7,119",32,24,1/127,1/6.16,4.16,15,6.0,"+1,448","7,850",33,23,1/140,1/5.82,3.32,49,22.0,"+1,138","6,361",30,12,1/151,1/5.97,1.99,9,-,+814,"7,723",35,11,1/168,1/5.89,1.51,27,12.0,-664,"4,584",15,11,1/176,1/6.01,2.58,64,15.0
2026-02-01,日,はい,"-1,502","6,918",21,15,1/192,1/5.97,2.01,41,29.0,-86,"6,789",23,22,1/151,1/5.91,3.69,85,37.0,+519,"6,980",28,20,1/145,1/6.06,3.18,12,-,+108,"6,965",26,24,1/139,1/6.28,4.11,48,3.0,-851,"3,926",11,14,1/157,1/6.32,3.91,45,4.0
2026-01-31,土,はい,-237,"5,451",22,13,1/156,1/6.45,2.56,15,-,-433,"6,737",20,31,1/132,1/6.27,5.13,84,27.0,-572,"5,770",21,14,1/165,1/6.24,2.52,22,7.0,"-1,267","4,975",12,18,1/166,1/6.05,3.98,57,15.0,"+3,796","8,756",46,28,1/118,1/6.00,4.12,42,20.0
2026-01-30,金,はい,+53,"6,379",24,19,1/148,1/6.13,3.33,14,-,"-2,327","4,859",10,13,1/211,1/6.26,2.70,86,29.0,+126,"3,863",16,9,1/155,1/6.17,2.73,25,11.0,+416,"6,111",24,20,1/139,1/6.18,3.84,57,32.0,"-1,322","6,581",21,18,1/169,1/6.33,2.81,89,3.0
2026-01-29,木,いいえ,-510,"5,599",20,11,1/181,1/5.92,2.03,34,15.0,-722,"4,226",14,10,1/176,1/6.16,2.60,45,11.0,+402,"2,997",15,4,1/158,1/6.27,2.20,19,-,"-1,022","5,551",17,15,1/173,1/6.08,2.82,88,12.0,"-2,932","5,918",14,11,1/237,1/6.34,1.80,76,31.0
2026-01-28,水,いいえ,-58,"2,365",9,4,1/182,1/5.77,2.53,14,-,-100,"4,098",15,14,1/141,1/6.37,3.88,36,2.0,"+1,138","7,536",33,17,1/151,1/5.88,2.24,18,4.0,-597,"3,334",11,9,1/167,1/6.34,3.07,79,43.0,"-2,649","5,113",7,16,1/222,1/5.85,3.15,34,16.0
2026-01-27,火,いいえ,"+1,510","7,158",31,23,1/133,1/5.96,3.87,9,-,"-1,286","1,366",1,3,1/342,1/6.69,2.95,41,6.0,"-1,002","4,799",16,10,1/185,1/6.24,2.23,51,10.0,-381,"2,582",10,2,1/215,1/6.00,1.97,35,13.0,-949,"2,172",4,8,1/181,1/6.27,3.75,22,13.0
2026-01-26,月,いいえ,-846,"3,345",9,11,1/167,1/6.23,3.58,16,-,-572,659,1,0,1/659,1/6.24,2.78,34,7.0,-138,"5,833",19,23,1/139,1/6.12,4.57,27,9.0,-383,"2,435",8,9,1/143,1/6.72,3.91,42,8.0,"+1,594","5,341",25,16,1/130,1/5.87,3.55,18,2.0
2026-01-25,日,はい,+639,"7,901",32,20,1/152,1/5.93,2.56,14,-,+732,"6,120",26,15,1/149,1/5.95,2.62,18,4.0,"-1,176","1,991",4,4,1/249,1/6.44,2.71,32,14.0,-978,"5,659",16,17,1/171,1/5.89,3.21,45,13.0,"-1,067","3,055",9,8,1/180,1/6.73,2.99,47,2.0
2026-01-24,土,はい,-487,"4,876",17,14,1/157,1/6.27,3.17,31,10.0,-180,"4,990",19,15,1/147,1/6.42,3.41,18,-,"-1,287","3,618",10,9,1/190,1/6.45,2.76,21,3.0,"-1,853","6,913",21,13,1/203,1/6.07,1.76,39,8.0,"-1,261","5,306",13,16,1/183,1/5.77,3.17,41,2.0
2026-01-23,金,いいえ,-563,"2,807",10,6,1/175,1/6.52,2.69,15,-,"+1,134","7,354",30,23,1/139,1/5.90,3.66,16,1.0,"+1,557","5,573",26,23,1/114,1/6.47,4.88,18,2.0,+486,"4,438",14,23,1/120,1/5.94,5.15,34,16.0,"+1,752","4,442",25,11,1/123,1/6.31,3.03,18,2.0
2026-01-22,木,いいえ,"+2,363","7,644",36,27,1/121,1/6.09,4.47,14,-,-187,"3,486",12,11,1/152,1/6.12,3.54,41,6.0,"+1,154","5,407",25,18,1/126,1/6.35,4.02,22,8.0,+345,"4,446",20,12,1/139,1/6.58,3.14,35,10.0,+661,"5,911",26,15,1/144,1/6.20,2.79,25,3.0
2026-01-21,水,いいえ,"+1,227","7,257",29,26,1/132,1/5.93,4.38,14,-,"-1,016","3,149",6,12,1/175,1/5.87,3.96,40,7.0,"-1,057","3,570",9,13,1/162,1/6.40,3.92,33,3.0,"+1,907","7,972",34,27,1/131,1/5.84,4.18,30,16.0,"-1,315","4,384",12,11,1/191,1/6.15,2.66,43,3.0
2026-01-20,火,はい,-262,"7,246",27,12,1/186,1/5.72,1.63,25,6.0,"-1,386","6,530",19,19,1/172,1/6.12,3.04,19,-,+344,"7,518",30,19,1/153,1/6.02,2.57,26,1.0,"-2,418","6,377",11,24,1/182,1/5.90,4.14,81,42.0,-134,"8,755",26,40,1/133,1/6.02,5.24,39,13.0
2026-01-19,月,いいえ,-78,"5,784",23,16,1/148,1/6.40,3.06,22,7.0,"+1,185","4,967",24,10,1/146,1/5.89,2.31,15,-,"-1,195","3,893",12,9,1/185,1/6.53,2.58,36,11.0,"-1,727","3,055",7,6,1/235,1/6.67,2.39,57,21.0,-974,"4,380",13,11,1/183,1/6.06,2.69,25,3.0
2026-01-18,日,はい,"-1,023","4,368",13,11,1/182,1/6.13,2.70,23,1.0,+791,"6,653",29,19,1/139,1/6.27,3.25,27,4.0,-297,"6,365",22,22,1/145,1/6.24,4.03,19,7.0,-350,"5,689",21,13,1/167,1/6.06,2.36,22,3.0,-845,"4,717",15,14,1/163,1/6.32,3.26,12,-
2026-01-17,土,はい,"+1,645","6,506",30,17,1/138,1/5.84,2.90,21,3.0,-299,"6,756",22,23,1/150,1/5.97,3.93,34,13.0,"-1,106","4,663",13,13,1/179,1/6.04,2.96,18,3.0,"-1,393","4,586",14,6,1/229,1/6.00,1.71,15,7.0,+768,"6,650",28,15,1/155,1/5.84,2.30,8,-
2026-01-16,金,いいえ,"-1,190","2,920",8,5,1/225,1/6.30,2.29,35,2.0,-345,"7,051",22,26,1/147,1/5.96,4.34,33,19.0,+944,"5,575",22,22,1/127,1/6.03,4.64,6,-,+545,"4,773",18,20,1/126,1/6.19,4.73,14,2.0,+584,"4,231",15,22,1/114,1/6.27,5.15,12,6.0
2026-01-15,木,いいえ,"+2,338","7,708",37,29,1/117,1/6.34,4.78,26,11.0,-210,"5,435",17,22,1/139,1/6.08,4.61,30,4.0,+65,"2,255",9,5,1/161,1/5.96,2.92,8,-,+766,"3,490",16,8,1/145,1/5.82,2.80,15,2.0,+185,"6,871",27,18,1/153,1/6.08,2.75,13,5.0
2026-01-14,水,いいえ,+254,"6,016",22,17,1/154,1/5.80,3.08,44,12.0,+213,"2,687",12,7,1/141,1/6.48,3.18,32,7.0,-526,"3,366",12,8,1/168,1/6.41,2.78,12,-,-351,"2,442",9,3,1/204,1/5.97,2.23,25,5.0,"-1,796","2,551",4,5,1/283,1/6.43,2.47,20,8.0
2026-01-13,火,いいえ,-352,"4,158",15,9,1/173,1/6.02,2.45,58,19.0,-583,"2,094",5,7,1/175,1/6.01,3.56,39,18.0,+374,"4,591",21,9,1/153,1/6.29,2.29,11,-,-301,472,1,0,1/472,1/5.88,2.98,21,6.0,"+1,219","6,120",26,19,1/136,1/5.88,3.64,15,4.0
2026-01-12,月,いいえ,"-2,016","5,244",13,15,1/187,1/6.41,2.96,58,27.0,-351,"7,380",27,23,1/148,1/6.34,3.54,31,12.0,+955,"2,723",13,12,1/109,1/6.38,4.56,17,2.0,"+2,100","7,946",39,22,1/130,1/6.19,3.19,19,2.0,+539,"5,608",22,18,1/140,1/6.01,3.73,15,-
2026-01-11,日,はい,-917,"7,513",28,13,1/183,1/6.14,1.65,24,3.0,"+1,490","8,114",34,29,1/129,1/6.08,4.46,16,-,-584,"1,443",4,1,1/289,1/5.87,2.41,29,5.0,+343,"7,377",30,23,1/139,1/6.38,3.64,40,11.0,"+1,820","6,505",33,17,1/130,1/6.25,3.00,21,5.0
2026-01-10,土,はい,-114,"6,005",21,15,1/167,1/5.75,2.57,22,-,-634,"8,977",26,38,1/140,1/6.04,5.04,31,3.0,"+4,456","8,089",46,30,1/106,1/6.20,4.88,28,4.0,"-2,462","4,462",8,10,1/248,1/6.09,2.27,35,4.0,"-1,547","5,739",16,16,1/179,1/6.20,2.88,24,2.0
2026-01-09,金,いいえ,-113,"6,385",22,18,1/160,1/5.82,3.00,21,1.0,"-1,033","3,065",8,4,1/255,1/5.67,2.01,34,6.0,"+1,347","7,936",33,31,1/124,1/6.27,4.85,52,18.0,"+3,186","6,640",33,29,1/107,1/5.98,5.17,28,7.0,"+1,752","6,599",28,30,1/114,1/6.20,5.19,20,-
2026-01-08,木,いいえ,+510,"5,454",23,13,1/152,1/6.00,2.59,18,-,-715,"2,810",8,7,1/187,1/6.06,2.91,18,-,-211,"6,099",24,16,1/152,1/6.39,2.81,85,12.0,-828,"6,600",20,21,1/161,1/5.99,3.51,73,40.0,-679,"2,132",7,2,1/237,1/6.17,2.19,33,15.0
2026-01-07,水,いいえ,+867,"7,600",28,27,1/138,1/5.82,4.29,19,6.0,+746,"5,799",25,16,1/141,1/6.12,3.11,13,-,"-1,161","5,862",17,20,1/158,1/6.28,3.84,85,43.0,-758,"5,804",17,22,1/149,1/6.16,4.35,42,20.0,"-1,108","4,289",12,9,1/204,1/5.85,2.28,22,3.0
2026-01-06,火,いいえ,-472,"7,196",24,22,1/156,1/6.01,3.36,21,2.0,-467,"7,268",27,18,1/162,1/6.19,2.46,21,2.0,"-1,737","7,460",22,22,1/170,1/6.29,3.07,79,54.0,-823,"7,265",25,16,1/177,1/5.97,2.06,25,4.0,"+1,066","7,988",31,26,1/140,1/5.82,3.86,19,-
2026-01-04,日,はい,"+3,563","8,325",44,25,1/121,1/5.98,3.74,22,3.0,+515,"4,225",20,6,1/163,1/6.04,1.94,23,1.0,-50,"7,026",25,22,1/149,1/6.03,3.54,45,17.0,-759,"5,521",16,17,1/167,1/5.85,3.34,19,-,"-1,023","4,379",13,12,1/175,1/6.22,2.96,28,5.0
2026-01-03,土,はい,"-1,583","7,664",23,26,1/156,1/6.44,3.88,51,6.0,+190,"5,706",23,15,1/150,1/6.17,2.87,22,2.0,"-1,340","3,970",13,5,1/221,1/6.41,1.81,45,23.0,"+2,078","8,423",36,33,1/122,1/6.04,4.91,16,-,"+1,115","7,009",32,16,1/146,1/6.06,2.35,20,4.0
2026-01-02,金,いいえ,"-2,086","5,640",15,8,1/245,1/5.90,1.60,19,-,"-1,033","4,622",12,13,1/185,1/5.78,2.97,26,6.0,-967,"7,004",24,16,1/175,1/6.11,2.18,38,12.0,"-1,564","2,478",5,2,1/354,1/6.08,1.93,39,1.0,"-1,990","5,067",13,11,1/211,1/6.23,2.19,20,1.0
2026-01-01,木,いいえ,+62,"5,472",23,12,1/156,1/6.29,2.35,13,2.0,+601,"7,209",28,23,1/141,1/6.02,3.73,11,-,-445,"3,822",12,13,1/153,1/6.17,3.77,15,2.0,-630,695,1,0,1/695,1/6.33,2.74,29,14.0,+874,"5,942",28,10,1/156,1/6.02,1.86,11,-
2025-12-31,水,いいえ,-139,"5,467",21,10,1/176,1/5.87,1.96,17,7.0,-17,"5,076",18,15,1/154,1/5.92,3.29,25,7.0,"+1,131","3,047",17,5,1/139,1/5.98,2.44,18,1.0,+907,"4,001",20,9,1/138,1/6.24,2.73,28,3.0,+842,"6,721",29,20,1/137,1/6.24,3.45,10,-
2025-12-30,火,はい,+803,"7,536",31,21,1/145,1/6.00,3.04,18,1.0,-784,"5,455",17,13,1/182,1/5.83,2.43,21,3.0,-167,"6,324",24,15,1/162,1/6.06,2.41,17,-,"+2,613","8,163",38,30,1/120,1/6.04,4.69,26,2.0,"-1,090","6,119",19,16,1/175,1/6.06,2.65,24,3.0
2025-12-29,月,いいえ,"-1,477","5,282",16,12,1/189,1/6.30,2.31,21,2.0,-472,"5,911",19,17,1/164,1/5.86,3.07,11,-,+392,"7,199",28,18,1/157,1/5.86,2.53,19,8.0,-772,"4,575",13,11,1/191,1/5.65,2.53,59,37.0,-162,"4,453",18,9,1/165,1/6.24,2.31,22,1.0
2025-12-28,日,はい,+30,"6,289",24,14,1/166,1/5.88,2.24,11,-,+390,"7,368",27,23,1/147,1/5.88,3.55,11,-,-211,"7,568",27,23,1/151,1/6.10,3.38,40,22.0,-943,"2,071",5,3,1/259,1/6.02,2.41,52,12.0,-119,"4,047",14,14,1/145,1/6.16,3.89,18,7.0
2025-12-27,土,はい,"+2,356","7,353",37,19,1/131,1/5.99,2.90,13,-,+101,"3,873",18,6,1/161,1/6.47,2.10,14,1.0,-878,"4,067",11,14,1/163,1/6.14,3.77,25,7.0,-299,"5,889",20,18,1/155,1/6.01,3.39,36,11.0,"+2,240","7,031",36,18,1/130,1/6.09,2.89,18,4.0
2025-12-26,金,いいえ,-414,"6,598",21,24,1/147,1/6.07,4.26,41,8.0,"+1,501","5,744",27,21,1/120,1/6.37,4.47,25,-,+892,"6,053",28,13,1/148,1/6.13,2.29,25,-,-687,"4,198",16,7,1/183,1/6.42,2.05,33,4.0,"+3,422","7,455",34,36,1/107,1/5.82,5.37,29,4.0
2025-12-25,木,いいえ,-516,"5,435",22,7,1/187,1/6.19,1.63,54,20.0,-809,"1,657",4,3,1/237,1/6.34,2.76,31,5.0,"-1,269","1,731",3,2,1/346,1/6.39,2.39,34,3.0,-592,"5,176",19,12,1/167,1/6.30,2.46,26,-,+190,"3,322",14,6,1/166,1/5.91,2.38,64,10.0
