日付,曜日,特定日,1181番台,,,,,,,,,1182番台,,,,,,,,,1183番台,,,,,,,,,1185番台,,,,,,,,,1186番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-26,木,いいえ,-241,840,1,5,1/140,-,3.79,16,-,-315,214,0,0,-,-,3.20,69,17.0,-44,"1,064",5,1,1/177,-,2.93,52,7.0,-586,"1,479",4,4,1/185,-,3.04,41,25.0,-87,"3,476",15,6,1/166,-,2.40,45,4.0
2026-03-25,水,いいえ,"+1,295","4,300",22,14,1/119,-,3.94,15,-,-193,191,0,0,-,-,3.23,46,7.0,-397,"3,381",11,9,1/169,-,2.72,39,6.0,-204,183,0,0,-,-,3.24,33,18.0,+654,"7,187",29,26,1/131,-,3.93,49,3.0
2026-03-24,火,いいえ,"+3,797","5,875",34,28,1/95,-,5.46,24,3.0,-261,"1,440",5,4,1/160,-,3.20,42,18.0,-231,"3,174",10,9,1/167,-,2.84,21,1.0,-361,"1,260",2,6,1/158,-,3.60,20,-,-854,"6,414",18,31,1/131,-,4.62,84,42.0
2026-03-23,月,いいえ,-299,"1,691",5,6,1/154,-,3.38,48,7.0,-602,"1,977",5,6,1/180,-,3.02,41,19.0,"+1,272","6,558",26,29,1/119,-,4.78,22,7.0,-350,"1,558",6,3,1/173,-,2.92,15,-,-458,"2,326",8,7,1/155,-,3.16,69,21.0
2026-03-22,日,はい,+907,"6,508",29,20,1/133,-,3.43,47,6.0,-254,580,2,0,1/290,-,2.95,22,9.0,-416,743,2,0,1/372,-,2.76,41,19.0,"+1,469","2,734",19,5,1/114,-,3.40,13,-,-598,"2,701",9,4,1/208,-,2.25,62,15.0
2026-03-21,土,はい,"-1,053","1,384",3,0,1/461,-,2.21,86,25.0,-571,"2,180",7,4,1/198,-,2.55,23,-,-933,"3,538",10,7,1/208,-,2.16,34,10.0,-174,"5,208",20,17,1/141,-,3.33,24,1.0,+87,"4,412",18,11,1/152,-,2.72,61,27.0
2026-03-20,金,はい,-934,"3,968",11,12,1/173,-,2.73,78,54.0,-681,991,2,2,1/248,-,2.93,17,4.0,"-1,561","3,405",5,14,1/179,-,3.19,24,7.0,+108,"1,931",9,4,1/149,-,3.03,13,-,"-1,623","4,297",10,15,1/172,-,2.92,92,14.0
2026-03-19,木,いいえ,-242,379,1,0,1/379,-,3.10,64,48.0,"+2,119","7,622",34,32,1/115,-,4.91,14,-,+716,"1,847",10,3,1/142,-,3.00,16,2.0,-360,"2,393",9,4,1/184,-,2.52,14,-,-814,"3,481",11,11,1/158,-,3.04,67,3.0
2026-03-18,水,いいえ,-194,653,3,0,1/218,-,2.98,64,14.0,+407,"4,338",17,15,1/136,-,3.58,36,6.0,+413,"2,061",10,5,1/137,-,3.23,30,18.0,"+1,772","3,317",19,14,1/101,-,4.72,12,-,"-1,809","4,685",10,16,1/180,-,2.73,50,14.0
2026-03-17,火,いいえ,-997,"6,216",21,23,1/141,-,3.60,76,27.0,-452,"1,060",2,4,1/177,-,3.35,49,18.0,-537,743,1,1,1/372,-,2.89,49,18.0,-305,545,1,2,1/182,-,3.40,31,-,-493,"2,712",8,8,1/170,-,2.94,31,-
2026-03-16,月,いいえ,-351,457,1,0,1/457,-,3.00,44,15.0,+535,"3,713",16,13,1/128,-,3.77,26,8.0,+299,"1,389",8,2,1/139,-,3.11,47,3.0,-135,685,2,2,1/171,-,3.33,29,3.0,+114,"1,113",5,3,1/139,-,3.38,18,-
2026-03-15,日,はい,"-1,421","3,951",9,15,1/165,-,3.20,42,16.0,"-1,002","3,252",8,10,1/181,-,2.78,53,11.0,-124,"2,558",9,9,1/142,-,3.47,73,20.0,-221,915,3,2,1/183,-,3.14,14,-,"-1,208","5,782",18,19,1/156,-,2.95,26,12.0
2026-03-14,土,はい,-40,"1,228",4,4,1/154,-,3.36,28,16.0,-434,"3,587",11,13,1/149,-,3.38,41,13.0,-465,859,2,1,1/286,-,2.85,74,33.0,"+2,128","6,453",35,22,1/113,-,4.46,12,1.0,-398,"2,660",6,13,1/140,-,3.97,11,-
2026-03-13,金,いいえ,"+1,014","5,428",24,15,1/139,-,3.05,17,3.0,-344,381,0,2,1/191,-,3.51,22,5.0,-372,"3,871",15,10,1/155,-,2.79,47,25.0,+817,"3,627",19,3,1/165,-,2.08,14,8.0,"+1,470","6,684",32,23,1/122,-,4.15,6,-
2026-03-12,木,いいえ,-676,"1,639",5,3,1/205,-,2.72,24,9.0,-511,965,2,2,1/241,-,2.97,24,9.0,-25,"3,488",13,12,1/140,-,3.48,42,11.0,-498,"1,013",2,3,1/203,-,3.15,31,7.0,-167,"1,390",6,2,1/174,-,2.88,15,-
2026-03-11,水,いいえ,-844,"1,285",2,4,1/214,-,3.06,11,2.0,-691,"2,023",6,4,1/202,-,2.62,12,1.0,-909,725,0,1,1/725,-,2.80,42,13.0,-326,"3,652",14,13,1/135,-,3.62,29,17.0,-414,"1,423",5,3,1/178,-,2.98,9,-
2026-03-10,火,はい,+636,"4,057",21,10,1/131,-,3.19,10,2.0,"+1,698","4,300",23,16,1/110,-,4.46,15,5.0,-663,982,2,2,1/246,-,2.94,35,10.0,-275,963,3,2,1/193,-,3.08,25,10.0,+38,"3,927",17,8,1/157,-,2.52,8,-
2026-03-09,月,いいえ,-440,"1,999",7,5,1/167,-,2.97,17,2.0,-243,457,1,0,1/457,-,3.00,24,7.0,-775,"4,770",17,10,1/177,-,2.18,35,11.0,"+1,027","5,272",24,14,1/139,-,3.01,15,7.0,+27,835,4,1,1/167,-,3.11,8,-
2026-03-08,日,はい,-245,"2,024",7,6,1/156,-,3.18,11,1.0,+590,"4,474",21,9,1/149,-,2.53,10,3.0,-190,"2,446",6,16,1/111,-,4.80,25,14.0,-536,430,0,0,-,-,2.92,26,1.0,"+1,650","6,864",34,20,1/127,-,3.53,7,-
2026-03-07,土,はい,+151,"1,784",8,3,1/162,-,2.86,8,-,+464,"5,496",24,20,1/125,-,4.06,9,1.0,"+2,525","7,513",37,29,1/114,-,4.79,26,5.0,"+2,432","7,427",32,34,1/113,-,5.14,21,12.0,+28,"2,552",11,5,1/160,-,2.75,8,-
2026-03-06,金,いいえ,"+1,501","2,574",18,5,1/112,-,3.49,12,1.0,-795,"1,224",2,3,1/245,-,2.89,17,5.0,+204,"6,376",21,28,1/130,-,4.40,55,7.0,-131,"1,349",5,3,1/169,-,3.07,48,31.0,+998,"2,697",16,5,1/128,-,3.10,11,-
2026-03-05,木,いいえ,"+2,103","6,028",30,23,1/114,-,4.62,11,-,+197,"7,797",29,30,1/132,-,4.07,15,4.0,-386,"3,419",11,12,1/149,-,3.34,85,31.0,-425,"1,575",5,5,1/158,-,3.28,54,39.0,-653,"3,882",12,14,1/149,-,3.36,15,4.0
