日付,曜日,特定日,1127番台,,,,,,,,1128番台,,,,,,,,1130番台,,,,,,,,1131番台,,,,,,,,1132番台,,,,,,,,1133番台,,,,,,,,1135番台,,,,,,,,1136番台,,,,,,,,1137番台,,,,,,,,1138番台,,,,,,,,1150番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-05-02,土,はい,-771,"3,513",18,8,1/135,-,24,2.0,-621,787,3,3,1/131,-,21,13.0,"-4,975","6,699",22,15,1/181,-,67,19.0,-556,937,6,1,1/134,-,34,1.0,"-2,656","3,131",10,6,1/196,-,22,1.0,"-1,357","2,139",8,4,1/178,-,48,8.0,"+3,069","1,932",21,4,1/77,-,34,1.0,-793,"1,313",6,1,1/188,-,8,2.0,"-1,315","2,228",8,5,1/171,-,33,9.0,"-1,702","2,244",7,4,1/204,-,40,6.0,"+3,624","3,033",28,10,1/80,-,6,-
2026-05-01,金,いいえ,+513,856,5,6,1/78,-,18,2.0,+473,"1,299",9,3,1/108,-,16,10.0,"-5,303","4,207",7,9,1/263,-,61,23.0,"+4,739","4,860",41,13,1/90,-,32,7.0,+180,"1,115",7,3,1/112,-,20,2.0,+26,"1,925",11,4,1/128,-,38,6.0,-244,661,5,0,1/132,-,69,8.0,"+4,875","3,526",34,12,1/77,-,6,-,-792,"2,053",9,6,1/137,-,21,1.0,+162,"1,170",6,5,1/106,-,25,4.0,+41,950,6,3,1/106,-,6,-
2026-04-30,木,はい,"-3,849","5,647",20,11,1/182,-,34,11.0,"-1,971","2,183",7,4,1/198,-,23,2.0,"+1,102","4,748",32,8,1/119,-,35,1.0,"-4,333","4,076",12,5,1/240,-,50,1.0,-375,616,3,3,1/103,-,21,2.0,-230,"3,870",21,11,1/121,-,49,1.0,"-1,970","1,836",5,2,1/262,-,64,14.0,"-1,105","1,508",6,2,1/189,-,10,4.0,"+3,069","2,173",22,6,1/78,-,19,9.0,+79,956,4,7,1/87,-,48,13.0,"+2,449","2,617",21,10,1/84,-,6,-
2026-04-29,水,いいえ,-202,560,3,3,1/93,-,28,8.0,+157,768,4,4,1/96,-,19,5.0,-943,"1,889",8,3,1/172,-,67,18.0,"+5,525","5,511",51,8,1/93,-,35,7.0,"+3,923","3,375",31,9,1/84,-,42,1.0,+260,"1,009",6,3,1/112,-,41,6.0,"-1,618","2,500",8,5,1/192,-,42,1.0,+427,992,7,3,1/99,-,8,-,"+4,589","3,131",32,10,1/75,-,20,1.0,-981,"1,465",5,3,1/183,-,49,7.0,"+1,343","1,958",16,4,1/98,-,14,6.0
2026-04-28,火,いいえ,"-1,181","1,337",4,2,1/223,-,23,6.0,"-1,802","1,886",4,7,1/171,-,27,4.0,-755,"1,716",7,5,1/143,-,61,15.0,"-1,036","2,054",9,3,1/171,-,87,22.0,-73,"1,578",8,4,1/132,-,62,1.0,-405,"1,577",6,8,1/113,-,65,3.0,-617,"1,319",6,2,1/165,-,42,3.0,+121,479,3,1,1/120,-,8,-,"-3,146","3,378",10,6,1/211,-,39,12.0,+173,"1,395",9,2,1/127,-,46,4.0,+44,712,4,2,1/119,-,17,9.0
2026-04-27,月,いいえ,"+3,636","3,970",35,9,1/90,-,16,4.0,-402,643,4,1,1/129,-,12,6.0,+738,603,5,3,1/75,-,52,10.0,"-2,462","3,439",12,5,1/202,-,88,1.0,+371,392,3,2,1/78,-,61,2.0,-104,558,4,2,1/93,-,87,26.0,"+3,478","1,698",22,3,1/68,-,42,23.0,+370,880,6,2,1/110,-,6,-,+79,"1,623",10,3,1/125,-,19,1.0,-49,26,0,0,-,-,59,7.0,-51,40,0,0,-,-,18,2.0
2026-04-26,日,はい,"+5,280","6,346",53,15,1/93,-,16,2.0,"+10,244","6,631",72,12,1/79,-,9,3.0,"-3,466","4,428",14,12,1/170,-,71,6.0,"-1,597","3,379",13,12,1/135,-,87,3.0,"-1,349","5,186",27,8,1/148,-,72,1.0,"-1,037","1,662",6,5,1/151,-,84,12.0,"-3,115","2,857",7,5,1/238,-,65,12.0,"+1,117","2,718",21,3,1/113,-,6,-,"-3,639","5,405",18,13,1/174,-,34,18.0,-769,"2,087",7,11,1/116,-,53,19.0,"+11,398","7,351",81,13,1/78,-,14,5.0
2026-04-25,土,はい,"+1,159","3,494",23,11,1/103,-,22,3.0,"+4,063","3,364",31,13,1/76,-,9,3.0,-718,"1,382",5,5,1/138,-,52,30.0,-581,886,5,2,1/127,-,85,16.0,"-2,814","2,421",5,5,1/242,-,61,7.0,-427,812,5,3,1/102,-,69,6.0,+911,721,7,2,1/80,-,63,2.0,+836,"1,498",12,2,1/107,-,6,-,+764,"1,128",8,4,1/94,-,19,10.0,-11,"1,690",10,2,1/141,-,54,2.0,"+3,238","5,983",46,10,1/107,-,22,3.0
2026-04-24,金,いいえ,"-1,409","1,610",5,4,1/179,-,42,8.0,"-1,058","1,814",7,3,1/181,-,17,1.0,+239,"1,373",8,4,1/114,-,24,7.0,-491,"1,385",6,4,1/139,-,75,16.0,+126,"1,256",6,5,1/114,-,59,9.0,-944,"2,887",13,7,1/144,-,34,3.0,-690,901,5,1,1/150,-,94,19.0,+383,781,6,1,1/112,-,16,-,"-1,565","1,527",4,3,1/218,-,31,7.0,"-1,881","1,612",5,0,1/322,-,49,7.0,"-1,906","4,125",16,12,1/147,-,50,1.0
2026-04-23,木,いいえ,"-2,816","2,983",8,6,1/213,-,29,3.0,-810,"1,319",4,5,1/147,-,8,-,-370,"3,821",22,5,1/142,-,41,12.0,-239,793,5,4,1/88,-,74,26.0,"-5,598","4,715",11,7,1/262,-,89,15.0,+523,"3,476",19,13,1/109,-,23,2.0,-103,945,7,4,1/86,-,74,26.0,+667,"1,006",8,2,1/101,-,21,13.0,"+2,708","4,762",34,15,1/97,-,26,3.0,+256,"1,987",13,4,1/117,-,23,2.0,"-1,456","1,353",3,2,1/271,-,48,7.0
